energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.70682189,0.55992850,0.45220039,0.00309398,0.22953267,0.02486207,0.89504850,0.37025412,0.35421962
-5.99399700,1.68267545,0.56046162,0.43698459,0.00310444,0.23941048,0.02433236,0.86452614,0.37564291,0.36079193
-5.98799400,1.66457114,0.56378352,0.42208312,0.00312558,0.25000025,0.02389861,0.83732801,0.38190087,0.36882499
-5.98199100,1.65284960,0.57017369,0.40778269,0.00315750,0.26112966,0.02355977,0.81391895,0.38887199,0.37815655
-5.97598799,1.64780723,0.57992737,0.39436517,0.00320020,0.27262373,0.02331527,0.79473890,0.39640004,0.38861141
-5.96998499,1.64969488,0.59334372,0.38210134,0.00325363,0.28431067,0.02316492,0.78019389,0.40433429,0.40000851
-5.96398199,1.65871595,0.61071295,0.37124488,0.00331777,0.29602719,0.02310867,0.77064730,0.41253499,0.41216765
-5.95797899,1.67502398,0.63230275,0.36202663,0.00339261,0.30762324,0.02314640,0.76641145,0.42087805,0.42491549
-5.95197599,1.69871959,0.65834465,0.35464964,0.00347820,0.31896584,0.02327765,0.76773995,0.42925909,0.43809074
-5.94597299,1.72984699,0.68902073,0.34928468,0.00357465,0.32994185,0.02350142,0.77482094,0.43759643,0.45154816
-5.93996998,1.76839015,0.72445119,0.34606688,0.00368216,0.34045980,0.02381594,0.78777158,0.44583307,0.46516148
-5.93396698,1.81426890,0.76468318,0.34509308,0.00380099,0.35045047,0.02421848,0.80663398,0.45393751,0.47882504
-5.92796398,1.86733526,0.80968147,0.34642037,0.00393146,0.35986642,0.02470520,0.83137272,0.46190351,0.49245417
-5.92196098,1.92737047,0.85932107,0.35006551,0.00407392,0.36868058,0.02527101,0.86187428,0.46974877,0.50598453
-5.91595798,1.99408296,0.91338243,0.35600550,0.00422872,0.37688384,0.02590954,0.89794827,0.47751270,0.51937050
-5.90995498,2.06710762,0.97154912,0.36417898,0.00439617,0.38448205,0.02661310,0.93933064,0.48525342,0.53258268
-5.90395198,2.14600676,1.03340839,0.37448857,0.00457646,0.39149241,0.02737275,0.98568882,0.49304413,0.54560489
-5.89794897,2.23027284,1.09845450,0.38680393,0.00476963,0.39793968,0.02817835,1.03662849,0.50096912,0.55843083
-5.89194597,2.31933317,1.16609493,0.40096550,0.00497551,0.40385219,0.02901877,1.09170204,0.50911956,0.57106046
-5.88594297,2.41255641,1.23565919,0.41678859,0.00519366,0.40925806,0.02988203,1.15041817,0.51758931,0.58349661
-5.87993997,2.50926087,1.30641021,0.43406791,0.00542333,0.41418169,0.03075558,1.21225246,0.52647079,0.59574163
-5.87393697,2.60872419,1.37755787,0.45258220,0.00566338,0.41864079,0.03162651,1.27665844,0.53585125,0.60779441
-5.86793397,2.71019417,1.44827443,0.47209878,0.00591230,0.42264391,0.03248186,1.34307865,0.54580931,0.61964791
-5.86193097,2.81290006,1.51771147,0.49237811,0.00616815,0.42618878,0.03330892,1.41095546,0.55641198,0.63128698
-5.85592796,2.91606414,1.58501785,0.51317798,0.00642860,0.42926128,0.03409549,1.47974099,0.56771214,0.64268683
-5.84992496,3.01891272,1.64935831,0.53425738,0.00669089,0.43183526,0.03483014,1.54890590,0.57974637,0.65381189
-5.84392196,3.12068645,1.70993219,0.55538000,0.00695191,0.43387305,0.03550252,1.61794666,0.59253331,0.66461511
-5.83791896,3.22064931,1.76599179,0.57631717,0.00720823,0.43532668,0.03610349,1.68639119,0.60607223,0.67503770
-5.83191596,3.31809617,1.81685995,0.59685049,0.00745617,0.43613968,0.03662536,1.75380253,0.62034205,0.68500928
-5.82591296,3.41235862,1.86194636,0.61677386,0.00769188,0.43624949,0.03706201,1.81978072,0.63530048,0.69444835
-5.81990995,3.50280920,1.90076208,0.63589522,0.00791145,0.43559021,0.03740896,1.88396283,0.65088354,0.70326313
-5.81390695,3.58886400,1.93293207,0.65403784,0.00811103,0.43409577,0.03766344,1.94602143,0.66700520,0.71135270
-5.80790395,3.66998400,1.95820498,0.67104139,0.00828690,0.43170317,0.03782437,2.00566165,0.68355736,0.71860858
-5.80190095,3.74567526,1.97646021,0.68676273,0.00843565,0.42835594,0.03789233,2.06261729,0.70041010,0.72491658
-5.79589795,3.81548851,1.98771164,0.70107651,0.00855423,0.42400747,0.03786948,2.11664625,0.71741237,0.73015911
-5.78989495,3.87901849,1.99210798,0.71387568,0.00864013,0.41862423,0.03775945,2.16752575,0.73439313,0.73421782
-5.78389195,3.93590325,1.98992934,0.72507190,0.00869140,0.41218869,0.03756722,2.21504774,0.75116304,0.73697665
