energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.65336545,1.16157597,2.85556656,0.00650665,0.00848945,0.27732766,0.07529964,0.01722168,0.67379034
-5.99399700,3.66931030,1.17346940,2.87622557,0.00680962,0.00860780,0.27820302,0.07442559,0.01693543,0.66570041
-5.98799400,3.69026103,1.18444019,2.90054206,0.00720750,0.00873822,0.27976677,0.07367855,0.01666219,0.65876350
-5.98199100,3.71489338,1.19411334,2.92744413,0.00769409,0.00887601,0.28189915,0.07304441,0.01640455,0.65277594
-5.97598799,3.74177251,1.20213060,2.95577227,0.00826161,0.00901623,0.28447169,0.07250665,0.01616485,0.64751256
-5.96998499,3.76939111,1.20815870,2.98431058,0.00890075,0.00915379,0.28735032,0.07204678,0.01594507,0.64273324
-5.96398199,3.79620721,1.21189622,3.01181779,0.00960077,0.00928357,0.29039844,0.07164479,0.01574675,0.63818944
-5.95797899,3.82068137,1.21307923,3.03705781,0.01034959,0.00940055,0.29347969,0.07127960,0.01557099,0.63363051
-5.95197599,3.84131257,1.21148553,3.05882917,0.01113398,0.00949991,0.29646045,0.07092955,0.01541831,0.62880992
-5.94597299,3.85667234,1.20693784,3.07599300,0.01193974,0.00957713,0.29921226,0.07057281,0.01528867,0.62349110
-5.93996998,3.86543700,1.19930588,3.08749913,0.01275195,0.00962810,0.30161385,0.07018792,0.01518141,0.61745307
-5.93396698,3.86641718,1.18850763,3.09240999,0.01355525,0.00964923,0.30355320,0.06975419,0.01509530,0.61049561
-5.92796398,3.85858460,1.17450986,3.08992189,0.01433413,0.00963751,0.30492923,0.06925222,0.01502852,0.60244402
-5.92196098,3.84109533,1.15732800,3.07938334,0.01507329,0.00959056,0.30565348,0.06866435,0.01497873,0.59315330
-5.91595798,3.81330939,1.13702557,3.06031013,0.01575799,0.00950675,0.30565156,0.06797512,0.01494316,0.58251164
-5.90995498,3.77480595,1.11371301,3.03239675,0.01637438,0.00938519,0.30486444,0.06717165,0.01491869,0.57044326
-5.90395198,3.72539402,1.08754614,2.99552398,0.01690991,0.00922579,0.30324958,0.06624403,0.01490199,0.55691030
-5.89794897,3.66511818,1.05872417,2.94976253,0.01735359,0.00902922,0.30078185,0.06518566,0.01488965,0.54191380
-5.89194597,3.59425916,1.02748718,2.89537241,0.01769636,0.00879696,0.29745419,0.06399347,0.01487836,0.52549375
-5.88594297,3.51332929,0.99411316,2.83279839,0.01793128,0.00853123,0.29327802,0.06266814,0.01486505,0.50772807
-5.87993997,3.42306277,0.95891448,2.76266133,0.01805375,0.00823497,0.28828334,0.06121415,0.01484708,0.48873059
-5.87393697,3.32440110,0.92223391,2.68574582,0.01806161,0.00791173,0.28251853,0.05963983,0.01482243,0.46864810
-5.86793397,3.21847394,0.88444002,2.60298435,0.01795523,0.00756564,0.27604978,0.05795723,0.01478982,0.44765652
-5.86193097,3.10657586,0.84592211,2.51543847,0.01773740,0.00720130,0.26896012,0.05618200,0.01474890,0.42595629
-5.85592796,2.99013961,0.80708470,2.42427722,0.01741330,0.00682366,0.26134814,0.05433307,0.01470033,0.40376721
