energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.09359966,-1.01720182,0.00388351,-0.02424238,0.08952551,-0.06209941,1.72905545,-0.46215210,0.91514144,-0.24511619,0.01450116,-0.01071547,1.74150778,-0.57451291
-5.99399700,3.14455541,-0.96150905,0.00391680,-0.02204514,0.09045584,-0.05972111,1.75961131,-0.43941468,0.93221876,-0.22828234,0.01455396,-0.01003801,1.77036800,-0.54289679
-5.98799400,3.17720331,-0.90707714,0.00392455,-0.01994708,0.09086711,-0.05734528,1.78017363,-0.41729138,0.94384356,-0.21206830,0.01452249,-0.00936251,1.78893135,-0.51196292
-5.98199100,3.19123347,-0.85419578,0.00390702,-0.01795977,0.09075796,-0.05496141,1.79052660,-0.39587539,0.94988059,-0.19655929,0.01441067,-0.00869718,1.79703138,-0.48191609
-5.97598799,3.18672808,-0.80318209,0.00386503,-0.01609177,0.09013699,-0.05256579,1.79066269,-0.37528976,0.95031170,-0.18183420,0.01422453,-0.00804964,1.79472448,-0.45297356
-5.96998499,3.16415735,-0.75438480,0.00379997,-0.01434879,0.08902219,-0.05016186,1.78078114,-0.35568953,0.94523659,-0.16796705,0.01397200,-0.00742687,1.78228763,-0.42536715
-5.96398199,3.12436295,-0.70818670,0.00371374,-0.01273399,0.08744017,-0.04776020,1.76127985,-0.33726248,0.93486962,-0.15502852,0.01366272,-0.00683517,1.76020878,-0.39934456
-5.95797899,3.06852955,-0.66500496,0.00360871,-0.01124826,0.08542516,-0.04537821,1.73274120,-0.32022843,0.91953295,-0.14308713,0.01330770,-0.00628021,1.72917052,-0.37516966
-5.95197599,2.99814560,-0.62528952,0.00348762,-0.00989046,0.08301782,-0.04303957,1.69591223,-0.30483704,0.89964628,-0.13221031,0.01291905,-0.00576699,1.69002749,-0.35312179
-5.94597299,2.91495516,-0.58951939,0.00335349,-0.00865784,0.08026392,-0.04077343,1.65168003,-0.29136441,0.87571352,-0.12246515,0.01250959,-0.00529994,1.64377863,-0.33349409
-5.93996998,2.82090255,-0.55819716,0.00320955,-0.00754625,0.07721303,-0.03861346,1.60104343,-0.28010837,0.84830711,-0.11391885,0.01209250,-0.00488294,1.59153523,-0.31659071
-5.93396698,2.71807227,-0.53184176,0.00305911,-0.00655048,0.07391707,-0.03659674,1.54508199,-0.27138279,0.81805048,-0.10663880,0.01168094,-0.00451934,1.53448628,-0.30272320
-5.92796398,2.60862644,-0.51097975,0.00290548,-0.00566453,0.07042902,-0.03476260,1.48492363,-0.26551091,0.78559950,-0.10069244,0.01128772,-0.00421205,1.47386235,-0.29220588
-5.92196098,2.49474216,-0.49613532,0.00275187,-0.00488185,0.06680161,-0.03315143,1.42171189,-0.26281796,0.75162355,-0.09614667,0.01092495,-0.00396355,1.41089942,-0.28535053
-5.91595798,2.37855131,-0.48781925,0.00260126,-0.00419558,0.06308622,-0.03180351,1.35657430,-0.26362321,0.71678700,-0.09306710,0.01060380,-0.00377591,1.34680414,-0.28246027
