energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,0.64392551,0.00089487,0.13452737,0.09320578,0.17531414,0.01775990,0.12349067
-5.99399700,0.70542201,0.00102901,0.14678449,0.10710577,0.19066871,0.01865511,0.13736813
-5.98799400,0.77237568,0.00117966,0.16019085,0.12269146,0.20734841,0.01961827,0.15245132
-5.98199100,0.84519329,0.00134865,0.17485302,0.14013471,0.22545908,0.02066030,0.16880199
-5.97598799,0.92430766,0.00153805,0.19088557,0.15962454,0.24511297,0.02179255,0.18648568
-5.96998499,1.01018197,0.00175022,0.20841172,0.18136773,0.26642969,0.02302671,0.20557319
-5.96398199,1.10331325,0.00198775,0.22756378,0.20558866,0.28953701,0.02437467,0.22614194
-5.95797899,1.20423423,0.00225352,0.24848310,0.23252798,0.31457133,0.02584853,0.24827691
-5.95197599,1.31351241,0.00255069,0.27131942,0.26244008,0.34167753,0.02746044,0.27207108
-5.94597299,1.43174552,0.00288266,0.29622940,0.29558892,0.37100792,0.02922251,0.29762502
-5.93996998,1.55955214,0.00325299,0.32337402,0.33224214,0.40272010,0.03114666,0.32504547
-5.93396698,1.69755689,0.00366540,0.35291480,0.37266327,0.43697346,0.03324436,0.35444269
-5.92796398,1.84636946,0.00412363,0.38500871,0.41710217,0.47392415,0.03552640,0.38592642
-5.92196098,2.00655732,0.00463136,0.41980170,0.46578355,0.51371856,0.03800251,0.41960057
-5.91595798,2.17861240,0.00519202,0.45742092,0.51889403,0.55648517,0.04068095,0.45555637
-5.90995498,2.36291233,0.00580870,0.49796586,0.57656795,0.60232505,0.04356801,0.49386443
-5.90395198,2.55967749,0.00648395,0.54149854,0.63887250,0.65130136,0.04666749,0.53456582
-5.89794897,2.76892559,0.00721956,0.58803332,0.70579276,0.70342797,0.04998008,0.57766248
-5.89194597,2.99042602,0.00801645,0.63752665,0.77721738,0.75865811,0.05350282,0.62310757
-5.88594297,3.22365620,0.00887444,0.68986735,0.85292568,0.81687336,0.05722848,0.67079614
-5.87993997,3.46776303,0.00979209,0.74486807,0.93257704,0.87787380,0.06114511,0.72055680
-5.87393697,3.72153188,0.01076657,0.80225844,1.01570329,0.94137000,0.06523559,0.77214498
-5.86793397,3.98336602,0.01179356,0.86168062,1.10170503,1.00697746,0.06947735,0.82523824
-5.86193097,4.25127874,0.01286713,0.92268762,1.18985222,1.07421423,0.07384228,0.87943431
-5.85592796,4.52290014,0.01397980,0.98474492,1.27928981,1.14250205,0.07829680,0.93425217
-5.84992496,4.79549976,0.01512251,1.04723562,1.36904838,1.21117144,0.08280211,0.98913641
-5.84392196,5.06602573,0.01628471,1.10946919,1.45806005,1.27947093,0.08731476,1.04346512
