energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-5.56178089,6.34863567,0.02033377,0.34520468,1.17087932,1.31548073,0.05093090,3.38540191,1.31962236,0.52022938
-5.55577789,6.44357453,0.02090285,0.34622445,1.19509123,1.33516681,0.05071749,3.44428897,1.34805736,0.52656344
-5.54977489,6.52256487,0.02141324,0.34635790,1.21748828,1.35074978,0.05030947,3.49509313,1.37241150,0.53194474
-5.54377189,6.58568874,0.02186685,0.34565320,1.23792710,1.36231479,0.04974358,3.53777209,1.39247288,0.53639520
-5.53776888,6.63325997,0.02226743,0.34416473,1.25626848,1.37003060,0.04906281,3.57240843,1.40809292,0.53994231
-5.53176588,6.66583347,0.02262053,0.34195215,1.27238443,1.37414912,0.04831529,3.59921774,1.41919420,0.54261958
-5.52576288,6.68420831,0.02293343,0.33907954,1.28616523,1.37500223,0.04755312,3.61855299,1.42577635,0.54446719
-5.51975988,6.68942298,0.02321493,0.33561464,1.29752612,1.37299573,0.04683092,3.63090403,1.42791943,0.54553234
-5.51375688,6.68274145,0.02347513,0.33162805,1.30641284,1.36860031,0.04620437,3.63689145,1.42578449,0.54586954
-5.50775388,6.66562906,0.02372516,0.32719242,1.31280576,1.36233949,0.04572858,3.63725424,1.41961095,0.54554042
-5.50175088,6.63971783,0.02397680,0.32238165,1.31672215,1.35477477,0.04545647,3.63283085,1.40971069,0.54461316
-5.49574787,6.60676138,0.02424210,0.31726993,1.31821620,1.34648833,0.04543711,3.62453391,1.39645895,0.54316126
-5.48974487,6.56858029,0.02453295,0.31193063,1.31737690,1.33806366,0.04571412,3.61331921,1.38028230,0.54126177
-5.48374187,6.52699972,0.02486058,0.30643511,1.31432370,1.33006500,0.04632416,3.60014985,1.36164405,0.53899300
-5.47773887,6.48378149,0.02523515,0.30085133,1.30920011,1.32301609,0.04729556,3.58595716,1.34102776,0.53643161
-5.47173587,6.44055374,0.02566523,0.29524240,1.30216584,1.31737945,0.04864707,3.57160006,1.31891960,0.53364943
