energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.48929521,0.72723863,2.05451018,0.00200801,0.11444168,0.36532455,0.86333469,0.01583447,0.35720328
-5.99399700,3.47807273,0.72683393,2.05323467,0.00193214,0.11450790,0.36676533,0.85072738,0.01586975,0.35933311
-5.98799400,3.46684076,0.72478263,2.05124802,0.00186685,0.11428118,0.36814394,0.83986660,0.01587535,0.36102029
-5.98199100,3.45604528,0.72109986,2.04884001,0.00181311,0.11374598,0.36947374,0.83092644,0.01585079,0.36227844
-5.97598799,3.44609439,0.71583661,2.04629364,0.00177187,0.11289269,0.37076472,0.82402461,0.01579619,0.36313133
-5.96998499,3.43735785,0.70908128,2.04388394,0.00174401,0.11171863,0.37202391,0.81922087,0.01571238,0.36361314
-5.96398199,3.43016621,0.70095962,2.04187592,0.00173045,0.11022865,0.37325569,0.81651729,0.01560095,0.36376805
-5.95797899,3.42480919,0.69163285,2.04052174,0.00173210,0.10843551,0.37446194,0.81586026,0.01546423,0.36364930
-5.95197599,3.42153331,0.68129403,2.04005675,0.00174991,0.10635977,0.37564202,0.81714415,0.01530528,0.36331758
-5.94597299,3.42053865,0.67016295,2.04069483,0.00178489,0.10402939,0.37679260,0.82021660,0.01512776,0.36283892
-5.93996998,3.42197517,0.65847952,2.04262285,0.00183805,0.10147890,0.37790734,0.82488518,0.01493580,0.36228215
-5.93396698,3.42593864,0.64649620,2.04599492,0.00191045,0.09874839,0.37897653,0.83092528,0.01473389,0.36171603
-5.92796398,3.43246690,0.63446958,2.05092645,0.00200311,0.09588211,0.37998662,0.83808892,0.01452664,0.36120622
-5.92196098,3.44153667,0.62265165,2.05748871,0.00211699,0.09292705,0.38091990,0.84611426,0.01431863,0.36081226
-5.91595798,3.45306157,0.61128109,2.06570409,0.00225295,0.08993129,0.38175422,0.85473538,0.01411416,0.36058475
-5.90995498,3.46689152,0.60057495,2.07554263,0.00241168,0.08694239,0.38246291,0.86369206,0.01391712,0.36056280
-5.90395198,3.48281414,0.59072109,2.08692010,0.00259365,0.08400589,0.38301501,0.87273902,0.01373077,0.36077203
-5.89794897,3.50055803,0.58187175,2.09969786,0.00279903,0.08116384,0.38337561,0.88165441,0.01355766,0.36122306
-5.89194597,3.51979824,0.57413844,2.11368487,0.00302766,0.07845355,0.38350665,0.89024701,0.01339945,0.36191077
-5.88594297,3.54016373,0.56758843,2.12864172,0.00327896,0.07590663,0.38336786,0.89836190,0.01325695,0.36281421
-5.87993997,3.56124672,0.56224290,2.14428685,0.00355190,0.07354818,0.38291805,0.90588430,0.01313000,0.36389723
-5.87393697,3.58261355,0.55807686,2.16030473,0.00384498,0.07139636,0.38211650,0.91274136,0.01301761,0.36510981
-5.86793397,3.60381666,0.55502083,2.17635579,0.00415619,0.06946218,0.38092462,0.91890192,0.01291793,0.36639003
-5.86193097,3.62440743,0.55296413,2.19208773,0.00448298,0.06774959,0.37930755,0.92437407,0.01282843,0.36766654
-5.85592796,3.64394905,0.55175968,2.20714787,0.00482234,0.06625580,0.37723586,0.92920080,0.01274601,0.36886146
-5.84992496,3.66202929,0.55123009,2.22119601,0.00517073,0.06497186,0.37468704,0.93345397,0.01266715,0.36989353
-5.84392196,3.67827242,0.55117477,2.23391728,0.00552421,0.06388335,0.37164697,0.93722679,0.01258811,0.37068142
-5.83791896,3.69235006,0.55137778,2.24503445,0.00587847,0.06297130,0.36811098,0.94062541,0.01250509,0.37114698
-5.83191596,3.70399035,0.55161607,2.25431914,0.00622889,0.06221314,0.36408472,0.94376002,0.01241438,0.37121834
-5.82591296,3.71298533,0.55166786,2.26160140,0.00657065,0.06158371,0.35958465,0.94673590,0.01231257,0.37083276
-5.81990995,3.71919609,0.55132071,2.26677725,0.00689885,0.06105633,0.35463811,0.94964500,0.01219666,0.36993900
-5.81390695,3.72255558,0.55037916,2.26981367,0.00720859,0.06060378,0.34928306,0.95255858,0.01206417,0.36849926
-5.80790395,3.72306901,0.54867141,2.27075077,0.00749512,0.06019921,0.34356733,0.95552109,0.01191324,0.36649054
-5.80190095,3.72081170,0.54605514,2.26970103,0.00775396,0.05981704,0.33754761,0.95854592,0.01174271,0.36390540
-5.79589795,3.71592457,0.54242188,2.26684534,0.00798099,0.05943364,0.33128806,0.96161301,0.01155212,0.36075213
-5.78989495,3.70860723,0.53770018,2.26242612,0.00817261,0.05902793,0.32485854,0.96466849,0.01134171,0.35705430
-5.78389195,3.69910905,0.53185722,2.25673749,0.00832582,0.05858181,0.31833279,0.96762645,0.01111247,0.35284985
-5.77788894,3.68771846,0.52489902,2.25011310,0.00843832,0.05808046,0.31178627,0.97037248,0.01086599,0.34818956
-5.77188594,3.67475080,0.51686921,2.24291185,0.00850862,0.05751252,0.30529408,0.97276906,0.01060449,0.34313523
-5.76588294,3.66053520,0.50784650,2.23550226,0.00853607,0.05687004,0.29892871,0.97466209,0.01033071,0.33775751
-5.75987994,3.64540109,0.49794099,2.22824609,0.00852091,0.05614841,0.29275800,0.97588858,0.01004785,0.33213348
-5.75387694,3.62966470,0.48728957,2.22148204,0.00846433,0.05534612,0.28684316,0.97628469,0.00975945,0.32634416
-5.74787394,3.61361628,0.47605051,2.21551019,0.00836844,0.05446449,0.28123702,0.97569392,0.00946934,0.32047201
-5.74187094,3.59750850,0.46439768,2.21057807,0.00823625,0.05350727,0.27598257,0.97397486,0.00918153,0.31459847
-5.73586793,3.58154662,0.45251452,2.20686895,0.00807165,0.05248021,0.27111182,0.97100823,0.00890015,0.30880171
-5.72986493,3.56588085,0.44058798,2.20449302,0.00787936,0.05139069,0.26664504,0.96670263,0.00862935,0.30315458
-5.72386193,3.55060125,0.42880287,2.20348192,0.00766482,0.05024725,0.26259032,0.96099902,0.00837325,0.29772295
-5.71785893,3.53573551,0.41733656,2.20378694,0.00743412,0.04905918,0.25894364,0.95387344,0.00813583,0.29256423
-5.71185593,3.52124964,0.40635439,2.20528092,0.00719389,0.04783614,0.25568931,0.94533811,0.00792094,0.28772644
-5.70585293,3.50705154,0.39600588,2.20776390,0.00695115,0.04658784,0.25280072,0.93544074,0.00773219,0.28324749
-5.69984992,3.49299731,0.38642170,2.21097217,0.00671323,0.04532372,0.25024160,0.92426231,0.00757290,0.27915493
-5.69384692,3.47890001,0.37771159,2.21459029,0.00648760,0.04405271,0.24796744,0.91191325,0.00744608,0.27546602
-5.68784392,3.46454025,0.36996313,2.21826541,0.00628172,0.04278309,0.24592730,0.89852855,0.00735437,0.27218806
-5.68184092,3.44967821,0.36324129,2.22162326,0.00610290,0.04152230,0.24406571,0.88426180,0.00730001,0.26931907
