energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,3.10813407,0.00127259,0.63981801,0.10098986,0.94288559,1.84244658,0.01629307,0.45790907
-5.99399700,3.08877199,0.00129869,0.63947356,0.09902741,0.94611358,1.84419305,0.01534454,0.44912175
-5.98799400,3.06786079,0.00132140,0.63856153,0.09713612,0.94971361,1.84478421,0.01437062,0.44042127
-5.98199100,3.04629852,0.00134088,0.63721308,0.09537779,0.95414931,1.84454075,0.01338557,0.43204530
-5.97598799,3.02498480,0.00135736,0.63556510,0.09381885,0.95989223,1.84378758,0.01240328,0.42422715
-5.96998499,3.00479812,0.00137111,0.63375671,0.09252873,0.96740959,1.84284508,0.01143697,0.41719011
-5.96398199,2.98657302,0.00138244,0.63192545,0.09157817,0.97715198,1.84201997,0.01049889,0.41114180
-5.95797899,2.97107791,0.00139169,0.63020345,0.09103733,0.98954112,1.84159603,0.00960013,0.40626903
-5.95197599,2.95899450,0.00139923,0.62871348,0.09097384,1.00495827,1.84182524,0.00875044,0.40273314
-5.94597299,2.95089937,0.00140543,0.62756529,0.09145085,1.02373352,1.84291953,0.00795807,0.40066612
-5.93996998,2.94724860,0.00141069,0.62685211,0.09252521,1.04613625,1.84504369,0.00722972,0.40016761
-5.93396698,2.94836587,0.00141543,0.62664771,0.09424568,1.07236706,1.84830964,0.00657055,0.40130284
-5.92796398,2.95443454,0.00142007,0.62700389,0.09665141,1.10255131,1.85277251,0.00598416,0.40410155
-5.92196098,2.96549388,0.00142510,0.62794868,0.09977061,1.13673438,1.85842851,0.00547266,0.40855800
-5.91595798,2.98143961,0.00143103,0.62948523,0.10361953,1.17487886,1.86521491,0.00503679,0.41463193
-5.90995498,3.00202860,0.00143843,0.63159147,0.10820175,1.21686352,1.87301196,0.00467603,0.42225040
-5.90395198,3.02688748,0.00144794,0.63422049,0.11350767,1.26248424,1.88164682,0.00438870,0.43131053
-5.89794897,3.05552489,0.00146030,0.63730172,0.11951451,1.31145679,1.89089918,0.00417217,0.44168290
-5.89194597,3.08734674,0.00147630,0.64074279,0.12618643,1.36342150,1.90050854,0.00402297,0.45321552
-5.88594297,3.12167409,0.00149688,0.64443207,0.13347513,1.41794966,1.91018262,0.00393698,0.46573826
-5.87993997,3.15776299,0.00152305,0.64824181,0.14132059,1.47455177,1.91960680,0.00390955,0.47906757
-5.87393697,3.19482577,0.00155593,0.65203170,0.14965219,1.53268741,1.92845420,0.00393565,0.49301135
-5.86793397,3.23205313,0.00159672,0.65565299,0.15839000,1.59177674,1.93639598,0.00401007,0.50737395
-5.86193097,3.26863662,0.00164671,0.65895277,0.16744636,1.65121347,1.94311172,0.00412747,0.52196100
-5.85592796,3.30379084,0.00170721,0.66177858,0.17672756,1.71037910,1.94829947,0.00428258,0.53658414
-5.84992496,3.33677502,0.00177957,0.66398312,0.18613575,1.76865824,1.95168536,0.00447028,0.55106546
-5.84392196,3.36691339,0.00186509,0.66542893,0.19557087,1.82545457,1.95303227,0.00468573,0.56524157
-5.83791896,3.39361392,0.00196501,0.66599299,0.20493270,1.88020721,1.95214775,0.00492448,0.57896725
-5.83191596,3.41638496,0.00208043,0.66557109,0.21412292,1.93240677,1.94889060,0.00518255,0.59211852
-5.82591296,3.43484930,0.00221228,0.66408183,0.22304706,1.98161070,1.94317622,0.00545652,0.60459506
-5.81990995,3.44875512,0.00236121,0.66147008,0.23161640,2.02745715,1.93498031,0.00574359,0.61632199
-5.81390695,3.45798337,0.00252761,0.65770979,0.23974969,2.06967676,1.92434101,0.00604164,0.62725076
-5.80790395,3.46255118,0.00271149,0.65280603,0.24737462,2.10810168,1.91135903,0.00634924,0.63735921
-5.80190095,3.46261080,0.00291244,0.64679593,0.25442907,2.14267119,1.89619594,0.00666567,0.64665077
-5.79589795,3.45844397,0.00312962,0.63974870,0.26086197,2.17343350,1.87907024,0.00699087,0.65515263
-5.78989495,3.45045141,0.00336169,0.63176438,0.26663394,2.20054328,1.86025140,0.00732541,0.66291315
-5.78389195,3.43913767,0.00360685,0.62297131,0.27171745,2.22425480,1.84005191,0.00767039,0.66999835
-5.77788894,3.42509157,0.00386279,0.61352247,0.27609673,2.24491080,1.81881723,0.00802731,0.67648768
-5.77188594,3.40896275,0.00412675,0.60359055,0.27976734,2.26292733,1.79691438,0.00839797,0.68246933
-5.76588294,3.39143528,0.00439556,0.59336203,0.28273545,2.27877523,1.77471898,0.00878427,0.68803505
-5.75987994,3.37319915,0.00466568,0.58303032,0.28501693,2.29295891,1.75260175,0.00918801,0.69327504
-5.75387694,3.35492117,0.00493332,0.57278837,0.28663626,2.30599363,1.73091466,0.00961075,0.69827279
-5.74787394,3.33721641,0.00519455,0.56282097,0.28762540,2.31838216,1.70997755,0.01005359,0.70310058
-5.74187094,3.32062171,0.00544536,0.55329703,0.28802263,2.33059223,1.69006585,0.01051700,0.70781549
-5.73586793,3.30557276,0.00568186,0.54436242,0.28787145,2.34303593,1.67140010,0.01100063,0.71245645
-5.72986493,3.29238582,0.00590038,0.53613343,0.28721960,2.35605202,1.65413777,0.01150321,0.71704235
-5.72386193,3.28124532,0.00609761,0.52869152,0.28611824,2.36989234,1.63836796,0.01202245,0.72157148
-5.71785893,3.27219800,0.00627072,0.52207936,0.28462123,2.38471274,1.62410929,0.01255497,0.72602217
-5.71185593,3.26515391,0.00641752,0.51629868,0.28278465,2.40056928,1.61131123,0.01309633,0.73035475
-5.70585293,3.25989438,0.00653651,0.51130977,0.28066638,2.41741950,1.59985869,0.01364107,0.73451464
-5.69984992,3.25608643,0.00662699,0.50703296,0.27832576,2.43512874,1.58957986,0.01418281,0.73843637
-5.69384692,3.25330278,0.00668910,0.50335187,0.27582330,2.45348095,1.58025665,0.01471443,0.74204835
-5.68784392,3.25104629,0.00672380,0.50011834,0.27322033,2.47219311,1.57163740,0.01522822,0.74527793
-5.68184092,3.24877739,0.00673293,0.49715874,0.27057853,2.49093242,1.56345091,0.01571619,0.74805655
-5.67583792,3.24594300,0.00671906,0.49428152,0.26795934,2.50933497,1.55542115,0.01617027,0.75032458
