energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.72596529,0.01234648,0.66586591,0.73344650,1.23623748,0.07663074,1.40036795,0.36837260,0.23480797
-5.99399700,3.72357413,0.01206355,0.66699280,0.73429669,1.23322708,0.08170023,1.39469081,0.34716426,0.23410514
-5.98799400,3.72834657,0.01184354,0.66723690,0.73790300,1.22959489,0.08687612,1.39475775,0.32837135,0.23429850
-5.98199100,3.74056024,0.01168747,0.66676930,0.74448388,1.22570721,0.09209258,1.40055723,0.31219190,0.23536295
-5.97598799,3.76050982,0.01159464,0.66581716,0.75428056,1.22201148,0.09728214,1.41201456,0.29879354,0.23726011
-5.96998499,3.78855652,0.01156284,0.66466626,0.76756836,1.21904261,0.10237776,1.42901882,0.28831776,0.23994363
-5.96398199,3.82517596,0.01158855,0.66366183,0.78466723,1.21742656,0.10731469,1.45145117,0.28088492,0.24336476
-5.95797899,3.87100077,0.01166717,0.66320732,0.80595058,1.21788065,0.11203237,1.47921235,0.27659926,0.24747797
-5.95197599,3.92685399,0.01179329,0.66376085,0.83185113,1.22120973,0.11647610,1.51224766,0.27555374,0.25224622
-5.94597299,3.99376988,0.01196099,0.66582922,0.86286286,1.22829802,0.12059845,1.55056736,0.27783390,0.25764557
-5.93996998,4.07299934,0.01216408,0.66995913,0.89953798,1.24009601,0.12436031,1.59426093,0.28352050,0.26366881
-5.93396698,4.16599760,0.01239634,0.67672584,0.94247841,1.25760230,0.12773153,1.64350403,0.29269054,0.27032792
-5.92796398,4.27439301,0.01265176,0.68671907,0.99232125,1.28184056,0.13069121,1.69855721,0.30541641,0.27765513
-5.92196098,4.39993684,0.01292468,0.70052637,1.04971830,1.31383162,0.13322747,1.75975613,0.32176317,0.28570247
-5.91595798,4.54443498,0.01320994,0.71871446,1.11530981,1.35456137,0.13533687,1.82749349,0.34178403,0.29453983
-5.90995498,4.70966364,0.01350296,0.74180859,1.18969346,1.40494511,0.13702345,1.90219340,0.36551412,0.30425163
-5.90395198,4.89727234,0.01379977,0.77027086,1.27338945,1.46578947,0.13829750,1.98427952,0.39296308,0.31493217
-5.89794897,5.10867846,0.01409698,0.80447796,1.36680346,1.53775301,0.13917419,2.07413859,0.42410679,0.32667996
-5.89194597,5.34495831,0.01439178,0.84469923,1.47018911,1.62130710,0.13967203,2.17208152,0.45887892,0.33959125
-5.88594297,5.60674040,0.01468187,0.89107596,1.58361218,1.71669861,0.13981140,2.27830423,0.49716287,0.35375324
-5.87993997,5.89410684,0.01496534,0.94360285,1.70691858,1.82391626,0.13961321,2.39285072,0.53878472,0.36923718
-5.87393697,6.20650876,0.01524067,1.00211271,1.83970842,1.94266222,0.13909774,2.51558063,0.58350793,0.38609179
-5.86793397,6.54270127,0.01550657,1.06626526,1.98131801,2.07233102,0.13828375,2.64614358,0.63103018,0.40433744
-5.86193097,6.90070281,0.01576202,1.13554099,2.13081178,2.21199702,0.13718799,2.78396199,0.68098300,0.42396130
-5.85592796,7.27778281,0.01600617,1.20924087,2.28698522,2.36041205,0.13582493,2.92822385,0.73293435,0.44491382
-5.84992496,7.67047998,0.01623837,1.28649236,2.44837984,2.51601418,0.13420696,3.07788635,0.78639439,0.46710668
-5.84392196,8.07465270,0.01645819,1.36626211,2.61331024,2.67694815,0.13234482,3.23169054,0.84082442,0.49041241
-5.83791896,8.48556052,0.01666549,1.44737541,2.77990283,2.84109776,0.13024829,3.38818666,0.89564870,0.51466566
-5.83191596,8.89797502,0.01686049,1.52854205,2.94614506,3.00612960,0.12792706,3.54576930,0.95026877,0.53966610
-5.82591296,9.30631590,0.01704386,1.60838803,3.10994338,3.16954734,0.12539173,3.70272061,1.00407972,0.56518278
-5.81990995,9.70480732,0.01721681,1.68549217,3.26918738,3.32875485,0.12265472,3.85725985,1.05648758,0.59095986
-5.81390695,10.08764792,0.01738120,1.75842646,3.42181745,3.48112637,0.11973118,4.00759649,1.10692716,0.61672318
-5.80790395,10.44918730,0.01753961,1.82579861,3.56589265,3.62408088,0.11663969,4.15198470,1.15487925,0.64218766
-5.80190095,10.78410109,0.01769538,1.88629521,3.69965548,3.75515837,0.11340268,4.28877610,1.19988651,0.66706492
-5.79589795,11.08755691,0.01785260,1.93872378,3.82159050,3.87209448,0.11004659,4.41646851,1.24156708,0.69107093
-5.78989495,11.35536354,0.01801612,1.98205188,3.93047363,3.97289092,0.10660177,4.53374819,1.27962519,0.71393315
-5.78389195,11.58409691,0.01819142,2.01544164,4.02540987,4.05587854,0.10310193,4.63952359,1.31385833,0.73539709
-5.77788894,11.77119717,0.01838447,2.03827831,4.10585744,4.11977039,0.09958342,4.73294921,1.34416043,0.75523183
-5.77188594,11.91503316,0.01860159,2.05019136,4.17163734,4.16370268,0.09608414,4.81343875,1.37052108,0.77323433
-5.76588294,12.01493179,0.01884918,2.05106751,4.22292807,4.18726189,0.09264236,4.88066712,1.39302074,0.78923251
-5.75987994,12.07117213,0.01913347,2.04105493,4.26024608,4.19049702,0.08929530,4.93456198,1.41182228,0.80308693
-5.75387694,12.08494552,0.01946026,2.02055872,4.28441331,4.17391660,0.08607772,4.97528553,1.42715943,0.81469123
-5.74787394,12.05828487,0.01983464,1.99022777,4.29651402,4.13847089,0.08302059,5.00320835,1.43932272,0.82397132
-5.74187094,11.99396779,0.02026071,1.95093386,4.29784345,4.08552027,0.08014978,5.01887694,1.44864384,0.83088362
-5.73586793,11.89539919,0.02074138,1.90374394,4.28985141,4.01679138,0.07748500,5.02297748,1.45547926,0.83541248
-5.72986493,11.76648000,0.02127812,1.84988707,4.27408393,3.93432318,0.07503901,5.01629778,1.46019392,0.83756710
-5.72386193,11.61146864,0.02187088,1.79071728,4.25212623,3.84040537,0.07281710,4.99968997,1.46314608,0.83737821
-5.71785893,11.43484205,0.02251801,1.72767417,4.22554959,3.73751179,0.07081693,4.97403580,1.46467387,0.83489475
-5.71185593,11.24116230,0.02321622,1.66224282,4.19586479,3.62823147,0.06902870,4.94021637,1.46508414,0.83018075
-5.70585293,11.03495412,0.02396070,1.59591444,4.16448372,3.51519994,0.06743564,4.89908753,1.46464428,0.82331269
-5.69984992,10.82059727,0.02474522,1.53014927,4.13269034,3.40103309,0.06601485,4.85146170,1.46357682,0.81437737
-5.69384692,10.60223652,0.02556232,1.46634265,4.10162121,3.28826554,0.06473838,4.79809627,1.46205719,0.80347039
-5.68784392,10.38371053,0.02640355,1.40579537,4.07225535,3.17929511,0.06357456,4.73968844,1.46021408,0.79069522
-5.68184092,10.16849947,0.02725977,1.34968865,4.04541230,3.07633440,0.06248937,4.67687539,1.45813228,0.77616283
-5.67583792,9.95969015,0.02812133,1.29906413,4.02175686,2.98137022,0.06144806,4.61023897,1.45585726,0.75999170
-5.66983492,9.75995641,0.02897845,1.25480882,4.00180865,2.89613099,0.06041657,4.54031319,1.45340104,0.74230811
-5.66383192,9.57155184,0.02982138,1.21764486,3.98595440,2.82206199,0.05936308,4.46759311,1.45074850,0.72324651
-5.65782891,9.39631159,0.03064067,1.18812363,3.97446094,2.76030806,0.05825924,4.39254358,1.44786366,0.70294980
-5.65182591,9.23566013,0.03142732,1.16662367,3.96748709,2.71170311,0.05708134,4.31560647,1.44469532,0.68156928
-5.64582291,9.09062205,0.03217288,1.15335194,3.96509298,2.67676582,0.05581117,4.23720531,1.44118159,0.65926433
-5.63981991,8.96183373,0.03286959,1.14834778,3.96724581,2.65570071,0.05443666,4.15774669,1.43725300,0.63620150
-5.63381691,8.84955427,0.03351034,1.15148906,3.97382172,2.64840413,0.05295218,4.07761812,1.43283424,0.61255312
-5.62781391,8.75367534,0.03408870,1.16250020,3.98460386,2.65447463,0.05135861,3.99718256,1.42784440,0.58849538
-5.62181091,8.67372994,0.03459888,1.18096159,3.99927743,2.67322726,0.04966310,3.91677017,1.42219604,0.56420606
-5.61580790,8.60890150,0.03503571,1.20632035,4.01742291,2.70371180,0.04787861,3.83666836,1.41579345,0.53986185
-5.60980490,8.55803475,0.03539457,1.23790234,4.03850900,2.74473472,0.04602321,3.75711112,1.40853064,0.51563557
-5.60380190,8.51965061,0.03567140,1.27492541,4.06188694,2.79488492,0.04411928,3.67826926,1.40028938,0.49169338
-5.59779890,8.49196732,0.03586272,1.31651396,4.08678810,2.85256328,0.04219247,3.60024269,1.39093807,0.46819224
-5.59179590,8.47292977,0.03596565,1.36171490,4.11232641,2.91601604,0.04027076,3.52305605,1.38033171,0.44527762
-5.58579290,8.46024866,0.03597803,1.40951515,4.13750689,2.98337180,0.03838332,3.44665880,1.36831347,0.42308181
-5.57978989,8.45145063,0.03589857,1.45886057,4.16124134,3.05268197,0.03655960,3.37093021,1.35471804,0.40172279
-5.57378689,8.44393920,0.03572697,1.50867642,4.18237131,3.12196403,0.03482828,3.29568983,1.33937689,0.38130375
-5.56778389,8.43506608,0.03546414,1.55788890,4.19969844,3.18924705,0.03321650,3.22071298,1.32212536,0.36191330
-5.56178089,8.42221085,0.03511241,1.60544765,4.21202112,3.25261825,0.03174909,3.14575098,1.30281127,0.34362627
-5.55577789,8.40286676,0.03467566,1.65034868,4.21817623,3.31026970,0.03044799,3.07055500,1.28130479,0.32650507
-5.54977489,8.37472909,0.03415953,1.69165708,4.21708420,3.36054363,0.02933183,2.99490227,1.25750896,0.31060144
-5.54377189,8.33578258,0.03357152,1.72852884,4.20779506,3.40197491,0.02841558,2.91862329,1.23137022,0.29595853
-5.53776888,8.28438364,0.03292097,1.76023114,4.18953329,3.43332929,0.02771041,2.84162841,1.20288854,0.28261296
-5.53176588,8.21933349,0.03221912,1.78616017,4.16173896,3.45363595,0.02722360,2.76393209,1.17212626,0.27059696
-5.52576288,8.13993836,0.03147891,1.80585589,4.12410279,3.46221290,0.02695859,2.68567348,1.13921533,0.25994019
-5.51975988,8.04605355,0.03071482,1.81901292,4.07659328,3.45868447,0.02691509,2.60713210,1.10436222,0.25067132
