energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,9.11443925,0.00868214,2.05104967,5.61527696,5.31864933,0.02032855,1.37807476,0.35204704,0.12550199
-5.99399700,8.83344950,0.00921346,2.01238741,5.49331579,5.17491502,0.01992659,1.30345345,0.32853036,0.11842894
-5.98799400,8.56025618,0.00979999,1.97218288,5.37758609,5.02915443,0.01967013,1.23534735,0.30743182,0.11191544
-5.98199100,8.29650139,0.01043600,1.93063500,5.26947266,4.88214110,0.01955949,1.17422685,0.28900890,0.10601315
-5.97598799,8.04366888,0.01111515,1.88794773,5.17014321,4.73466462,0.01959427,1.12046479,0.27348658,0.10076238
-5.96998499,7.80309286,0.01183070,1.84433238,5.08055451,4.58753014,0.01977356,1.07433941,0.26105727,0.09619237
-5.96398199,7.57596905,0.01257573,1.80000964,5.00146722,4.44155602,0.02009600,1.03603923,0.25188090,0.09232191
-5.95797899,7.36336627,0.01334325,1.75521129,4.93346703,4.29756965,0.02055993,1.00566911,0.24608503,0.08916011
-5.95197599,7.16623720,0.01412643,1.71018136,4.87698962,4.15640147,0.02116350,0.98325689,0.24376471,0.08670734
-5.94597299,6.98542649,0.01491876,1.66517658,4.83234650,4.01887714,0.02190470,0.96875978,0.24498199,0.08495617
-5.93996998,6.82167460,0.01571409,1.62046586,4.79974881,3.88580787,0.02278137,0.96206991,0.24976483,0.08389235
-5.93396698,6.67561610,0.01650678,1.57632861,4.77932669,3.75797879,0.02379109,0.96301844,0.25810551,0.08349558
-5.92796398,6.54777146,0.01729170,1.53305176,4.77114185,3.63613563,0.02493105,0.97137798,0.26995845,0.08374019
-5.92196098,6.43853188,0.01806420,1.49092533,4.77519215,3.52096955,0.02619783,0.98686311,0.28523762,0.08459567
-5.91595798,6.34813765,0.01882006,1.45023657,4.79140750,3.41310064,0.02758714,1.00912904,0.30381367,0.08602689
-5.90995498,6.27665088,0.01955541,1.41126271,4.81963746,3.31306045,0.02909341,1.03776897,0.32551123,0.08799427
-5.90395198,6.22392456,0.02026653,1.37426261,4.85963187,3.22127419,0.03070954,1.07231042,0.35010642,0.09045375
