energy_ev,total_up,Mo_p_up,Mo_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.96129744,1.64312749,2.06989580,0.42386663,0.01446581,1.74452631,0.00000000
-5.99399700,2.81546477,1.54781753,1.98061208,0.39131829,0.01387673,1.67556649,0.00000000
-5.98799400,2.67459946,1.45692220,1.89335193,0.36004284,0.01330697,1.60865922,0.00000000
-5.98199100,2.53933878,1.37065674,1.80852293,0.33032954,0.01275616,1.54393974,0.00000000
-5.97598799,2.41024692,1.28918502,1.72649529,0.30243943,0.01222365,1.48152643,0.00000000
-5.96998499,2.28781963,1.21262949,1.64760438,0.27660076,0.01170859,1.42152925,0.00000000
-5.96398199,2.17248932,1.14108045,1.57215363,0.25300535,0.01121008,1.36405746,0.00000000
-5.95797899,2.06463013,1.07460420,1.50041744,0.23180598,0.01072726,1.30922594,0.00000000
-5.95197599,1.96456262,1.01324971,1.43264386,0.21311481,0.01025941,1.25715979,0.00000000
-5.94597299,1.87255737,0.95705373,1.36905666,0.19700285,0.00980606,1.20799708,0.00000000
-5.93996998,1.78883745,0.90604400,1.30985648,0.18350032,0.00936701,1.16188940,0.00000000
-5.93396698,1.71357922,0.86024076,1.25522088,0.17259798,0.00894242,1.11900013,0.00000000
-5.92796398,1.64691155,0.81965642,1.20530326,0.16424923,0.00853280,1.07950053,0.00000000
-5.92196098,1.58891340,0.78429378,1.16023053,0.15837297,0.00813903,1.04356380,0.00000000
-5.91595798,1.53961003,0.75414278,1.12009975,0.15485704,0.00776233,1.01135730,0.00000000
-5.90995498,1.49896814,0.72917633,1.08497397,0.15356233,0.00740426,0.98303338,0.00000000
-5.90395198,1.46689054,0.70934548,1.05487760,0.15432727,0.00706662,0.95871934,0.00000000
-5.89794897,1.44321095,0.69457432,1.02979180,0.15697287,0.00675144,0.93850705,0.00000000
-5.89194597,1.42768964,0.68475520,1.00965030,0.16130799,0.00646088,0.92244282,0.00000000
-5.88594297,1.42001056,0.67974450,0.99433619,0.16713506,0.00619718,0.91051826,0.00000000
-5.87993997,1.41978086,0.67935953,0.98368030,0.17425590,0.00596257,0.90266265,0.00000000
-5.87393697,1.42653312,0.68337684,0.97746131,0.18247775,0.00575923,0.89873740,0.00000000
-5.86793397,1.43973099,0.69153224,0.97540826,0.19161936,0.00558920,0.89853312,0.00000000
-5.86193097,1.45877832,0.70352277,0.97720539,0.20151696,0.00545437,0.90176957,0.00000000
-5.85592796,1.48303197,0.71901062,0.98249954,0.21203010,0.00535641,0.90809875,0.00000000
-5.84992496,1.51181790,0.73762904,0.99090983,0.22304699,0.00529680,0.91711103,0.00000000
-5.84392196,1.54445029,0.75899018,1.00203948,0.23448945,0.00527674,0.92834441,0.00000000
-5.83791896,1.58025283,0.78269441,1.01548924,0.24631696,0.00529723,0.94129626,0.00000000
-5.83191596,1.61858135,0.80834091,1.03087189,0.25852991,0.00535904,0.95543745,0.00000000
-5.82591296,1.65884668,0.83553906,1.04782699,0.27117166,0.00546274,0.97022795,0.00000000
-5.81990995,1.70053671,0.86392005,1.06603538,0.28432930,0.00560871,0.98513342,0.00000000
-5.81390695,1.74323623,0.89314816,1.08523234,0.29813295,0.00579720,0.99964196,0.00000000
-5.80790395,1.78664359,0.92293123,1.10521889,0.31275355,0.00602833,1.01328029,0.00000000
-5.80190095,1.83058300,0.95302953,1.12587043,0.32839893,0.00630211,1.02562859,0.00000000
-5.79589795,1.87501158,0.98326274,1.14714210,0.34530823,0.00661845,1.03633330,0.00000000
-5.78989495,1.92002052,1.01351438,1.16907050,0.36374473,0.00697718,1.04511744,0.00000000
-5.78389195,1.96582979,1.04373346,1.19177148,0.38398705,0.00737804,1.05178779,0.00000000
-5.77788894,2.01277648,1.07393301,1.21543383,0.40631904,0.00782066,1.05623877,0.00000000
-5.77188594,2.06129665,1.10418538,1.24030904,0.43101847,0.00830450,1.05845282,0.00000000
-5.76588294,2.11190140,1.13461438,1.26669736,0.45834483,0.00882889,1.05849727,0.00000000
-5.75987994,2.16514779,1.16538442,1.29493074,0.48852660,0.00939288,1.05651789,0.00000000
-5.75387694,2.22160561,1.19668689,1.32535312,0.52174837,0.00999527,1.05272940,0.00000000
-5.74787394,2.28182131,1.22872442,1.35829883,0.55813823,0.01063450,1.04740333,0.00000000
-5.74187094,2.34628045,1.26169352,1.39407015,0.59775587,0.01130860,1.04085386,0.00000000
-5.73586793,2.41537023,1.29576625,1.43291462,0.64058194,0.01201512,1.03342211,0.00000000
-5.72986493,2.48934368,1.33107193,1.47500335,0.68650909,0.01275110,1.02545965,0.00000000
-5.72386193,2.56828712,1.36767957,1.52041106,0.73533511,0.01351297,1.01731186,0.00000000
-5.71785893,2.65209237,1.40558194,1.56909883,0.78675867,0.01429655,1.00930171,0.00000000
-5.71185593,2.74043520,1.44468217,1.62090036,0.84037799,0.01509697,1.00171482,0.00000000
-5.70585293,2.83276111,1.48478362,1.67551248,0.89569272,0.01590873,0.99478622,0.00000000
-5.69984992,2.92827946,1.52558374,1.73249039,0.95210917,0.01672563,0.98868934,0.00000000
-5.69384692,3.02596659,1.56667234,1.79124813,1.00894898,0.01754084,0.98352772,0.00000000
-5.68784392,3.12457822,1.60753478,1.85106447,1.06546126,0.01834692,0.97932976,0.00000000
-5.68184092,3.22267106,1.64756001,1.91109413,1.12083776,0.01913589,0.97604662,0.00000000
-5.67583792,3.31863330,1.68605353,1.97038433,1.17423100,0.01989934,0.97355345,0.00000000
-5.66983492,3.41072301,1.72225480,2.02789610,1.22477459,0.02062852,0.97165380,0.00000000
-5.66383192,3.49711334,1.75535860,2.08252978,1.27160542,0.02131447,0.97008713,0.00000000
-5.65782891,3.57594309,1.78453956,2.13315396,1.31388672,0.02194819,0.96853897,0.00000000
-5.65182591,3.64537075,1.80897892,2.17863685,1.35083140,0.02252078,0.96665343,0.00000000
-5.64582291,3.70363019,1.82789228,2.21787903,1.38172476,0.02302364,0.96404742,0.00000000
-5.63981991,3.74908582,1.84055749,2.24984639,1.40594569,0.02344865,0.96032616,0.00000000
-5.63381691,3.78028523,1.84634114,2.27360207,1.42298566,0.02378833,0.95509907,0.00000000
-5.62781391,3.79600715,1.84472274,2.28833625,1.43246470,0.02403608,0.94799564,0.00000000
-5.62181091,3.79530312,1.83531552,2.29339260,1.43414374,0.02418631,0.93868047,0.00000000
-5.61580790,3.77753102,1.81788284,2.28829051,1.42793288,0.02423463,0.92686691,0.00000000
-5.60980490,3.74237942,1.79234968,2.27274216,1.41389536,0.02417798,0.91232869,0.00000000
-5.60380190,3.68988177,1.75880867,2.24666390,1.39224687,0.02401475,0.89490929,0.00000000
-5.59779890,3.62041999,1.71752046,2.21018148,1.36335060,0.02374487,0.87452842,0.00000000
-5.59179590,3.53471750,1.66890861,2.16362900,1.32770799,0.02336988,0.85118567,0.00000000
-5.58579290,3.43382204,1.61354906,2.10754175,1.28594570,0.02289289,0.82496111,0.00000000
-5.57978989,3.31907912,1.55215506,2.04264309,1.23879943,0.02231863,0.79601292,0.00000000
-5.57378689,3.19209724,1.48555787,1.96982620,1.18709503,0.02165332,0.76457236,0.00000000
-5.56778389,3.05470626,1.41468446,1.89013110,1.13172782,0.02090459,0.73093617,0.00000000
-5.56178089,2.90891054,1.34053286,1.80471810,1.07364074,0.02008135,0.69545701,0.00000000
-5.55577789,2.75683862,1.26414627,1.71483849,1.01380209,0.01919356,0.65853226,0.00000000
-5.54977489,2.60069101,1.18658688,1.62180349,0.95318360,0.01825208,0.62059171,0.00000000
-5.54377189,2.44268800,1.10891025,1.52695261,0.89273939,0.01726840,0.58208469,0.00000000
-5.53776888,2.28501888,1.03214108,1.43162217,0.83338631,0.01625439,0.54346715,0.00000000
-5.53176588,2.12979401,0.95725101,1.33711518,0.77598626,0.01522206,0.50518907,0.00000000
-5.52576288,1.97900098,0.88513901,1.24467311,0.72133056,0.01418330,0.46768269,0.00000000
-5.51975988,1.83446571,0.81661473,1.15545039,0.67012668,0.01314961,0.43135196,0.00000000
-5.51375688,1.69781920,0.75238500,1.07049210,0.62298756,0.01213189,0.39656330,0.00000000
-5.50775388,1.57047051,0.69304361,0.99071534,0.58042322,0.01114022,0.36363810,0.00000000
-5.50175088,1.45358604,0.63906436,0.91689440,0.54283496,0.01018365,0.33284688,0.00000000
-5.49574787,1.34807532,0.59079718,0.84965002,0.51051184,0.00927011,0.30440524,0.00000000
-5.48974487,1.25458311,0.54846724,0.78944263,0.48362935,0.00840625,0.27847158,0.00000000
-5.48374187,1.17348766,0.51217674,0.73656959,0.46225021,0.00759739,0.25514651,0.00000000
-5.47773887,1.10490478,0.48190913,0.69116629,0.44632719,0.00684747,0.23447381,0.00000000
-5.47173587,1.04869734,0.45753554,0.65321078,0.43570769,0.00615910,0.21644275,0.00000000
-5.46573287,1.00448982,0.43882301,0.62253182,0.43014021,0.00553355,0.20099175,0.00000000
-5.45972986,0.97168731,0.42544451,0.59881995,0.42928233,0.00497089,0.18801296,0.00000000
-5.45372686,0.94949871,0.41699023,0.58164128,0.43271048,0.00447005,0.17735781,0.00000000
-5.44772386,0.93696329,0.41298011,0.57045358,0.43993095,0.00402896,0.16884314,0.00000000
-5.44172086,0.93298034,0.41287734,0.56462441,0.45039247,0.00364472,0.16225787,0.00000000
-5.43571786,0.93634104,0.41610244,0.56345068,0.46349986,0.00331373,0.15736997,0.00000000
-5.42971486,0.94576208,0.42204792,0.56617934,0.47862862,0.00303191,0.15393347,0.00000000
-5.42371186,0.95992016,0.43009311,0.57202857,0.49514034,0.00279480,0.15169555,0.00000000
-5.41770885,0.97748660,0.43961882,0.58020913,0.51239839,0.00259778,0.15040332,0.00000000
-5.41170585,0.99716127,0.45002169,0.58994511,0.52978358,0.00243618,0.14981030,0.00000000
-5.40570285,1.01770489,0.46072777,0.60049376,0.54670946,0.00230547,0.14968237,0.00000000
-5.39969985,1.03796890,0.47120502,0.61116372,0.56263663,0.00220133,0.14980311,0.00000000
-5.39369685,1.05692194,0.48097450,0.62133119,0.57708568,0.00211980,0.14997832,0.00000000
-5.38769385,1.07367225,0.48961978,0.63045354,0.58964833,0.00205732,0.15003970,0.00000000
-5.38169085,1.08748525,0.49679442,0.63808004,0.59999631,0.00201085,0.14984761,0.00000000
-5.37568784,1.09779582,0.50222729,0.64385937,0.60788763,0.00197784,0.14929277,0.00000000
-5.36968484,1.10421483,0.50572556,0.64754364,0.61317011,0.00195630,0.14829695,0.00000000
-5.36368184,1.10652994,0.50717527,0.64898903,0.61578180,0.00194477,0.14681262,0.00000000
-5.35767884,1.10470062,0.50653967,0.64815301,0.61574864,0.00194231,0.14482161,0.00000000
-5.35167584,1.09884786,0.50385517,0.64508829,0.61317911,0.00194846,0.14233287,0.00000000
-5.34567284,1.08923895,0.49922547,0.63993405,0.60825641,0.00196318,0.13937943,0.00000000
-5.33966983,1.07626834,0.49281386,0.63290470,0.60122844,0.00198681,0.13601472,0.00000000
-5.33366683,1.06043526,0.48483427,0.62427682,0.59239600,0.00201997,0.13230832,0.00000000
-5.32766383,1.04231937,0.47554135,0.61437489,0.58209992,0.00206354,0.12834155,0.00000000
-5.32166083,1.02255535,0.46522008,0.60355651,0.57070752,0.00211855,0.12420280,0.00000000
-5.31565783,1.00180777,0.45417537,0.59219766,0.55859912,0.00218613,0.11998307,0.00000000
-5.30965483,0.98074705,0.44272199,0.58067869,0.54615524,0.00226747,0.11577168,0.00000000
-5.30365183,0.96002771,0.43117527,0.56937162,0.53374473,0.00236374,0.11165246,0.00000000
-5.29764882,0.94026940,0.41984277,0.55862912,0.52171466,0.00247611,0.10770054,0.00000000
-5.29164582,0.92204159,0.40901725,0.54877553,0.51038187,0.00260567,0.10397972,0.00000000
-5.28564282,0.90585194,0.39897096,0.54010012,0.50002675,0.00275345,0.10054073,0.00000000
