energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Sn_p_up,Sn_p_down,Sn_d_up,Sn_d_down
-6.00000000,1.48527810,-1.41495239,0.36139876,-0.31508983,0.47998382,-0.46026331,0.03493001,-0.03740309,0.84125111,-0.81373572,0.07053387,-0.06644379,0.00012074,-0.00010159
-5.99399700,1.50421438,-1.44087594,0.37856161,-0.32954893,0.48249905,-0.46598918,0.03396645,-0.03699888,0.84963590,-0.82672865,0.07134180,-0.06788157,0.00012676,-0.00010751
-5.98799400,1.52268982,-1.46538122,0.39696662,-0.34517502,0.48453754,-0.47088071,0.03289089,-0.03642029,0.85766029,-0.83880059,0.07204599,-0.06914844,0.00013280,-0.00011359
-5.98199100,1.54101350,-1.48867496,0.41662918,-0.36199289,0.48621971,-0.47501184,0.03172697,-0.03567910,0.86551292,-0.85006831,0.07267945,-0.07025900,0.00013882,-0.00011979
-5.97598799,1.55947339,-1.51100842,0.43754305,-0.38002828,0.48766374,-0.47847465,0.03050026,-0.03479132,0.87337344,-0.86067807,0.07327795,-0.07123380,0.00014477,-0.00012608
-5.96998499,1.57831806,-1.53265791,0.45967296,-0.39930094,0.48898007,-0.48137358,0.02923746,-0.03377663,0.88140142,-0.87079429,0.07387856,-0.07209852,0.00015058,-0.00013241
-5.96398199,1.59774045,-1.55390474,0.48294807,-0.41981721,0.49026630,-0.48381934,0.02796571,-0.03265773,0.88972629,-0.88058769,0.07451827,-0.07288300,0.00015619,-0.00013874
-5.95797899,1.61786422,-1.57501558,0.50725639,-0.44156266,0.49160287,-0.48592296,0.02671184,-0.03145959,0.89843874,-0.89022351,0.07523246,-0.07361999,0.00016154,-0.00014500
-5.95197599,1.63873340,-1.59622396,0.53244067,-0.46449492,0.49304966,-0.48779018,0.02550171,-0.03020874,0.90758384,-0.89985031,0.07605359,-0.07434393,0.00016657,-0.00015114
-5.94597299,1.66030564,-1.61771381,0.55829601,-0.48853730,0.49464342,-0.48951633,0.02435956,-0.02893248,0.91715629,-0.90958979,0.07700983,-0.07508954,0.00017121,-0.00015709
-5.93996998,1.68244931,-1.63960575,0.58456955,-0.51357332,0.49639635,-0.49118197,0.02330747,-0.02765819,0.92709783,-0.91952812,0.07812398,-0.07589051,0.00017539,-0.00016278
-5.93396698,1.70494471,-1.66194645,0.61096222,-0.53944277,0.49829565,-0.49284938,0.02236485,-0.02641256,0.93729719,-0.92970899,0.07941244,-0.07677812,0.00017906,-0.00016815
-5.92796398,1.72748919,-1.68470180,0.63713288,-0.56593933,0.50030412,-0.49456002,0.02154804,-0.02522098,0.94759227,-0.94012882,0.08088460,-0.07778006,0.00018215,-0.00017312
-5.92196098,1.74970602,-1.70775390,0.66270472,-0.59281018,0.50236175,-0.49633295,0.02086995,-0.02410694,0.95777483,-0.95073420,0.08254228,-0.07891930,0.00018463,-0.00017762
-5.91595798,1.77115673,-1.73090199,0.68727375,-0.61975781,0.50438812,-0.49816437,0.02033985,-0.02309150,0.96759727,-0.96142173,0.08437958,-0.08021321,0.00018644,-0.00018159
-5.90995498,1.79135629,-1.75386735,0.71041930,-0.64644389,0.50628566,-0.50002800,0.01996316,-0.02219284,0.97678137,-0.97204020,0.08638293,-0.08167279,0.00018755,-0.00018498
-5.90395198,1.80979056,-1.77630176,0.73171596,-0.67249551,0.50794342,-0.50187653,0.01974136,-0.02142592,0.98502856,-0.98239510,0.08853148,-0.08330225,0.00018795,-0.00018772
-5.89794897,1.82593535,-1.79779928,0.75074682,-0.69751340,0.50924135,-0.50364378,0.01967203,-0.02080214,0.99203150,-0.99225519,0.09079769,-0.08509872,0.00018762,-0.00018977
-5.89194597,1.83927616,-1.81791068,0.76711712,-0.72108208,0.51005480,-0.50524761,0.01974887,-0.02032919,0.99748617,-1.00136093,0.09314820,-0.08705231,0.00018656,-0.00019110
-5.88594297,1.84932791,-1.83616004,0.78046815,-0.74278154,0.51025909,-0.50659329,0.01996191,-0.02001088,1.00110433,-1.00943438,0.09554490,-0.08914631,0.00018479,-0.00019169
-5.87993997,1.85565384,-1.85206263,0.79049036,-0.76220005,0.50973407,-0.50757734,0.02029773,-0.01984713,1.00262557,-1.01619011,0.09794618,-0.09135775,0.00018233,-0.00019152
-5.87393697,1.85788270,-1.86514352,0.79693553,-0.77894757,0.50836827,-0.50809151,0.02073983,-0.01983395,1.00182856,-1.02134688,0.10030835,-0.09365806,0.00017922,-0.00019059
-5.86793397,1.85572376,-1.87495593,0.79962706,-0.79266928,0.50606278,-0.50802683,0.02126898,-0.01996363,0.99854095,-1.02463923,0.10258712,-0.09601406,0.00017552,-0.00018893
-5.86193097,1.84897879,-1.88109876,0.79846819,-0.80305850,0.50273450,-0.50727755,0.02186379,-0.02022484,0.99264766,-1.02582891,0.10473919,-0.09838899,0.00017128,-0.00018656
-5.85592796,1.83755092,-1.88323245,0.79344759,-0.80986866,0.49831883,-0.50574484,0.02250121,-0.02060302,0.98409698,-1.02471535,0.10672380,-0.10074375,0.00016657,-0.00018351
-5.84992496,1.82144973,-1.88109270,0.78464208,-0.81292349,0.49277160,-0.50334010,0.02315718,-0.02108063,0.97290445,-1.02114484,0.10850423,-0.10303827,0.00016147,-0.00017985
-5.84392196,1.80079277,-1.87450140,0.77221642,-0.81212520,0.48607039,-0.49998786,0.02380728,-0.02163767,0.95915428,-1.01501817,0.11004929,-0.10523286,0.00015606,-0.00017563
-5.83791896,1.77580331,-1.86337451,0.75642004,-0.80746008,0.47821509,-0.49562805,0.02442741,-0.02225215,0.94299820,-1.00629613,0.11133454,-0.10728967,0.00015044,-0.00017093
-5.83191596,1.74680467,-1.84772666,0.73758098,-0.79900140,0.46922777,-0.49021785,0.02499451,-0.02290070,0.92465195,-0.99500299,0.11234346,-0.10917404,0.00014468,-0.00016583
-5.82591296,1.71421131,-1.82767226,0.71609718,-0.78690928,0.45915199,-0.48373285,0.02548722,-0.02355914,0.90438951,-0.98122752,0.11306828,-0.11085587,0.00013889,-0.00016040
-5.81990995,1.67851727,-1.80342335,0.69242558,-0.77142768,0.44805156,-0.47616767,0.02588648,-0.02420323,0.88253529,-0.96512173,0.11351060,-0.11231086,0.00013313,-0.00015475
