energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,4.32448128,-8.00336775,0.01878314,-0.11216729,0.59613187,-1.63955443,1.98867146,-3.80427328,1.13049552,-2.06094548,0.00798042,-0.31113582,1.97000376,-3.18916764,0.00000000,-0.00000000
-5.99399700,4.16266753,-7.82077374,0.01771872,-0.11017128,0.56284925,-1.59412839,1.88200248,-3.71144115,1.10075085,-2.01453725,0.00775510,-0.29054652,1.90844040,-3.13216467,0.00000000,-0.00000000
-5.98799400,3.99684161,-7.62599230,0.01663076,-0.10775270,0.52958428,-1.54543900,1.77673023,-3.61306459,1.06955091,-1.96307183,0.00768932,-0.27036821,1.84437742,-3.07138296,0.00000000,-0.00000000
-5.98199100,3.82913787,-7.41978610,0.01552970,-0.10494501,0.49670163,-1.49370567,1.67378250,-3.50926800,1.03754724,-1.90695562,0.00775283,-0.25069759,1.77866940,-3.00697905,0.00000000,-0.00000000
-5.97598799,3.66168767,-7.20304633,0.01442642,-0.10178546,0.46455934,-1.43920419,1.57399036,-3.40027223,1.00541821,-1.84665428,0.00791937,-0.23162849,1.71216892,-2.93911922,0.00000000,-0.00000000
-5.96998499,3.49655884,-6.97678356,0.01333185,-0.09831418,0.43350185,-1.38226458,1.47807287,-3.28639891,0.97384962,-1.78268366,0.00816603,-0.21324949,1.64569856,-2.86797733,0.00000000,-0.00000000
-5.96398199,3.33570242,-6.74211526,0.01225661,-0.09457323,0.40385413,-1.32326665,1.38662737,-3.16806986,0.94351665,-1.71559952,0.00847253,-0.19564154,1.58002631,-2.79373369,0.00000000,-0.00000000
-5.95797899,3.18090798,-6.50025110,0.01121069,-0.09060570,0.37591674,-1.26263346,1.30012503,-3.04580199,0.91506749,-1.64598666,0.00882079,-0.17887565,1.51584531,-2.71657520,0.00000000,-0.00000000
-5.95197599,3.03376843,-6.25247688,0.01020313,-0.08645494,0.34996184,-1.20082294,1.21891113,-2.92019825,0.88910910,-1.57444780,0.00919449,-0.16301094,1.45375834,-2.63669708,0.00000000,-0.00000000
-5.94597299,2.89565451,-6.00013813,0.00924183,-0.08216378,0.32623008,-1.13831821,1.14320968,-2.79193513,0.86619522,-1.50159277,0.00957878,-0.14809311,1.39426746,-2.55430593,0.00000000,-0.00000000
-5.93996998,2.76769872,-5.74462387,0.00833339,-0.07777387,0.30492821,-1.07561696,1.07313134,-2.66174773,0.84681671,-1.42802822,0.00996018,-0.13415342,1.33776862,-2.46962416,0.00000000,-0.00000000
-5.93396698,2.65078802,-5.48735110,0.00748301,-0.07332514,0.28622727,-1.01322048,1.00868410,-2.53041302,0.83139386,-1.35434839,0.01032639,-0.12120829,1.28455098,-2.38289527,0.00000000,-0.00000000
-5.92796398,2.54556410,-5.22975016,0.00669446,-0.06885533,0.27026128,-0.95162257,0.94978576,-2.39873240,0.82027068,-1.28112680,0.01066636,-0.10925943,1.23480054,-2.29438950,0.00000000,-0.00000000
-5.92196098,2.45242991,-4.97325104,0.00597007,-0.06439967,0.25712624,-0.89129910,0.89627755,-2.26751408,0.81371056,-1.20890932,0.01097025,-0.09829463,1.18860720,-2.20440938,0.00000000,-0.00000000
-5.91595798,2.37156088,-4.71927043,0.00531087,-0.05999058,0.24687929,-0.83269815,0.84793793,-2.13755620,0.81189314,-1.13820827,0.01122958,-0.08828898,1.14597446,-2.11329444,0.00000000,-0.00000000
-5.90995498,2.30291931,-4.46919918,0.00471663,-0.05565750,0.23953810,-0.77623145,0.80449621,-2.00963130,0.81491188,-1.06949779,0.01143725,-0.07920653,1.10683097,-2.02142448,0.00000000,-0.00000000
-5.90395198,2.24627042,-4.22438992,0.00418600,-0.05142681,0.23508031,-0.72226704,0.76564514,-1.88447236,0.82277215,-1.00321014,0.01158766,-0.07100226,1.07104291,-1.92922105,0.00000000,-0.00000000
-5.89794897,2.20119891,-3.98614443,0.00371672,-0.04732174,0.23344311,-0.67112334,0.73105234,-1.76276108,0.83538963,-0.93973297,0.01167674,-0.06362428,1.03842642,-1.83714650,0.00000000,-0.00000000
-5.89194597,2.16712500,-3.75570053,0.00330574,-0.04336241,0.23452301,-0.62306484,0.70036999,-1.64511820,0.85258897,-0.87940717,0.01170203,-0.05701602,1.00875933,-1.74570054,0.00000000,-0.00000000
-5.88594297,2.14331938,-3.53421827,0.00294937,-0.03956586,0.23817584,-0.57829918,0.67324287,-1.53209619,0.87410277,-0.82252545,0.01166267,-0.05111849,0.98179173,-1.65541418,0.00000000,-0.00000000
-5.87993997,2.12891690,-3.32276558,0.00264350,-0.03594610,0.24421720,-0.53697572,0.64931459,-1.42417397,0.89957127,-0.76933126,0.01155931,-0.04587230,0.95725482,-1.56684114,0.00000000,-0.00000000
