energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,1.32730585,0.00288205,0.06765060,0.28459427,0.56047105,0.16167684,0.02891381,0.57146837
-5.99399700,1.26977299,0.00274826,0.06185093,0.25420622,0.53889939,0.15406028,0.02796128,0.55194333
-5.98799400,1.21566104,0.00264611,0.05662926,0.22752321,0.51860804,0.14671927,0.02697632,0.53286437
-5.98199100,1.16534594,0.00257318,0.05198886,0.20431435,0.49977503,0.13976994,0.02597525,0.51447334
-5.97598799,1.11916677,0.00252684,0.04793299,0.18433733,0.48256143,0.13332302,0.02497326,0.49699807
-5.96998499,1.07741829,0.00250430,0.04446566,0.16734647,0.46710760,0.12748148,0.02398394,0.48064624
-5.96398199,1.04034470,0.00250261,0.04159198,0.15309931,0.45352998,0.12233858,0.02301898,0.46560028
-5.95797899,1.00813482,0.00251880,0.03931839,0.14136179,0.44191892,0.11797620,0.02208785,0.45201342
-5.95197599,0.98091938,0.00254984,0.03765252,0.13191211,0.43233742,0.11446362,0.02119773,0.44000713
-5.94597299,0.95877024,0.00259273,0.03660291,0.12454339,0.42482102,0.11185662,0.02035342,0.42966996
-5.93996998,0.94170165,0.00264455,0.03617853,0.11906522,0.41937862,0.11019694,0.01955747,0.42105774
-5.93396698,0.92967340,0.00270251,0.03638809,0.11530431,0.41599426,0.10951196,0.01881032,0.41419506
-5.92796398,0.92259541,0.00276399,0.03723924,0.11310436,0.41462949,0.10981464,0.01811060,0.40907778
-5.92196098,0.92033353,0.00282658,0.03873768,0.11232532,0.41522642,0.11110357,0.01745545,0.40567643
-5.91595798,0.92271585,0.00288815,0.04088628,0.11284222,0.41771082,0.11336311,0.01684086,0.40393999
-5.90995498,0.92953925,0.00294684,0.04368407,0.11454369,0.42199539,0.11656358,0.01626208,0.40380005
-5.90395198,0.94057571,0.00300108,0.04712542,0.11733027,0.42798277,0.12066144,0.01571401,0.40517491
-5.89794897,0.95557801,0.00304967,0.05119924,0.12111269,0.43556822,0.12559950,0.01519154,0.40797335
-5.89194597,0.97428461,0.00309171,0.05588838,0.12581023,0.44464184,0.13130723,0.01468988,0.41209807
-5.88594297,0.99642362,0.00312662,0.06116916,0.13134919,0.45509027,0.13770110,0.01420483,0.41744848
-5.87993997,1.02171590,0.00315412,0.06701127,0.13766163,0.46679789,0.14468513,0.01373297,0.42392299
-5.87393697,1.04987730,0.00317423,0.07337786,0.14468443,0.47964755,0.15215168,0.01327178,0.43142060
-5.86793397,1.08062049,0.00318719,0.08022592,0.15235870,0.49352101,0.15998257,0.01281974,0.43984202
