energy_ev,total_up,Ag_p_up,Ag_d_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up
-6.00000000,3.60211522,0.43556999,2.17851332,0.30729800,0.00000000,0.07958127,0.33487822
-5.99399700,3.64151375,0.44692818,2.20881044,0.31772451,0.00000000,0.07390038,0.32785476
-5.98799400,3.69093525,0.45836415,2.24732768,0.32857841,0.00000000,0.06877037,0.32239572
-5.98199100,3.75066831,0.46981839,2.29448448,0.33986837,0.00000000,0.06421786,0.31848097
-5.97598799,3.82104230,0.48125657,2.35070654,0.35161833,0.00000000,0.06026079,0.31608514
-5.96998499,3.90243167,0.49267191,2.41642311,0.36386845,0.00000000,0.05690895,0.31517855
-5.96398199,3.99525520,0.50408655,2.49206168,0.37667550,0.00000000,0.05416468,0.31572799
-5.95797899,4.09996996,0.51555172,2.57804014,0.39011241,0.00000000,0.05202353,0.31769727
-5.95197599,4.21705980,0.52714671,2.67475627,0.40426706,0.00000000,0.05047498,0.32104734
-5.94597299,4.34701832,0.53897663,2.78257487,0.41924046,0.00000000,0.04950310,0.32573625
-5.93996998,4.49032704,0.55116900,2.90181267,0.43514401,0.00000000,0.04908720,0.33171855
-5.93396698,4.64742931,0.56386927,3.03272159,0.45209633,0.00000000,0.04920240,0.33894445
-5.92796398,4.81870105,0.57723546,3.17547094,0.47021941,0.00000000,0.04982015,0.34735860
-5.92196098,5.00441970,0.59143208,3.33012914,0.48963442,0.00000000,0.05090874,0.35689862
-5.91595798,5.20473260,0.60662362,3.49664599,0.51045723,0.00000000,0.05243364,0.36749346
-5.90995498,5.41962659,0.62296789,3.67483616,0.53279378,0.00000000,0.05435793,0.37906174
-5.90395198,5.64890038,0.64060938,3.86436496,0.55673554,0.00000000,0.05664257,0.39151024
-5.89794897,5.89214122,0.65967314,4.06473719,0.58235520,0.00000000,0.05924674,0.40473256
-5.89194597,6.14870761,0.68025927,4.27529007,0.60970272,0.00000000,0.06212812,0.41860825
-5.88594297,6.41771908,0.70243828,4.49519091,0.63880194,0.00000000,0.06524314,0.43300251
-5.87993997,6.69805446,0.72624771,4.72344024,0.66964797,0.00000000,0.06854733,0.44776654
-5.87393697,6.98835920,0.75168995,4.95888083,0.70220535,0.00000000,0.07199563,0.46273864
-5.86793397,7.28706220,0.77873152,5.20021288,0.73640725,0.00000000,0.07554274,0.47774614
-5.86193097,7.59240228,0.80730374,5.44601535,0.77215567,0.00000000,0.07914353,0.49260818
-5.85592796,7.90246364,0.83730493,5.69477324,0.80932277,0.00000000,0.08275350,0.50713922
-5.84992496,8.21521955,0.86860386,5.94491003,0.84775324,0.00000000,0.08632922,0.52115319
-5.84392196,8.52858290,0.90104440,6.19482468,0.88726776,0.00000000,0.08982888,0.53446823
-5.83791896,8.84046180,0.93445117,6.44293180,0.92766739,0.00000000,0.09321283,0.54691169
-5.83191596,9.14881807,0.96863591,6.68770366,0.96873867,0.00000000,0.09644410,0.55832530
-5.82591296,9.45172636,1.00340415,6.92771242,1.01025945,0.00000000,0.09948897,0.56857012
-5.81990995,9.74743111,1.03856206,7.16167071,1.05200491,0.00000000,0.10231749,0.57753119
-5.81390695,10.03439877,1.07392292,7.38846875,1.09375370,0.00000000,0.10490389,0.58512145
-5.80790395,10.31136277,1.10931306,7.60720623,1.13529385,0.00000000,0.10722701,0.59128487
-5.80190095,10.57735863,1.14457678,7.81721713,1.17642808,0.00000000,0.10927059,0.59599852
-5.79589795,10.83174742,1.17958014,8.01808600,1.21697833,0.00000000,0.11102343,0.59927345
-5.78989495,11.07422574,1.21421325,8.20965469,1.25678907,0.00000000,0.11247942,0.60115433
-5.78389195,11.30482153,1.24839107,8.39201847,1.29572944,0.00000000,0.11363749,0.60171781
-5.77788894,11.52387503,1.28205255,8.56551158,1.33369376,0.00000000,0.11450133,0.60106966
-5.77188594,11.73200571,1.31515812,8.73068219,1.37060066,0.00000000,0.11507906,0.59934080
-5.76588294,11.93006596,1.34768582,8.88825760,1.40639055,0.00000000,0.11538270,0.59668244
-5.75987994,12.11908366,1.37962601,9.03910113,1.44102180,0.00000000,0.11542759,0.59326044
-5.75387694,12.30019597,1.41097515,9.18416214,1.47446575,0.00000000,0.11523167,0.58924921
-5.74787394,12.47457742,1.44172898,9.32442166,1.50670071,0.00000000,0.11481481,0.58482550
-5.74187094,12.64336569,1.47187535,9.46083588,1.53770558,0.00000000,0.11419798,0.58016217
-5.73586793,12.80758857,1.50138728,9.59428020,1.56745324,0.00000000,0.11340257,0.57542238
-5.72986493,12.96809576,1.53021663,9.72549641,1.59590430,0.00000000,0.11244970,0.57075438
-5.72386193,13.12549892,1.55828872,9.85504564,1.62300154,0.00000000,0.11135958,0.56628705
