energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,6.83239961,0.01876889,1.18948209,0.09279653,3.14777563,2.42754838,0.56793908,2.31257273,1.22129433
-5.99399700,6.80492095,0.01804324,1.17483933,0.09087165,3.15115682,2.44969798,0.57390125,2.31809699,1.20377160
-5.98799400,6.77515117,0.01730615,1.16133787,0.08892910,3.15164980,2.46793751,0.58005394,2.32297854,1.18656857
-5.98199100,6.74370908,0.01656727,1.14928587,0.08700091,3.14927769,2.48193182,0.58640598,2.32738245,1.17007335
-5.97598799,6.71113823,0.01583564,1.13894994,0.08511667,3.14406290,2.49138660,0.59295431,2.33146728,1.15463114
-5.96998499,6.67790836,0.01511945,1.13055088,0.08330284,3.13603371,2.49606315,0.59968401,2.33538431,1.14053909
-5.96398199,6.64442275,0.01442593,1.12426185,0.08158234,3.12523175,2.49579279,0.60656882,2.33927844,1.12804378
-5.95797899,6.61102982,0.01376119,1.12020865,0.07997415,3.11172001,2.49048977,0.61357190,2.34329023,1.11734096
-5.95197599,6.57803765,0.01313016,1.11847192,0.07849315,3.09559037,2.48016203,0.62064691,2.34755859,1.10857737
-5.94597299,6.54572937,0.01253661,1.11909082,0.07715008,3.07697000,2.46491878,0.62773925,2.35222376,1.10185428
-5.93996998,6.51437788,0.01198312,1.12206783,0.07595161,3.05602584,2.44497447,0.63478743,2.35742981,1.09723210
-5.93396698,6.48425820,0.01147117,1.12737420,0.07490053,3.03296685,2.42064835,0.64172435,2.36332640,1.09473592
-5.92796398,6.45565612,0.01100116,1.13495547,0.07399604,3.00804340,2.39235962,0.64847865,2.37006919,1.09436124
-5.92196098,6.42887241,0.01057259,1.14473687,0.07323408,2.98154387,2.36061791,0.65497586,2.37781874,1.09607964
-5.91595798,6.40422186,0.01018412,1.15662807,0.07260775,2.95378844,2.32600946,0.66113948,2.38673775,1.09984398
-5.90995498,6.38202737,0.00983376,1.17052710,0.07210776,2.92512037,2.28917936,0.66689192,2.39698661,1.10559287
-5.90395198,6.36260947,0.00951897,1.18632326,0.07172291,2.89589531,2.25081061,0.67215528,2.40871752,1.11325428
-5.89794897,6.34627220,0.00923683,1.20389906,0.07144062,2.86646918,2.21160093,0.67685208,2.42206760,1.12274821
-5.89194597,6.33328653,0.00898419,1.22313115,0.07124742,2.83718555,2.17223821,0.68090588,2.43715131,1.13398845
