energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
1.17358679,2.17785212,0.17144998,0.00000000,0.00144354,0.22451885,1.39278462,2.30154148
1.17958979,2.15056507,0.16892974,0.00000000,0.00161987,0.22262919,1.39779726,2.26656761
1.18559280,2.12167647,0.16652367,0.00000000,0.00180756,0.22106473,1.40572071,2.22934952
1.19159580,2.09160076,0.16418248,0.00000000,0.00200492,0.21989992,1.41606000,2.19044940
1.19759880,2.06069545,0.16187531,0.00000000,0.00221003,0.21918854,1.42833098,2.15035020
1.20360180,2.02924323,0.15958708,0.00000000,0.00242071,0.21896097,1.44204898,2.10943886
1.20960480,1.99744073,0.15731641,0.00000000,0.00263460,0.21922231,1.45672317,2.06799637
1.21560780,1.96539412,0.15507395,0.00000000,0.00284920,0.21995170,1.47185700,2.02619472
1.22161081,1.93312130,0.15288134,0.00000000,0.00306197,0.22110272,1.48695455,1.98410022
1.22761381,1.90056010,0.15077068,0.00000000,0.00327039,0.22260488,1.50153232,1.94168259
1.23361681,1.86758159,0.14878449,0.00000000,0.00347208,0.22436607,1.51513537,1.89882894
1.23961981,1.83400735,0.14697598,0.00000000,0.00366488,0.22627592,1.52735694,1.85536128
1.24562281,1.79962961,0.14540960,0.00000000,0.00384698,0.22820987,1.53785971,1.81105662
1.25162581,1.76423270,0.14416162,0.00000000,0.00401699,0.23003377,1.54639747,1.76566827
1.25762881,1.72761468,0.14332051,0.00000000,0.00417403,0.23160891,1.55283538,1.71894720
1.26363182,1.68960786,0.14298716,0.00000000,0.00431782,0.23279712,1.55716723,1.67066246
1.26963482,1.65009712,0.14327448,0.00000000,0.00444872,0.23346590,1.55952835,1.62061966
1.27563782,1.60903506,0.14430652,0.00000000,0.00456773,0.23349328,1.56020287,1.56867682
1.28164082,1.56645341,0.14621683,0.00000000,0.00467655,0.23277228,1.55962433,1.51475715
1.28764382,1.52247015,0.14914600,0.00000000,0.00477748,0.23121476,1.55836912,1.45885826
1.29364682,1.47729208,0.15323846,0.00000000,0.00487341,0.22875463,1.55714251,1.40105788
1.29964982,1.43121307,0.15863846,0.00000000,0.00496775,0.22535020,1.55675736,1.34151600
1.30565283,1.38460800,0.16548535,0.00000000,0.00506428,0.22098569,1.55810621,1.28047376
1.31165583,1.33792300,0.17390830,0.00000000,0.00516706,0.21567188,1.56212771,1.21824937
1.31765883,1.29166256,0.18402056,0.00000000,0.00528027,0.20944580,1.56976863,1.15523154
1.32366183,1.24637432,0.19591360,0.00000000,0.00540811,0.20236968,1.58194311,1.09187102
1.32966483,1.20263229,0.20965123,0.00000000,0.00555464,0.19452912,1.59949100,1.02867067
1.33566783,1.16101955,0.22526409,0.00000000,0.00572363,0.18603062,1.62313716,0.96617481
1.34167084,1.12211118,0.24274476,0.00000000,0.00591850,0.17699865,1.65345377,0.90495827
1.34767384,1.08645837,0.26204371,0.00000000,0.00614219,0.16757230,1.69082753,0.84561572
1.35367684,1.05457454,0.28306645,0.00000000,0.00639716,0.15790178,1.73543351,0.78875175
1.35967984,1.02692400,0.30567214,0.00000000,0.00668528,0.14814489,1.78721708,0.73497199
1.36568284,1.00391367,0.32967366,0.00000000,0.00700795,0.13846347,1.84588522,0.68487549
