energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,0.55363246,0.17286324,0.09844731,0.01501314,0.00046224,0.01666410,0.39312264
-5.99399700,0.53851090,0.16676416,0.09484604,0.01416006,0.00045019,0.01591839,0.38624906
-5.98799400,0.52500367,0.16088878,0.09159446,0.01331613,0.00043856,0.01524878,0.38071506
-5.98199100,0.51321091,0.15527919,0.08870169,0.01249073,0.00042755,0.01465254,0.37656893
-5.97598799,0.50317862,0.14996515,0.08616863,0.01169190,0.00041730,0.01412565,0.37381618
-5.96998499,0.49490020,0.14496457,0.08398898,0.01092630,0.00040791,0.01366319,0.37242015
-5.96398199,0.48831960,0.14028446,0.08215034,0.01019919,0.00039943,0.01325953,0.37230400
-5.95797899,0.48333615,0.13592217,0.08063558,0.00951448,0.00039188,0.01290870,0.37335395
-5.95197599,0.47981050,0.13186705,0.07942414,0.00887480,0.00038522,0.01260464,0.37542368
-5.94597299,0.47757185,0.12810217,0.07849344,0.00828164,0.00037938,0.01234145,0.37833973
-5.93996998,0.47642580,0.12460622,0.07782023,0.00773553,0.00037427,0.01211366,0.38190767
-5.93396698,0.47616283,0.12135540,0.07738185,0.00723621,0.00036976,0.01191639,0.38591894
-5.92796398,0.47656694,0.11832519,0.07715740,0.00678282,0.00036570,0.01174549,0.39015808
-5.92196098,0.47742428,0.11549208,0.07712867,0.00637414,0.00036194,0.01159773,0.39441007
-5.91595798,0.47853136,0.11283500,0.07728097,0.00600878,0.00035833,0.01147077,0.39846765
-5.90995498,0.47970267,0.11033656,0.07760367,0.00568540,0.00035472,0.01136327,0.40213814
-5.90395198,0.48077746,0.10798402,0.07809057,0.00540296,0.00035099,0.01127483,0.40524983
-5.89794897,0.48162538,0.10576999,0.07873999,0.00516087,0.00034702,0.01120595,0.40765737
-5.89194597,0.48215098,0.10369283,0.07955465,0.00495925,0.00034273,0.01115796,0.40924622
-5.88594297,0.48229677,0.10175683,0.08054137,0.00479910,0.00033809,0.01113289,0.40993585
-5.87993997,0.48204496,0.09997213,0.08171049,0.00468258,0.00033308,0.01113330,0.40968165
-5.87393697,0.48141780,0.09835447,0.08307528,0.00461314,0.00032777,0.01116216,0.40847543
