energy_ev,total_up,Bi_p_up,Bi_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.72106935,0.59502572,0.00481258,1.25375222,0.35214516,0.72063166,0.00000000
-5.99399700,1.71747273,0.60073198,0.00484977,1.26048718,0.35016822,0.71275227,0.00000000
-5.98799400,1.71030128,0.60423254,0.00487576,1.26337734,0.34781780,0.70435121,0.00000000
-5.98199100,1.69960981,0.60551915,0.00489073,1.26240483,0.34512866,0.69547560,0.00000000
-5.97598799,1.68562690,0.60466122,0.00489541,1.25771612,0.34216370,0.68622833,0.00000000
-5.96998499,1.66874357,0.60180387,0.00489104,1.24961659,0.33901070,0.67676155,0.00000000
-5.96398199,1.64949525,0.59716276,0.00487930,1.23855854,0.33577780,0.66726807,0.00000000
-5.95797899,1.62853760,0.59101616,0.00486223,1.22512290,0.33258820,0.65797093,0.00000000
-5.95197599,1.60661763,0.58369428,0.00484216,1.20999562,0.32957417,0.64911182,0.00000000
-5.94597299,1.58454123,0.57556663,0.00482160,1.19393963,0.32687070,0.64093896,0.00000000
-5.93996998,1.56313872,0.56702765,0.00480313,1.17776367,0.32460910,0.63369482,0.00000000
-5.93396698,1.54322984,0.55848156,0.00478926,1.16228931,0.32291083,0.62760448,0.00000000
-5.92796398,1.52558974,0.55032675,0.00478234,1.14831757,0.32188172,0.62286492,0.00000000
-5.92196098,1.51091741,0.54294067,0.00478444,1.13659645,0.32160698,0.61963579,0.00000000
-5.91595798,1.49980770,0.53666560,0.00479729,1.12779092,0.32214712,0.61803202,0.00000000
-5.90995498,1.49272809,0.53179604,0.00482214,1.12245633,0.32353485,0.61811847,0.00000000
-5.90395198,1.49000102,0.52856814,0.00485975,1.12101650,0.32577321,0.61990671,0.00000000
-5.89794897,1.49179225,0.52715157,0.00491031,1.12374712,0.32883489,0.62335415,0.00000000
-5.89194597,1.49810557,0.52764410,0.00497349,1.13076519,0.33266266,0.62836522,0.00000000
-5.88594297,1.50878379,0.53006903,0.00504835,1.14202473,0.33717107,0.63479460,0.00000000
-5.87993997,1.52351579,0.53437557,0.00513346,1.15731880,0.34224904,0.64245222,0.00000000
-5.87393697,1.54184899,0.54044190,0.00522691,1.17628764,0.34776342,0.65110970,0.00000000
-5.86793397,1.56320672,0.54808092,0.00532638,1.19843245,0.35356326,0.66050792,0.00000000
-5.86193097,1.58690943,0.55704824,0.00542924,1.22313420,0.35948459,0.67036540,0.00000000
-5.85592796,1.61219898,0.56705202,0.00553264,1.24967650,0.36535557,0.68038707,0.00000000
-5.84992496,1.63826486,0.57776440,0.00563361,1.27727168,0.37100180,0.69027314,0.00000000
-5.84392196,1.66427150,0.58883382,0.00572921,1.30508897,0.37625157,0.69972785,0.00000000
-5.83791896,1.68938563,0.59989790,0.00581662,1.33228372,0.38094102,0.70846769,0.00000000
-5.83191596,1.71280286,0.61059638,0.00589321,1.35802644,0.38491888,0.71622903,0.00000000
-5.82591296,1.73377269,0.62058363,0.00595673,1.38153083,0.38805084,0.72277502,0.00000000
-5.81990995,1.75162138,0.62954030,0.00600533,1.40207974,0.39022333,0.72790156,0.00000000
-5.81390695,1.76577205,0.63718389,0.00603767,1.41904815,0.39134683,0.73144240,0.00000000
-5.80790395,1.77576170,0.64327770,0.00605298,1.43192275,0.39135838,0.73327334,0.00000000
-5.80190095,1.78125479,0.64763819,0.00605108,1.44031735,0.39022357,0.73331546,0.00000000
-5.79589795,1.78205327,0.65014037,0.00603245,1.44398389,0.38793779,0.73153754,0.00000000
-5.78989495,1.77810291,0.65072120,0.00599820,1.44281896,0.38452685,0.72795754,0.00000000
-5.78389195,1.76949582,0.64938100,0.00595008,1.43686558,0.38004691,0.72264326,0.00000000
-5.77788894,1.75646940,0.64618286,0.00589042,1.42631059,0.37458375,0.71571214,0.00000000
-5.77188594,1.73940148,0.64124994,0.00582212,1.41147779,0.36825148,0.70733017,0.00000000
-5.76588294,1.71880197,0.63476116,0.00574852,1.39281717,0.36119058,0.69770986,0.00000000
-5.75987994,1.69530098,0.62694497,0.00567339,1.37089065,0.35356530,0.68710727,0.00000000
-5.75387694,1.66963368,0.61807169,0.00560077,1.34635482,0.34556059,0.67581797,0.00000000
-5.74787394,1.64262198,0.60844453,0.00553488,1.31994128,0.33737836,0.66417193,0.00000000
-5.74187094,1.61515338,0.59838951,0.00548002,1.29243489,0.32923333,0.65252727,0.00000000
-5.73586793,1.58815725,0.58824450,0.00544040,1.26465078,0.32134828,0.64126289,0.00000000
-5.72986493,1.56257897,0.57834782,0.00542005,1.23741044,0.31394902,0.63077003,0.00000000
-5.72386193,1.53935253,0.56902649,0.00542264,1.21151762,0.30725894,0.62144284,0.00000000
-5.71785893,1.51937210,0.56058468,0.00545140,1.18773453,0.30149341,0.61366805,0.00000000
-5.71185593,1.50346340,0.55329256,0.00550897,1.16675901,0.29685401,0.60781417,0.00000000
-5.70585293,1.49235580,0.54737599,0.00559728,1.14920320,0.29352287,0.60422027,0.00000000
-5.69984992,1.48665585,0.54300744,0.00571745,1.13557434,0.29165720,0.60318481,0.00000000
-5.69384692,1.48682354,0.54029841,0.00586973,1.12625827,0.29138422,0.60495496,0.00000000
-5.68784392,1.49315203,0.53929386,0.00605344,1.12150618,0.29279662,0.60971669,0.00000000
-5.68184092,1.50575195,0.53996875,0.00626690,1.12142518,0.29594885,0.61758620,0.00000000
-5.67583792,1.52454105,0.54222709,0.00650750,1.12597298,0.30085427,0.62860298,0.00000000
-5.66983492,1.54924002,0.54590362,0.00677165,1.13495716,0.30748332,0.64272498,0.00000000
-5.66383192,1.57937477,0.55076811,0.00705494,1.14803917,0.31576301,0.65982618,0.00000000
-5.65782891,1.61428564,0.55653231,0.00735213,1.16474306,0.32557746,0.67969664,0.00000000
-5.65182591,1.65314331,0.56285942,0.00765737,1.18446887,0.33676994,0.70204540,0.00000000
-5.64582291,1.69497121,0.56937563,0.00796431,1.20651033,0.34914597,0.72650604,0.00000000
-5.63981991,1.73867360,0.57568355,0.00826630,1.23007638,0.36247779,0.75264488,0.00000000
-5.63381691,1.78306860,0.58137678,0.00855658,1.25431579,0.37650978,0.77997159,0.00000000
-5.62781391,1.82692472,0.58605532,0.00882847,1.27834411,0.39096485,0.80795184,0.00000000
-5.62181091,1.86899981,0.58934087,0.00907562,1.30127190,0.40555155,0.83602169,0.00000000
-5.61580790,1.90808065,0.59089163,0.00929219,1.32223331,0.41997168,0.86360301,0.00000000
-5.60980490,1.94302185,0.59041581,0.00947307,1.34041389,0.43392805,0.89011968,0.00000000
-5.60380190,1.97278242,0.58768333,0.00961399,1.35507658,0.44713233,0.91501373,0.00000000
-5.59779890,1.99645871,0.58253509,0.00971173,1.36558505,0.45931257,0.93776106,0.00000000
-5.59179590,2.01331244,0.57488963,0.00976422,1.37142337,0.47022025,0.95788614,0.00000000
-5.58579290,2.02279289,0.56474665,0.00977055,1.37221157,0.47963656,0.97497525,0.00000000
