energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,7.38989168,3.52025167,0.73996247,0.03543369,0.68265866,3.04311635,2.62938421,0.06017886,3.32692754
-5.99399700,7.53991888,3.58201766,0.75452248,0.03466859,0.70471016,3.09361183,2.69314414,0.06067174,3.38512181
-5.98799400,7.70558945,3.64616623,0.77004386,0.03394057,0.72880290,3.15173566,2.76385067,0.06119924,3.44871361
-5.98199100,7.88521940,3.71144471,0.78621297,0.03325124,0.75481594,3.21739373,2.84104872,0.06176292,3.51674301
-5.97598799,8.07676821,3.77646474,0.80269045,0.03259998,0.78260101,3.29038377,2.92412491,0.06236345,3.58809915
-5.96998499,8.27790664,3.83974943,0.81912521,0.03198434,0.81198480,3.37040390,3.01232272,0.06300080,3.66156095
-5.96398199,8.48609475,3.89978701,0.83516952,0.03140043,0.84277159,3.45706268,3.10476221,0.06367446,3.73584289
-5.95797899,8.69866607,3.95508881,0.85049419,0.03084339,0.87474589,3.54988974,3.20046323,0.06438356,3.80964369
-5.95197599,8.91291367,4.00424924,0.86480344,0.03030785,0.90767513,3.64834580,3.29837100,0.06512708,3.88169548
-5.94597299,9.12617368,4.04600495,0.87784853,0.02978842,0.94131207,3.75183111,3.39738273,0.06590385,3.95081101
-5.93996998,9.33590235,4.07929055,0.88943968,0.02928005,0.97539705,3.85969159,3.49637426,0.06671260,4.01592660
-5.93396698,9.53974311,4.10328813,0.89945556,0.02877843,1.00965996,3.97122218,3.59422562,0.06755184,4.07613874
-5.92796398,9.73558093,4.11746812,0.90784991,0.02828022,1.04382195,4.08566738,3.68984456,0.06841967,4.13073266
-5.92196098,9.92158209,4.12161926,0.91465490,0.02778328,1.07759712,4.20221908,3.78218758,0.06931354,4.17920157
-5.91595798,10.09621864,4.11586617,0.91998120,0.02728675,1.11069408,4.32001265,3.87027788,0.07022994,4.22125605
-5.90995498,10.25827758,4.10067320,0.92401440,0.02679106,1.14281783,4.43812204,3.95322021,0.07116403,4.25682312
-5.90395198,10.40685606,4.07683436,0.92700822,0.02629785,1.17367198,4.55555523,4.03021250,0.07210938,4.28603579
-5.89794897,10.54134432,4.04544923,0.92927463,0.02580984,1.20296154,4.67125152,4.10055468,0.07305761,4.30921368
-5.89194597,10.66139907,4.00788591,0.93117131,0.02533061,1.23039647,4.78408204,4.16365495,0.07399826,4.32683636
-5.88594297,10.76691026,3.96573241,0.93308708,0.02486436,1.25569605,4.89285478,4.21903403,0.07491864,4.33951084
-5.87993997,10.85796423,3.92073847,0.93542577,0.02441566,1.27859415,4.99632531,4.26632777,0.07580397,4.34793544
-5.87393697,10.93480631,3.87475026,0.93858945,0.02398916,1.29884530,5.09321372,4.30528860,0.07663756,4.35286183
-5.86793397,10.99780551,3.82964075,0.94296148,0.02358934,1.31623143,5.18222824,4.33578612,0.07740121,4.35505725
-5.86193097,11.04742337,3.78723857,0.94889022,0.02322026,1.33056913,5.26209493,4.35780701,0.07807580,4.35526893
-5.85592796,11.08418839,3.74925834,0.95667406,0.02288539,1.34171683,5.33159274,4.37145435,0.07864196,4.35419191
-5.84992496,11.10867677,3.71723543,0.96654821,0.02258746,1.34958187,5.38959238,4.37694605,0.07908090,4.35244191
-5.84392196,11.12149931,3.69246746,0.97867382,0.02232833,1.35412664,5.43509712,4.37461235,0.07937528,4.35053363
