energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,2.50082363,0.15433382,2.42587668,0.02100606,0.00601410,0.00384141,0.03507415
-5.99399700,2.38723774,0.15514866,2.31117428,0.01996473,0.00541862,0.00327521,0.03532109
-5.98799400,2.29494299,0.15861149,2.21619909,0.01942167,0.00486238,0.00281131,0.03633899
-5.98199100,2.22466686,0.16475534,2.14166658,0.01936026,0.00434771,0.00243979,0.03812728
-5.97598799,2.17683165,0.17360425,2.08799051,0.01976567,0.00387610,0.00215107,0.04068275
-5.96998499,2.15153986,0.18516951,2.05527054,0.02062470,0.00344823,0.00193602,0.04399867
-5.96398199,2.14856374,0.19944550,2.04328411,0.02192540,0.00306403,0.00178603,0.04806385
-5.95797899,2.16733935,0.21640540,2.05148334,0.02365663,0.00272277,0.00169311,0.05286148
-5.95197599,2.20696618,0.23599676,2.07899737,0.02580738,0.00242313,0.00164982,0.05836807
-5.94597299,2.26621263,0.25813731,2.12464072,0.02836606,0.00216326,0.00164932,0.06455235
-5.93996998,2.34352812,0.28271101,2.18692789,0.03131965,0.00194093,0.00168531,0.07137436
-5.93396698,2.43706203,0.30956479,2.26409465,0.03465285,0.00175355,0.00175196,0.07878463
-5.92796398,2.54468974,0.33850595,2.35412575,0.03834722,0.00159828,0.00184392,0.08672377
-5.92196098,2.66404568,0.36930048,2.45478915,0.04238031,0.00147212,0.00195622,0.09512220
-5.91595798,2.79256323,0.40167263,2.56367623,0.04672490,0.00137196,0.00208426,0.10390035
-5.90995498,2.92752076,0.43530559,2.67824740,0.05134837,0.00129467,0.00222378,0.11296923
-5.90395198,3.06609311,0.46984361,2.79588215,0.05621221,0.00123714,0.00237084,0.12223139
-5.89794897,3.20540735,0.50489562,2.91393248,0.06127175,0.00119634,0.00252184,0.13158226
-5.89194597,3.34260151,0.54004019,3.02977839,0.06647617,0.00116935,0.00267352,0.14091187
-5.88594297,3.47488465,0.57483205,3.14088374,0.07176870,0.00115343,0.00282299,0.15010693
-5.87993997,3.59959660,0.60880985,3.24485113,0.07708727,0.00114602,0.00296782,0.15905313
-5.87393697,3.71426552,0.64150513,3.33947379,0.08236537,0.00114478,0.00310605,0.16763765
-5.86793397,3.81666143,0.67245226,3.42278304,0.08753326,0.00114758,0.00323626,0.17575174
-5.86193097,3.90484385,0.70119908,3.49308957,0.09251952,0.00115255,0.00335768,0.18329336
-5.85592796,3.97720205,0.72731789,3.54901715,0.09725286,0.00115809,0.00347024,0.19016966
-5.84992496,4.03248642,0.75041649,3.58952770,0.10166415,0.00116282,0.00357462,0.19629938
-5.84392196,4.06982987,0.77014886,3.61393667,0.10568861,0.00116565,0.00367235,0.20161484
-5.83791896,4.08875852,0.78622507,3.62191833,0.10926811,0.00116570,0.00376590,0.20606369
-5.83191596,4.08919153,0.79842013,3.61350094,0.11235347,0.00116236,0.00385865,0.20961027
-5.82591296,4.07142994,0.80658135,3.58905193,0.11490665,0.00115523,0.00395502,0.21223644
-5.81990995,4.03613536,0.81063389,3.54925396,0.11690274,0.00114411,0.00406044,0.21394204
-5.81390695,3.98429934,0.81058438,3.49507281,0.11833166,0.00112901,0.00418139,0.21474485
-5.80790395,3.91720474,0.80652219,3.42771861,0.11919949,0.00111010,0.00432538,0.21468009
-5.80190095,3.83638076,0.79861855,3.34860195,0.11952929,0.00108768,0.00450094,0.21379952
-5.79589795,3.74355345,0.78712319,3.25928663,0.11936138,0.00106220,0.00471751,0.21217018
-5.78989495,3.64059351,0.77235879,3.16144100,0.11875307,0.00103418,0.00498539,0.20987274
-5.78389195,3.52946334,0.75471330,3.05678959,0.11777775,0.00100423,0.00531561,0.20699965
-5.77788894,3.41216506,0.73463025,2.94706672,0.11652330,0.00097299,0.00571972,0.20365298
-5.77188594,3.29069115,0.71259759,2.83397355,0.11508999,0.00094114,0.00620960,0.19994213
