energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.60903750,0.00404291,0.30873527,0.81214246,0.57754090,1.14587881,0.62231373,0.01156871,1.16430355
-5.99399700,2.66699298,0.00412207,0.32018619,0.83172670,0.59408662,1.15563123,0.63889201,0.01189169,1.18604393
-5.98799400,2.72691302,0.00423028,0.33203848,0.85096949,0.61146241,1.16671419,0.65603182,0.01221350,1.20791197
-5.98199100,2.78794639,0.00436680,0.34413292,0.86955102,0.62947866,1.17879485,0.67353825,0.01253542,1.22954863
-5.97598799,2.84917105,0.00453041,0.35629509,0.88714331,0.64793065,1.19147489,0.69119986,0.01285981,1.25057411
-5.96998499,2.90962120,0.00471937,0.36834045,0.90342104,0.66660235,1.20430739,0.70879414,0.01319002,1.27059997
-5.96398199,2.96831470,0.00493155,0.38007958,0.91807207,0.68527038,1.21681522,0.72609305,0.01353017,1.28924132
-5.95797899,3.02427978,0.00516439,0.39132356,0.93080750,0.70370776,1.22851010,0.74286823,0.01388499,1.30612852
-5.95197599,3.07657974,0.00541499,0.40188919,0.94137045,0.72168750,1.23891125,0.75889589,0.01425950,1.32091776
-5.94597299,3.12433482,0.00568019,0.41160381,0.94954341,0.73898592,1.24756292,0.77396106,0.01465870,1.33330021
-5.93996998,3.16674031,0.00595657,0.42030956,0.95515375,0.75538561,1.25404992,0.78786104,0.01508722,1.34300924
-5.93396698,3.20308054,0.00624056,0.42786695,0.95807716,0.77067791,1.25801051,0.80040820,0.01554897,1.34982556
-5.92796398,3.23273843,0.00652848,0.43415760,0.95823905,0.78466512,1.25914640,0.81143190,0.01604678,1.35358011
-5.92196098,3.25520079,0.00681655,0.43908622,0.95561390,0.79716220,1.25722928,0.82077971,0.01658207,1.35415485
-5.91595798,3.27005956,0.00710101,0.44258164,0.95022276,0.80799811,1.25210417,0.82831809,0.01715458,1.35148144
-5.90995498,3.27700976,0.00737808,0.44459717,0.94212910,0.81701693,1.24368952,0.83393258,0.01776214,1.34553826
-5.90395198,3.27584470,0.00764408,0.44511018,0.93143353,0.82407863,1.23197440,0.83752772,0.01840054,1.33634604
-5.89794897,3.26644963,0.00789538,0.44412117,0.91826758,0.82905979,1.21701335,0.83902700,0.01906346,1.32396254
-5.89194597,3.24879447,0.00812851,0.44165244,0.90278718,0.83185432,1.19891936,0.83837285,0.01974253,1.30847683
-5.88594297,3.22292677,0.00834012,0.43774640,0.88516608,0.83237409,1.17785558,0.83552699,0.02042744,1.29000350
-5.87993997,3.18896569,0.00852707,0.43246390,0.86558987,0.83054992,1.15402654,0.83047117,0.02110625,1.26867740
-5.87393697,3.14709757,0.00868644,0.42588251,0.84425061,0.82633258,1.12766932,0.82320843,0.02176564,1.24464917
-5.86793397,3.09757371,0.00881558,0.41809492,0.82134262,0.81969418,1.09904541,0.81376484,0.02239143,1.21808194
-5.86193097,3.04071041,0.00891218,0.40920757,0.79705947,0.81062975,1.06843347,0.80219167,0.02296898,1.18914927
