energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.49577115,0.05307392,0.00000000,0.23259665,0.00000000,0.20130855,0.07985072
-5.99399700,0.49566950,0.05243172,0.00000000,0.23308795,0.00000000,0.20082621,0.08025338
-5.98799400,0.49319604,0.05142557,0.00000000,0.23256270,0.00000000,0.19928845,0.08035071
-5.98199100,0.48860748,0.05007689,0.00000000,0.23114756,0.00000000,0.19678859,0.08018956
-5.97598799,0.48221512,0.04841395,0.00000000,0.22899415,0.00000000,0.19344140,0.07982515
-5.96998499,0.47437390,0.04647088,0.00000000,0.22627383,0.00000000,0.18937866,0.07931922
-5.96398199,0.46546985,0.04428658,0.00000000,0.22317165,0.00000000,0.18474415,0.07873778
-5.95797899,0.45590658,0.04190343,0.00000000,0.21987988,0.00000000,0.17968818,0.07814877
-5.95197599,0.44609129,0.03936600,0.00000000,0.21659132,0.00000000,0.17436212,0.07761965
-5.94597299,0.43642111,0.03671970,0.00000000,0.21349280,0.00000000,0.16891295,0.07721494
-5.93996998,0.42727029,0.03400956,0.00000000,0.21075913,0.00000000,0.16347826,0.07699398
-5.93396698,0.41897886,0.03127905,0.00000000,0.20854776,0.00000000,0.15818189,0.07700886
-5.92796398,0.41184319,0.02856908,0.00000000,0.20699435,0.00000000,0.15313032,0.07730267
-5.92196098,0.40610894,0.02591720,0.00000000,0.20620960,0.00000000,0.14841008,0.07790815
-5.91595798,0.40196649,0.02335699,0.00000000,0.20627723,0.00000000,0.14408618,0.07884673
-5.90995498,0.39954917,0.02091765,0.00000000,0.20725339,0.00000000,0.14020159,0.08012805
-5.90395198,0.39893405,0.01862381,0.00000000,0.20916729,0.00000000,0.13677785,0.08174992
-5.89794897,0.40014543,0.01649558,0.00000000,0.21202325,0.00000000,0.13381660,0.08369868
-5.89194597,0.40316050,0.01454873,0.00000000,0.21580373,0.00000000,0.13130202,0.08595011
-5.88594297,0.40791702,0.01279505,0.00000000,0.22047342,0.00000000,0.12920393,0.08847052
-5.87993997,0.41432243,0.01124282,0.00000000,0.22598407,0.00000000,0.12748144,0.09121828
-5.87393697,0.42226408,0.00989735,0.00000000,0.23227975,0.00000000,0.12608687,0.09414556
-5.86793397,0.43161989,0.00876161,0.00000000,0.23930245,0.00000000,0.12496980,0.09720017
-5.86193097,0.44226895,0.00783683,0.00000000,0.24699754,0.00000000,0.12408090,0.10032759
-5.85592796,0.45410167,0.00712309,0.00000000,0.25531897,0.00000000,0.12337560,0.10347292
-5.84992496,0.46702876,0.00661982,0.00000000,0.26423388,0.00000000,0.12281711,0.10658282
-5.84392196,0.48098888,0.00632632,0.00000000,0.27372644,0.00000000,0.12237892,0.10960732
-5.83791896,0.49595435,0.00624203,0.00000000,0.28380062,0.00000000,0.12204652,0.11250141
-5.83191596,0.51193482,0.00636683,0.00000000,0.29448190,0.00000000,0.12181831,0.11522646
-5.82591296,0.52897861,0.00670112,0.00000000,0.30581759,0.00000000,0.12170578,0.11775127
-5.81990995,0.54717168,0.00724586,0.00000000,0.31787597,0.00000000,0.12173273,0.12005290
-5.81390695,0.56663419,0.00800237,0.00000000,0.33074394,0.00000000,0.12193393,0.12211709
-5.80790395,0.58751486,0.00897216,0.00000000,0.34452354,0.00000000,0.12235297,0.12393843
-5.80190095,0.60998317,0.01015659,0.00000000,0.35932726,0.00000000,0.12303968,0.12552010
-5.79589795,0.63421999,0.01155647,0.00000000,0.37527233,0.00000000,0.12404705,0.12687336
-5.78989495,0.66040670,0.01317159,0.00000000,0.39247432,0.00000000,0.12542802,0.12801667
-5.78389195,0.68871358,0.01500027,0.00000000,0.41104019,0.00000000,0.12723210,0.12897466
-5.77788894,0.71928780,0.01703889,0.00000000,0.43106123,0.00000000,0.12950208,0.12977675
-5.77188594,0.75224157,0.01928144,0.00000000,0.45260601,0.00000000,0.13227106,0.13045569
-5.76588294,0.78764117,0.02171914,0.00000000,0.47571392,0.00000000,0.13555978,0.13104600
-5.75987994,0.82549713,0.02434016,0.00000000,0.50038938,0.00000000,0.13937446,0.13158234
-5.75387694,0.86575634,0.02712936,0.00000000,0.52659712,0.00000000,0.14370531,0.13209790
-5.74787394,0.90829617,0.03006827,0.00000000,0.55425883,0.00000000,0.14852568,0.13262294
-5.74187094,0.95292121,0.03313507,0.00000000,0.58325115,0.00000000,0.15379184,0.13318341
-5.73586793,0.99936258,0.03630481,0.00000000,0.61340538,0.00000000,0.15944365,0.13379983
-5.72986493,1.04727994,0.03954962,0.00000000,0.64450866,0.00000000,0.16540570,0.13448638
-5.72386193,1.09626612,0.04283918,0.00000000,0.67630680,0.00000000,0.17158923,0.13525029
-5.71785893,1.14585414,0.04614115,0.00000000,0.70850847,0.00000000,0.17789447,0.13609148
-5.71185593,1.19552618,0.04942179,0.00000000,0.74079064,0.00000000,0.18421346,0.13700252
-5.70585293,1.24472429,0.05264651,0.00000000,0.77280494,0.00000000,0.19043306,0.13796885
-5.69984992,1.29286210,0.05578056,0.00000000,0.80418474,0.00000000,0.19643817,0.13896928
-5.69384692,1.33933726,0.05878964,0.00000000,0.83455256,0.00000000,0.20211492,0.13997662
-5.68784392,1.38354382,0.06164049,0.00000000,0.86352763,0.00000000,0.20735368,0.14095862
-5.68184092,1.42488449,0.06430148,0.00000000,0.89073316,0.00000000,0.21205190,0.14187888
-5.67583792,1.46278194,0.06674308,0.00000000,0.91580333,0.00000000,0.21611647,0.14269803
-5.66983492,1.49668929,0.06893827,0.00000000,0.93838958,0.00000000,0.21946578,0.14337477
