energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.02607095,0.39887338,0.00000000,0.00015848,0.14390822,0.42493968,0.45682330,0.35479799,0.00000000
-5.99399700,1.01388195,0.39579528,0.00000000,0.00019543,0.13974536,0.42257599,0.45261182,0.35105262,0.00000000
-5.98799400,0.99594767,0.39036236,0.00000000,0.00024194,0.13506956,0.41742784,0.44558755,0.34542531,0.00000000
-5.98199100,0.97261875,0.38270523,0.00000000,0.00029968,0.12993489,0.40962622,0.43588783,0.33805504,0.00000000
-5.97598799,0.94437718,0.37301257,0.00000000,0.00037059,0.12440651,0.39936346,0.42371164,0.32912889,0.00000000
-5.96998499,0.91182238,0.36152538,0.00000000,0.00045680,0.11855913,0.38688716,0.40931323,0.31887699,0.00000000
-5.96398199,0.87565334,0.34852939,0.00000000,0.00056065,0.11247511,0.37249222,0.39299398,0.30756612,0.00000000
-5.95797899,0.83664767,0.33434618,0.00000000,0.00068466,0.10624234,0.35651140,0.37509284,0.29549205,0.00000000
-5.95197599,0.79563827,0.31932306,0.00000000,0.00083143,0.09995192,0.33930488,0.35597562,0.28297091,0.00000000
-5.94597299,0.75348860,0.30382244,0.00000000,0.00100365,0.09369579,0.32124904,0.33602387,0.27032997,0.00000000
-5.93996998,0.71106743,0.28821082,0.00000000,0.00120397,0.08756428,0.30272519,0.31562346,0.25789800,0.00000000
-5.93396698,0.66922408,0.27284792,0.00000000,0.00143494,0.08164374,0.28410841,0.29515359,0.24599574,0.00000000
-5.92796398,0.62876490,0.25807638,0.00000000,0.00169888,0.07601437,0.26575713,0.27497644,0.23492661,0.00000000
-5.92196098,0.59043191,0.24421216,0.00000000,0.00199779,0.07074817,0.24800363,0.25542790,0.22496801,0.00000000
-5.91595798,0.55488409,0.23153621,0.00000000,0.00233319,0.06590723,0.23114585,0.23680976,0.21636353,0.00000000
-5.90995498,0.52268200,0.22028739,0.00000000,0.00270604,0.06154229,0.21544071,0.21938328,0.20931621,0.00000000
-5.90395198,0.49427596,0.21065692,0.00000000,0.00311658,0.05769172,0.20109905,0.20336466,0.20398306,0.00000000
-5.89794897,0.46999812,0.20278452,0.00000000,0.00356422,0.05438078,0.18828231,0.18892220,0.20047101,0.00000000
-5.89194597,0.45005839,0.19675619,0.00000000,0.00404743,0.05162131,0.17710086,0.17617515,0.19883436,0.00000000
-5.88594297,0.43454437,0.19260370,0.00000000,0.00456364,0.04941184,0.16761411,0.16519439,0.19907377,0.00000000
-5.87993997,0.42342496,0.19030577,0.00000000,0.00510924,0.04773796,0.15983204,0.15600453,0.20113699,0.00000000
-5.87393697,0.41655752,0.18979078,0.00000000,0.00567948,0.04657311,0.15371826,0.14858751,0.20492103,0.00000000
-5.86793397,0.41369826,0.19094103,0.00000000,0.00626855,0.04587967,0.14919423,0.14288733,0.21027598,0.00000000
-5.86193097,0.41451543,0.19359823,0.00000000,0.00686959,0.04561027,0.14614457,0.13881575,0.21701032,0.00000000
-5.85592796,0.41860497,0.19757027,0.00000000,0.00747484,0.04570945,0.14442323,0.13625888,0.22489759,0.00000000
-5.84992496,0.42550811,0.20263885,0.00000000,0.00807580,0.04611537,0.14386028,0.13508409,0.23368425,0.00000000
-5.84392196,0.43473039,0.20856790,0.00000000,0.00866336,0.04676176,0.14426914,0.13514740,0.24309859,0.00000000
-5.83791896,0.44576162,0.21511257,0.00000000,0.00922813,0.04757996,0.14545405,0.13630086,0.25286050,0.00000000
-5.83191596,0.45809627,0.22202839,0.00000000,0.00976064,0.04850097,0.14721759,0.13839982,0.26269167,0.00000000
-5.82591296,0.47125352,0.22908050,0.00000000,0.01025167,0.04945748,0.14936806,0.14130979,0.27232618,0.00000000
