energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,1.83094274,0.44020861,0.99155914,0.00724749,0.22391780,0.57496738,0.00000000
-5.99399700,1.81298028,0.43756806,0.98411209,0.00759642,0.21700231,0.56596102,0.00000000
-5.98799400,1.79730534,0.43572743,0.97745832,0.00798344,0.21073896,0.55811039,0.00000000
-5.98199100,1.78374029,0.43460297,0.97151667,0.00840440,0.20512296,0.55135016,0.00000000
-5.97598799,1.77196215,0.43407381,0.96613460,0.00885358,0.20012226,0.54556331,0.00000000
-5.96998499,1.76151624,0.43398481,0.96109525,0.00932376,0.19568031,0.54058589,0.00000000
-5.96398199,1.75183559,0.43415104,0.95612736,0.00980640,0.19171972,0.53621382,0.00000000
-5.95797899,1.74226530,0.43436383,0.95091754,0.01029185,0.18814653,0.53221130,0.00000000
-5.95197599,1.73209069,0.43439817,0.94512448,0.01076962,0.18485502,0.52832057,0.00000000
-5.94597299,1.72056806,0.43402091,0.93839438,0.01122870,0.18173277,0.52427252,0.00000000
-5.93996998,1.70695669,0.43299964,0.93037699,0.01165791,0.17866567,0.51979761,0.00000000
-5.93396698,1.69055078,0.43111156,0.92074161,0.01204625,0.17554285,0.51463679,0.00000000
-5.92796398,1.67070986,0.42815218,0.90919234,0.01238331,0.17226113,0.50855184,0.00000000
-5.92196098,1.64688649,0.42394329,0.89548201,0.01265955,0.16872901,0.50133466,0.00000000
-5.91595798,1.61865012,0.41833987,0.87942414,0.01286669,0.16486984,0.49281534,0.00000000
-5.90995498,1.58570617,0.41123569,0.86090251,0.01299797,0.16062435,0.48286845,0.00000000
-5.90395198,1.54790957,0.40256732,0.83987800,0.01304839,0.15595221,0.47141761,0.00000000
-5.89794897,1.50527246,0.39231648,0.81639244,0.01301484,0.15083279,0.45843794,0.00000000
-5.89194597,1.45796570,0.38051049,0.79056926,0.01289623,0.14526506,0.44395652,0.00000000
-5.88594297,1.40631428,0.36722105,0.76261116,0.01269351,0.13926670,0.42805093,0.00000000
-5.87993997,1.35078713,0.35256134,0.73279474,0.01240958,0.13287255,0.41084583,0.00000000
-5.87393697,1.29198162,0.33668158,0.70146242,0.01204920,0.12613242,0.39250798,0.00000000
-5.86793397,1.23060364,0.31976342,0.66901203,0.01161876,0.11910853,0.37323980,0.00000000
-5.86193097,1.16744416,0.30201333,0.63588447,0.01112607,0.11187259,0.35327194,0.00000000
-5.85592796,1.10335309,0.28365535,0.60254983,0.01058009,0.10450274,0.33285500,0.00000000
-5.84992496,1.03921174,0.26492352,0.56949271,0.00999055,0.09708048,0.31225095,0.00000000
-5.84392196,0.97590472,0.24605435,0.53719707,0.00936769,0.08968768,0.29172444,0.00000000
-5.83791896,0.91429239,0.22727957,0.50613120,0.00872191,0.08240383,0.27153441,0.00000000
-5.83191596,0.85518481,0.20881954,0.47673346,0.00806347,0.07530360,0.25192632,0.00000000
-5.82591296,0.79931809,0.19087735,0.44939896,0.00740219,0.06845478,0.23312509,0.00000000
-5.81990995,0.74733376,0.17363407,0.42446792,0.00674722,0.06191666,0.21532919,0.00000000
-5.81390695,0.69976178,0.15724493,0.40221583,0.00610685,0.05573881,0.19870583,0.00000000
-5.80790395,0.65700767,0.14183682,0.38284577,0.00548832,0.04996039,0.18338748,0.00000000
-5.80190095,0.61934396,0.12750681,0.36648312,0.00489773,0.04460983,0.16946966,0.00000000
-5.79589795,0.58690603,0.11432190,0.35317272,0.00434001,0.03970492,0.15701007,0.00000000
-5.78989495,0.55969244,0.10231966,0.34287858,0.00381889,0.03525328,0.14602897,0.00000000
-5.78389195,0.53756943,0.09150993,0.33548607,0.00333691,0.03125310,0.13651071,0.00000000
-5.77788894,0.52027939,0.08187712,0.33080654,0.00289556,0.02769407,0.12840630,0.00000000
-5.77188594,0.50745289,0.07338315,0.32858414,0.00249528,0.02455857,0.12163689,0.00000000
-5.76588294,0.49862370,0.06597085,0.32850465,0.00213568,0.02182292,0.11609792,0.00000000
-5.75987994,0.49324640,0.05956756,0.33020604,0.00181559,0.01945861,0.11166392,0.00000000
-5.75387694,0.49071579,0.05408881,0.33329030,0.00153326,0.01743370,0.10819354,0.00000000
-5.74787394,0.49038761,0.04944206,0.33733634,0.00128645,0.01571396,0.10553495,0.00000000
-5.74187094,0.49159978,0.04553022,0.34191340,0.00107259,0.01426413,0.10353109,0.00000000
-5.73586793,0.49369357,0.04225488,0.34659460,0.00088891,0.01304894,0.10202499,0.00000000
-5.72986493,0.49603402,0.03951934,0.35097013,0.00073252,0.01203405,0.10086463,0.00000000
-5.72386193,0.49802905,0.03723114,0.35465978,0.00060054,0.01118684,0.09990759,0.00000000
-5.71785893,0.49914662,0.03530428,0.35732428,0.00049017,0.01047709,0.09902511,0.00000000
-5.71185593,0.49892963,0.03366093,0.35867514,0.00039873,0.00987744,0.09810563,0.00000000
-5.70585293,0.49700801,0.03223285,0.35848280,0.00032376,0.00936383,0.09705772,0.00000000
-5.69984992,0.49310795,0.03096229,0.35658268,0.00026299,0.00891568,0.09581237,0.00000000
-5.69384692,0.48705793,0.02980262,0.35287922,0.00021442,0.00851607,0.09432467,0.00000000
-5.68784392,0.47879169,0.02871855,0.34734766,0.00017632,0.00815178,0.09257478,0.00000000
-5.68184092,0.46834821,0.02768618,0.34003374,0.00014722,0.00781318,0.09056846,0.00000000
-5.67583792,0.45586886,0.02669268,0.33105146,0.00012590,0.00749420,0.08833696,0.00000000
-5.66983492,0.44159213,0.02573592,0.32057896,0.00011141,0.00719210,0.08593655,0.00000000
-5.66383192,0.42584623,0.02482379,0.30885299,0.00010307,0.00690731,0.08344763,0.00000000
-5.65782891,0.40904006,0.02397359,0.29616211,0.00010040,0.00664319,0.08097351,0.00000000
-5.65182591,0.39165301,0.02321120,0.28283906,0.00010316,0.00640580,0.07863905,0.00000000
-5.64582291,0.37422393,0.02257031,0.26925250,0.00011132,0.00620363,0.07658903,0.00000000
-5.63981991,0.35733971,0.02209153,0.25579867,0.00012504,0.00604743,0.07498641,0.00000000
-5.63381691,0.34162381,0.02182159,0.24289284,0.00014464,0.00594990,0.07401044,0.00000000
-5.62781391,0.32772485,0.02181235,0.23096120,0.00017061,0.00592548,0.07385458,0.00000000
-5.62181091,0.31630555,0.02211996,0.22043292,0.00020359,0.00599014,0.07472427,0.00000000
-5.61580790,0.30803182,0.02280386,0.21173274,0.00024432,0.00616107,0.07683437,0.00000000
-5.60980490,0.30356211,0.02392566,0.20527391,0.00029363,0.00645645,0.08040624,0.00000000
-5.60380190,0.30353675,0.02554805,0.20145148,0.00035242,0.00689513,0.08566437,0.00000000
-5.59779890,0.30856713,0.02773347,0.20063584,0.00042163,0.00749628,0.09283246,0.00000000
-5.59179590,0.31922452,0.03054268,0.20316640,0.00050218,0.00827898,0.10212884,0.00000000
-5.58579290,0.33602825,0.03403314,0.20934519,0.00059495,0.00926176,0.11376123,0.00000000
-5.57978989,0.35943331,0.03825730,0.21943044,0.00070074,0.01046206,0.12792079,0.00000000
-5.57378689,0.38981720,0.04326071,0.23362994,0.00082021,0.01189569,0.14477551,0.00000000
-5.56778389,0.42746623,0.04908002,0.25209438,0.00095383,0.01357608,0.16446315,0.00000000
-5.56178089,0.47256159,0.05574101,0.27491061,0.00110185,0.01551367,0.18708375,0.00000000
-5.55577789,0.52516561,0.06325665,0.30209516,0.00126424,0.01771516,0.21269212,0.00000000
-5.54977489,0.58520885,0.07162526,0.33358831,0.00144064,0.02018280,0.24129061,0.00000000
-5.54377189,0.65247879,0.08082902,0.36924899,0.00163034,0.02291372,0.27282250,0.00000000
-5.53776888,0.72661100,0.09083277,0.40885107,0.00183225,0.02589935,0.30716652,0.00000000
-5.53176588,0.80708369,0.10158338,0.45208154,0.00204486,0.02912490,0.34413283,0.00000000
-5.52576288,0.89321656,0.11300971,0.49854082,0.00226629,0.03256911,0.38346111,0.00000000
-5.51975988,0.98417474,0.12502325,0.54774594,0.00249425,0.03620409,0.42482088,0.00000000
-5.51375688,1.07897847,0.13751962,0.59913660,0.00272610,0.03999549,0.46781465,0.00000000
-5.50775388,1.17651884,0.15038071,0.65208459,0.00295887,0.04390283,0.51198377,0.00000000
