energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,3.36960803,0.49105730,2.83814435,0.29726297,0.00403413,0.02655585,0.13874320
-5.99399700,3.29111860,0.47323170,2.77945066,0.28566265,0.00382536,0.02487018,0.13499046
-5.98799400,3.20917123,0.45441273,2.71795625,0.27394944,0.00362241,0.02324250,0.13101950
-5.98199100,3.12483240,0.43475014,2.65454124,0.26224074,0.00342685,0.02169425,0.12687207
-5.97598799,3.03929122,0.41441879,2.59019178,0.25065974,0.00324024,0.02024455,0.12259480
-5.96998499,2.95383358,0.39361463,2.52597842,0.23933280,0.00306407,0.01891003,0.11823828
-5.96398199,2.86981104,0.37254976,2.46303003,0.22838658,0.00289979,0.01770473,0.11385581
-5.95797899,2.78860564,0.35144704,2.40250387,0.21794504,0.00274872,0.01663999,0.10950218
-5.95197599,2.71159179,0.33053432,2.34555306,0.20812651,0.00261205,0.01572454,0.10523226
-5.94597299,2.64009682,0.31003859,2.29329254,0.19904081,0.00249081,0.01496451,0.10109963
-5.93996998,2.57536150,0.29018022,2.24676497,0.19078665,0.00238585,0.01436352,0.09715523
-5.93396698,2.51850230,0.27116762,2.20690765,0.18344929,0.00229778,0.01392282,0.09344609
-5.92796398,2.47047669,0.25319230,2.17452219,0.17709869,0.00222696,0.01364147,0.09001426
-5.92196098,2.43205301,0.23642479,2.15024767,0.17178799,0.00217350,0.01351645,0.08689584
-5.91595798,2.40378594,0.22101120,2.13453877,0.16755257,0.00213721,0.01354287,0.08412030
-5.90995498,2.38599864,0.20707079,2.12764952,0.16440955,0.00211762,0.01371416,0.08171000
-5.90395198,2.37877216,0.19469436,2.12962334,0.16235783,0.00211398,0.01402225,0.07967995
-5.89794897,2.38194254,0.18394356,2.14028988,0.16137852,0.00212523,0.01445777,0.07803784
-5.89194597,2.39510557,0.17485111,2.15926857,0.16143583,0.00215008,0.01501029,0.07678422
-5.88594297,2.41762911,0.16742166,2.18597903,0.16247833,0.00218699,0.01566844,0.07591299
-5.87993997,2.44867240,0.16163343,2.21965760,0.16444045,0.00223420,0.01642019,0.07541194
-5.87393697,2.48721151,0.15744037,2.25937965,0.16724431,0.00228979,0.01725303,0.07526350
-5.86793397,2.53207016,0.15477468,2.30408673,0.17080160,0.00235172,0.01815415,0.07544556
-5.86193097,2.58195458,0.15354967,2.35261750,0.17501568,0.00241787,0.01911068,0.07593234
