energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.07051843,0.00932324,0.06771930,1.16367278,1.40690303,0.04987915,1.14674425
-5.99399700,3.04617901,0.00928622,0.06988024,1.16270536,1.38683282,0.04941531,1.14286803
-5.98799400,3.01653439,0.00924692,0.07193599,1.15848479,1.36238595,0.04884363,1.13898198
-5.98199100,2.98154381,0.00920149,0.07382937,1.15090794,1.33376556,0.04817209,1.13493580
-5.97598799,2.94127984,0.00914650,0.07550915,1.13993070,1.30128070,0.04740935,1.13056687
-5.96998499,2.89591609,0.00907895,0.07693091,1.12556422,1.26533134,0.04656449,1.12570336
-5.96398199,2.84571548,0.00899629,0.07805782,1.10787072,1.22639175,0.04564678,1.12016932
-5.95797899,2.79101956,0.00889644,0.07886142,1.08695921,1.18499302,0.04466555,1.11379156
-5.95197599,2.73223900,0.00877773,0.07932222,1.06298119,1.14170538,0.04363006,1.10640777
-5.94597299,2.66984527,0.00863898,0.07943021,1.03612649,1.09712085,0.04254948,1.09787528
-5.93996998,2.60436325,0.00847943,0.07918509,1.00661933,1.05183692,0.04143286,1.08807996
-5.93396698,2.53636449,0.00829878,0.07859628,0.97471455,1.00644146,0.04028919,1.07694438
-5.92796398,2.46646047,0.00809716,0.07768271,0.94069396,0.96149931,0.03912740,1.06443478
-5.92196098,2.39529574,0.00787511,0.07647226,0.90486273,0.91754074,0.03795647,1.05056614
-5.91595798,2.32354022,0.00763363,0.07500105,0.86754580,0.87505186,0.03678539,1.03540505
-5.90995498,2.25188067,0.00737407,0.07331244,0.82908400,0.83446707,0.03562325,1.01907000
-5.90395198,2.18101108,0.00709817,0.07145593,0.78983020,0.79616357,0.03447917,1.00172912
-5.89794897,2.11162230,0.00680802,0.06948591,0.75014500,0.76045786,0.03336231,0.98359555
-5.89194597,2.04439117,0.00650597,0.06746041,0.71039247,0.72760416,0.03228178,0.96492062
-5.88594297,1.97996966,0.00619464,0.06543985,0.67093560,0.69779481,0.03124653,0.94598559
-5.87993997,1.91897494,0.00587680,0.06348596,0.63213188,0.67116240,0.03026530,0.92709234
-5.87393697,1.86198100,0.00555534,0.06166081,0.59432903,0.64778375,0.02934648,0.90855394
-5.86793397,1.80951265,0.00523323,0.06002609,0.55786112,0.62768553,0.02849809,0.89068570
-5.86193097,1.76204272,0.00491336,0.05864264,0.52304517,0.61085142,0.02772767,0.87379742
-5.85592796,1.71999287,0.00459858,0.05757021,0.49017855,0.59723076,0.02704230,0.85818746
-5.84992496,1.68373834,0.00429159,0.05686749,0.45953711,0.58674829,0.02644866,0.84413898
-5.84392196,1.65361657,0.00399486,0.05659234,0.43137420,0.57931488,0.02595305,0.83191854
-5.83791896,1.62993933,0.00371065,0.05680212,0.40592059,0.57483883,0.02556163,0.82177721
-5.83191596,1.61300747,0.00344096,0.05755412,0.38338509,0.57323719,0.02528046,0.81395371
-5.82591296,1.60312719,0.00318750,0.05890590,0.36395579,0.57444674,0.02511580,0.80867927
-5.81990995,1.60062653,0.00295170,0.06091556,0.34780164,0.57843400,0.02507423,0.80618351
-5.81390695,1.60587023,0.00273473,0.06364165,0.33507403,0.58520363,0.02516282,0.80670055
-5.80790395,1.61927150,0.00253752,0.06714280,0.32590822,0.59480472,0.02538926,0.81047443
-5.80190095,1.64129887,0.00236078,0.07147691,0.32042403,0.60733431,0.02576190,0.81776304
-5.79589795,1.67247673,0.00220505,0.07669980,0.31872575,0.62293778,0.02628968,0.82883972
-5.78989495,1.71337846,0.00207077,0.08286338,0.32090083,0.64180572,0.02698196,0.84399176
-5.78389195,1.76461133,0.00195825,0.09001326,0.32701734,0.66416713,0.02784827,0.86351555
-5.77788894,1.82679311,0.00186781,0.09818603,0.33712005,0.69027895,0.02889782,0.88770797
-5.77188594,1.90052077,0.00179973,0.10740598,0.35122521,0.72041225,0.03013906,0.91685416
-5.76588294,1.98633238,0.00175437,0.11768182,0.36931429,0.75483539,0.03157897,0.95121210
-5.75987994,2.08466379,0.00173213,0.12900319,0.39132692,0.79379497,0.03322244,0.99099470
-5.75387694,2.19580233,0.00173350,0.14133750,0.41715353,0.83749536,0.03507150,1.03635016
-5.74787394,2.31984011,0.00175909,0.15462698,0.44662816,0.88607784,0.03712459,1.08734196
-5.74187094,2.45662988,0.00180961,0.16878661,0.47952212,0.93960042,0.03937595,1.14392972
-5.73586793,2.60574621,0.00188590,0.18370265,0.51553898,0.99801954,0.04181498,1.20595214
-5.72986493,2.76645523,0.00198895,0.19923246,0.55431164,1.06117482,0.04442591,1.27311355
-5.72386193,2.93769512,0.00211984,0.21520544,0.59540190,1.12877764,0.04718751,1.34497508
-5.71785893,3.11806994,0.00227983,0.23142531,0.63830302,1.20040481,0.05007311,1.42095159
-5.71185593,3.30585795,0.00247031,0.24767377,0.68244553,1.27549753,0.05305086,1.50031497
-5.70585293,3.49903546,0.00269284,0.26371562,0.72720653,1.35336643,0.05608420,1.58220424
-5.69984992,3.69531602,0.00294918,0.27930494,0.77192223,1.43320252,0.05913260,1.66564245
-5.69384692,3.89220429,0.00324133,0.29419247,0.81590368,1.51409389,0.06215257,1.74955999
-5.68784392,4.08706259,0.00357155,0.30813374,0.85845507,1.59504776,0.06509878,1.83282362
-5.68184092,4.27718800,0.00394247,0.32089764,0.89889416,1.67501703,0.06792543,1.91427009
-5.67583792,4.45989686,0.00435712,0.33227510,0.93657387,1.75293027,0.07058767,1.99274308
-5.66983492,4.63261306,0.00481902,0.34208755,0.97090436,1.82772407,0.07304308,2.06713180
-5.66383192,4.79295665,0.00533229,0.35019458,1.00137452,1.89837637,0.07525310,2.13640979
-5.65782891,4.93882867,0.00590168,0.35650056,1.02757199,1.96393948,0.07718443,2.19967206
-5.65182591,5.06848869,0.00653271,0.36095991,1.04920081,2.02357138,0.07881023,2.25616901
-5.64582291,5.18062175,0.00723171,0.36358052,1.06609580,2.07656414,0.08011119,2.30533572
-5.63981991,5.27439166,0.00800587,0.36442542,1.07823307,2.12236831,0.08107623,2.34681534
-5.63381691,5.34947859,0.00886327,0.36361235,1.08573607,2.16061232,0.08170311,2.38047546
-5.62781391,5.40609925,0.00981287,0.36131123,1.08887683,2.19111619,0.08199854,2.40641694
-5.62181091,5.44500885,0.01086445,0.35773979,1.08807220,2.21389919,0.08197817,2.42497484
-5.61580790,5.46748479,0.01202846,0.35315732,1.08387520,2.22918092,0.08166614,2.43671111
-5.60980490,5.47529255,0.01331588,0.34785689,1.07696161,2.23737613,0.08109440,2.44239973
-5.60380190,5.47063499,0.01473795,0.34215634,1.06811226,2.23908322,0.08030180,2.44300438
-5.59779890,5.45608688,0.01630584,0.33638843,1.05819151,2.23506689,0.07933290,2.43964966
-5.59179590,5.43451674,0.01803024,0.33089046,1.04812259,2.22623556,0.07823665,2.43358672
-5.58579290,5.40899847,0.01992089,0.32599386,1.03886053,2.21361414,0.07706488,2.42615427
-5.57978989,5.38271562,0.02198604,0.32201406,1.03136348,2.19831303,0.07587077,2.41873631
-5.57378689,5.35886098,0.02423185,0.31924100,1.02656327,2.18149424,0.07470724,2.41271779
-5.56778389,5.34053468,0.02666177,0.31793059,1.02533606,2.16433552,0.07362533,2.40943941
-5.56178089,5.33064350,0.02927589,0.31829737,1.02847384,2.14799360,0.07267274,2.41015293
-5.55577789,5.33180448,0.03207031,0.32050855,1.03665777,2.13356760,0.07189234,2.41597839
-5.54977489,5.34625548,0.03503659,0.32467955,1.05043394,2.12206348,0.07132093,2.42786427
-5.54377189,5.37577536,0.03816121,0.33087105,1.07019242,2.11436081,0.07098810,2.44655199
-5.53776888,5.42161636,0.04142523,0.33908766,1.09615018,2.11118275,0.07091539,2.47254585
-5.53176588,5.48445059,0.04480402,0.34927799,1.12833860,2.11307025,0.07111557,2.50608933
-5.52576288,5.56433289,0.04826725,0.36133625,1.16659586,2.12036130,0.07159229,2.54714882
-5.51975988,5.66068126,0.05177901,0.37510505,1.21056480,2.13317616,0.07233991,2.59540530
-5.51375688,5.77227623,0.05529818,0.39037940,1.25969639,2.15140902,0.07334364,2.65025466
-5.50775388,5.89727947,0.05877907,0.40691169,1.31325893,2.17472674,0.07457992,2.71081686
-5.50175088,6.03327202,0.06217224,0.42441756,1.37035295,2.20257478,0.07601712,2.77595390
-5.49574787,6.17731124,0.06542556,0.44258247,1.42993151,2.23419045,0.07761640,2.84429638
-5.48974487,6.32600536,0.06848545,0.46106876,1.49082552,2.26862322,0.07933282,2.91427804
-5.48374187,6.47560379,0.07129832,0.47952319,1.55177333,2.30476157,0.08111665,2.98417730
-5.47773887,6.62210052,0.07381204,0.49758469,1.61145390,2.34136573,0.08291478,3.05216465
-5.47173587,6.76134767,0.07597752,0.51489223,1.66852242,2.37710521,0.08467226,3.11635444
-5.46573287,6.88917543,0.07775025,0.53109264,1.72164739,2.41060003,0.08633381,3.17485931
-5.45972986,7.00151458,0.07909181,0.54584825,1.76954776,2.44046424,0.08784543,3.22584540
-5.45372686,7.09451733,0.07997112,0.55884425,1.81102902,2.46535017,0.08915587,3.26758656
