energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.70490816,-3.94283327,0.06881671,-0.04800909,0.43710818,-0.66228032,1.37854593,-1.78031011,0.84128577,-0.48606834,1.78969015,-1.82185334,0.00000000,-0.00000000,0.98734296,-0.70658263,0.17230059,-0.29839593
-5.99399700,3.68222554,-3.81519358,0.06704509,-0.04697482,0.42214514,-0.61407958,1.38245102,-1.68725000,0.80984976,-0.45376837,1.80186636,-1.80347639,0.00000000,-0.00000000,1.00013081,-0.70975792,0.17431436,-0.29355541
-5.98799400,3.65435203,-3.69386960,0.06519450,-0.04611947,0.40719747,-0.56773369,1.38305877,-1.59943207,0.77882502,-0.42290374,1.81029926,-1.78686621,0.00000000,-0.00000000,1.00966922,-0.71485873,0.17605981,-0.28847268
-5.98199100,3.62141049,-3.58042108,0.06328788,-0.04544229,0.39227596,-0.52378186,1.37990639,-1.51802280,0.74854114,-0.39378620,1.81500623,-1.77233772,0.00000000,-0.00000000,1.01577266,-0.72194030,0.17754172,-0.28321505
-5.97598799,3.58369381,-3.47602476,0.06134843,-0.04493660,0.37740449,-0.48267823,1.37266562,-1.44394338,0.71931388,-0.36667140,1.81610715,-1.76005846,0.00000000,-0.00000000,1.01833111,-0.73097244,0.17877590,-0.27783737
-5.96998499,3.54164228,-3.38147084,0.05939915,-0.04459068,0.36261824,-0.44478853,1.36114367,-1.37786022,0.69143588,-0.34176006,1.81381242,-1.75005075,0.00000000,-0.00000000,1.01731110,-0.74184024,0.17978742,-0.27238187
-5.96398199,3.49581486,-3.29717289,0.05746224,-0.04438885,0.34796147,-0.41038919,1.34527981,-1.32018340,0.66516784,-0.31920080,1.80840729,-1.74219944,0.00000000,-0.00000000,1.01275404,-0.75434765,0.18060847,-0.26687860
-5.95797899,3.44685561,-3.22319015,0.05555862,-0.04431272,0.33348499,-0.37966919,1.32513791,-1.27107265,0.64073028,-0.29909446,1.80023322,-1.73626481,0.00000000,-0.00000000,1.00477188,-0.76822386,0.18127589,-0.26134654
-5.95197599,3.39545683,-3.15926043,0.05370736,-0.04434241,0.31924348,-0.35273388,1.30089525,-1.23044980,0.61829644,-0.28149934,1.78966705,-1.73189986,0.00000000,-0.00000000,0.99354039,-0.78313197,0.18182846,-0.25579521
-5.94597299,3.34232048,-3.10484175,0.05192516,-0.04445785,0.30529263,-0.32961081,1.27282834,-1.19801719,0.59798661,-0.26643740,1.77709883,-1.72867113,0.00000000,-0.00000000,0.97929022,-0.79867995,0.18230414,-0.25022674
