energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.82991309,-4.12077657,2.00705228,-2.39695696,0.55830048,-0.60963390,0.67162367,-0.67871003,1.70062720,-1.72865131,0.00309353,-0.00307550,0.65045254,-0.78492013,0.75743942,-0.80987979,0.00000000,-0.00000000
-5.99399700,3.76713610,-4.05505432,1.94498651,-2.30376731,0.54935820,-0.59426480,0.66172068,-0.67434360,1.68773435,-1.72436239,0.00308062,-0.00307932,0.63477131,-0.75558449,0.74128408,-0.79969746,0.00000000,-0.00000000
-5.98799400,3.70173919,-3.98392982,1.88651394,-2.21141556,0.54146069,-0.57951484,0.65092386,-0.66889081,1.67109312,-1.71554284,0.00305655,-0.00307503,0.62099408,-0.72756872,0.72353049,-0.78690231,0.00000000,-0.00000000
-5.98199100,3.63457066,-3.90828140,1.83215688,-2.12076445,0.53466058,-0.56550576,0.63942120,-0.66242730,1.65105279,-1.70250006,0.00302089,-0.00306168,0.60915423,-0.70107850,0.70455641,-0.77172326,0.00000000,-0.00000000
-5.97598799,3.56650673,-3.82913206,1.78236505,-2.03273315,0.52899053,-0.55236389,0.62741851,-0.65505833,1.62801392,-1.68561789,0.00297348,-0.00303857,0.59925025,-0.67631628,0.68477082,-0.75445781,0.00000000,-0.00000000
-5.96998499,3.49842551,-3.74761451,1.73749419,-1.94826355,0.52446067,-0.54021468,0.61513356,-0.64691498,1.60242016,-1.66534519,0.00291444,-0.00300522,0.59124326,-0.65347320,0.66460176,-0.73546257,0.00000000,-0.00000000
-5.96398199,3.43118256,-3.66493238,1.69778885,-1.86828476,0.52105707,-0.52917692,0.60279010,-0.63814954,1.57474942,-1.64218262,0.00284416,-0.00296141,0.58505601,-0.63272105,0.64448375,-0.71514182,0.00000000,-0.00000000
-5.95797899,3.36558890,-3.58231966,1.66337015,-1.79367780,0.51874120,-0.51935723,0.59061199,-0.62893028,1.54550458,-1.61666824,0.00276325,-0.00290718,0.58057346,-0.61420457,0.62484531,-0.69393450,0.00000000,-0.00000000
-5.95197599,3.30239207,-3.50099999,1.63422884,-1.72524203,0.51745039,-0.51084487,0.57881763,-0.61943575,1.51520406,-1.58936261,0.00267256,-0.00284280,0.57764497,-0.59803479,0.60609692,-0.67230013,0.00000000,-0.00000000
-5.94597299,3.24226074,-3.42214796,1.61022399,-1.66366458,0.51709934,-0.50370728,0.56761463,-0.60984913,1.48437243,-1.56083407,0.00257311,-0.00276876,0.57608779,-0.58428338,0.58861979,-0.65070439,0.00000000,-0.00000000
-5.93996998,3.18577321,-3.34685386,1.59108711,-1.60949437,0.51758241,-0.49798650,0.55719505,-0.60035265,1.45353146,-1.53164483,0.00246606,-0.00268574,0.57569204,-0.57297849,0.57275581,-0.62960476,0.00000000,-0.00000000
-5.93396698,3.13340974,-3.27609325,1.57643145,-1.56312125,0.51877675,-0.49369652,0.54773116,-0.59112232,1.42319156,-1.50233847,0.00235268,-0.00259460,0.57622670,-0.56410221,0.55879882,-0.60943688,0.00000000,-0.00000000
-5.92796398,3.08554871,-3.21070251,1.56576594,-1.52476131,0.52054600,-0.49082186,0.53937169,-0.58232329,1.39384408,-1.47342924,0.00223433,-0.00249630,0.57744638,-0.55758966,0.54698759,-0.59060202,0.00000000,-0.00000000
-5.92196098,3.04246638,-3.15136098,1.55851292,-1.49444844,0.52274435,-0.48931719,0.53223883,-0.57410565,1.36595443,-1.44539359,0.00211239,-0.00239194,0.57909875,-0.55332978,0.53750048,-0.57345619,0.00000000,-0.00000000
-5.91595798,3.00433988,-3.09858010,1.55402888,-1.47203251,0.52522089,-0.48910810,0.52642583,-0.56660114,1.33995627,-1.41866407,0.00198823,-0.00228267,0.58093206,-0.55116776,0.53045198,-0.55830099,0.00000000,-0.00000000
-5.90995498,2.97125305,-3.05269961,1.55162715,-1.45718394,0.52782393,-0.49009291,0.52199533,-0.55992045,1.31624687,-1.39362577,0.00186323,-0.00216967,0.58270263,-0.55090895,0.52589115,-0.54537673,0.00000000,-0.00000000
-5.90395198,2.94320477,-3.01389052,1.55060155,-1.44940427,0.53040516,-0.49214546,0.51897851,-0.55415136,1.29518381,-1.37061519,0.00173866,-0.00205412,0.58418188,-0.55232410,0.52380198,-0.53485773,0.00000000,-0.00000000
-5.89794897,2.92011923,-2.98216424,1.55024988,-1.44804226,0.53282354,-0.49511861,0.51737499,-0.54935766,1.27708307,-1.34992136,0.00161575,-0.00193721,0.58516265,-0.55515574,0.52410560,-0.52684987,0.00000000,-0.00000000
-5.89194597,2.90185793,-2.95738724,1.54989635,-1.45231478,0.53494866,-0.49884849,0.51715364,-0.54557873,1.26221863,-1.33178912,0.00149562,-0.00182006,0.58546461,-0.55912530,0.52666426,-0.52139054,0.00000000,-0.00000000
-5.88594297,2.88823287,-2.93930026,1.54891209,-1.46133159,0.53666362,-0.50315912,0.51825428,-0.54282988,1.25082360,-1.31642402,0.00137925,-0.00170373,0.58493849,-0.56394089,0.53128698,-0.51845059,0.00000000,-0.00000000
-5.87993997,2.87902067,-2.92754106,1.54673278,-1.47412303,0.53786732,-0.50786734,0.52059026,-0.54110340,1.24309299,-1.30399873,0.00126752,-0.00158920,0.58346906,-0.56930534,0.53773665,-0.51793845,0.00000000,-0.00000000
-5.87393697,2.87397737,-2.92166958,1.54287313,-1.48966971,0.53847607,-0.51278777,0.52405201,-0.54037012,1.23918788,-1.29466038,0.00116119,-0.00147737,0.58097680,-0.57492417,0.54573841,-0.51970583,0.00000000,-0.00000000
-5.86793397,2.87285344,-2.92119460,1.53693752,-1.50693297,0.53842462,-0.51773773,0.52851139,-0.54058164,1.23924117,-1.28853856,0.00106086,-0.00136903,0.57741818,-0.58051337,0.55498903,-0.52355502,0.00000000,-0.00000000
-5.86193097,2.87540890,-2.92560060,1.52862678,-1.52488504,0.53766663,-0.52254182,0.53382680,-0.54167307,1.24336435,-1.28575362,0.00096702,-0.00126488,0.57278477,-0.58580651,0.56516702,-0.52924733,0.00000000,-0.00000000
-5.85592796,2.88142802,-2.93437404,1.51774107,-1.54253801,0.53617463,-0.52703616,0.53984897,-0.54356617,1.25165542,-1.28642478,0.00088004,-0.00116551,0.56710114,-0.59056115,0.57594314,-0.53651238,0.00000000,-0.00000000
-5.84992496,2.89073335,-2.94702804,1.50417886,-1.55897041,0.53393951,-0.53107201,0.54642709,-0.54617296,1.26420721,-1.29067792,0.00080019,-0.00107140,0.56042179,-0.59456420,0.58699094,-0.54505795,0.00000000,-0.00000000
-5.84392196,2.90319846,-2.96312472,1.48793264,-1.57335065,0.53096973,-0.53451882,0.55341526,-0.54939957,1.28111591,-1.29865252,0.00072763,-0.00098295,0.55282737,-0.59763613,0.59799700,-0.55457993,0.00000000,-0.00000000
-5.83791896,2.91875911,-2.98229437,1.46908152,-1.58495657,0.52729017,-0.53726653,0.56067875,-0.55315030,1.30248917,-1.31050768,0.00066244,-0.00090045,0.54442027,-0.59963398,0.60867048,-0.56477218,0.00000000,-0.00000000
-5.83191596,2.93742211,-3.00425111,1.44778148,-1.59319051,0.52294090,-0.53922716,0.56810003,-0.55733181,1.32845320,-1.32642674,0.00060461,-0.00082413,0.53531998,-0.60045301,0.61875160,-0.57533583,0.00000000,-0.00000000
-5.82591296,2.95927134,-3.02880426,1.42425377,-1.59758948,0.51797568,-0.54033567,0.57558410,-0.56185716,1.35915831,-1.34662038,0.00055410,-0.00075413,0.52565829,-0.60002705,0.62801880,-0.58598789,0.00000000,-0.00000000
-5.81990995,2.98447041,-3.05586543,1.39877214,-1.59783038,0.51246046,-0.54055009,0.58306288,-0.56664976,1.39478224,-1.37132789,0.00051081,-0.00069053,0.51557462,-0.59832762,0.63629421,-0.59646866,0.00000000,-0.00000000
