energy_ev,total_up,Cd_p_up,Cd_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.49491136,0.21364316,0.04375665,0.08691328,0.00098264,0.00471000,0.15948798
-5.99399700,0.49748075,0.21498473,0.04399264,0.08764445,0.00098614,0.00471090,0.15969960
-5.98799400,0.49744810,0.21525871,0.04402232,0.08790323,0.00098433,0.00469781,0.15908765
-5.98199100,0.49485730,0.21447816,0.04385754,0.08768260,0.00097726,0.00467411,0.15769517
-5.97598799,0.48980828,0.21268005,0.04351604,0.08698420,0.00096505,0.00464401,0.15558572
-5.96998499,0.48245694,0.20992551,0.04302152,0.08581856,0.00094793,0.00461257,0.15284280
-5.96398199,0.47301371,0.20629957,0.04240343,0.08420502,0.00092621,0.00458572,0.14956868
-5.95797899,0.46174078,0.20191030,0.04169677,0.08217153,0.00090030,0.00457020,0.14588297
-5.95197599,0.44894802,0.19688727,0.04094170,0.07975411,0.00087066,0.00457356,0.14192063
-5.94597299,0.43498757,0.19137955,0.04018297,0.07699606,0.00083784,0.00460409,0.13782974
-5.93996998,0.42024748,0.18555307,0.03946934,0.07394700,0.00080244,0.00467083,0.13376898
-5.93396698,0.40514430,0.17958759,0.03885276,0.07066170,0.00076510,0.00478343,0.12990484
-5.92796398,0.39011506,0.17367320,0.03838760,0.06719878,0.00072650,0.00495211,0.12640875
-5.92196098,0.37560874,0.16800655,0.03812969,0.06361926,0.00068732,0.00518757,0.12345401
-5.91595798,0.36207752,0.16278696,0.03813534,0.05998512,0.00064825,0.00550087,0.12121285
-5.90995498,0.34996810,0.15821239,0.03846037,0.05635786,0.00060996,0.00590328,0.11985344
-5.90395198,0.33971329,0.15447554,0.03915902,0.05279708,0.00057309,0.00640620,0.11953703
-5.89794897,0.33172420,0.15176015,0.04028299,0.04935923,0.00053824,0.00702095,0.12041530
-5.89194597,0.32638311,0.15023760,0.04188045,0.04609655,0.00050597,0.00775860,0.12262793
-5.88594297,0.32403729,0.15006389,0.04399507,0.04305609,0.00047677,0.00862986,0.12630040
-5.87993997,0.32499386,0.15137721,0.04666522,0.04027907,0.00045106,0.00964478,0.13154209
-5.87393697,0.32951577,0.15429592,0.04992319,0.03780045,0.00042922,0.01081265,0.13844479
-5.86793397,0.33781892,0.15891726,0.05379453,0.03564874,0.00041152,0.01214172,0.14708141
