energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.97673748,0.00585909,0.10394781,1.43218116,0.39987781,0.02241479,1.22156683
-5.99399700,2.04021980,0.00547559,0.11074409,1.50662675,0.41324651,0.02132347,1.25782479
-5.98799400,2.10403590,0.00509162,0.11777238,1.58256682,0.42661891,0.02017879,1.29419814
-5.98199100,2.16791253,0.00471280,0.12499586,1.65947830,0.43993081,0.01900075,1.33053883
-5.97598799,2.23150920,0.00434449,0.13237130,1.73677016,0.45310338,0.01780933,1.36665921
-5.96998499,2.29442482,0.00399173,0.13984937,1.81379428,0.46604453,0.01662412,1.40233647
-5.96398199,2.35620746,0.00365919,0.14737514,1.88985870,0.47865113,0.01546399,1.43731900
-5.95797899,2.41636689,0.00335117,0.15488860,1.96424251,0.49081186,0.01434674,1.47133427
-5.95197599,2.47438916,0.00307152,0.16232544,2.03621208,0.50241070,0.01328890,1.50409807
-5.94597299,2.52975279,0.00282372,0.16961789,2.10503799,0.51333077,0.01230553,1.53532451
-5.93996998,2.58194578,0.00261086,0.17669566,2.17001214,0.52345850,0.01141006,1.56473644
-5.93396698,2.63048272,0.00243565,0.18348702,2.23046467,0.53268777,0.01061428,1.59207581
-5.92796398,2.67492135,0.00230048,0.18991994,2.28577993,0.54092400,0.00992821,1.61711349
-5.92196098,2.71487785,0.00220739,0.19592333,2.33541133,0.54808793,0.00936017,1.63965820
-5.91595798,2.75004019,0.00215815,0.20142833,2.37889446,0.55411884,0.00891674,1.65956408
-5.90995498,2.78017922,0.00215422,0.20636964,2.41585831,0.55897725,0.00860281,1.67673668
-5.90395198,2.80515676,0.00219674,0.21068687,2.44603413,0.56264676,0.00842156,1.69113702
-5.89794897,2.82493064,0.00228655,0.21432590,2.46926178,0.56513513,0.00837454,1.70278366
-5.89194597,2.83955631,0.00242411,0.21724012,2.48549347,0.56647443,0.00846160,1.71175253
-5.88594297,2.84918500,0.00260951,0.21939170,2.49479451,0.56672029,0.00868097,1.71817466
-5.87993997,2.85405847,0.00284234,0.22075257,2.49734130,0.56595032,0.00902913,1.72223171
-5.87393697,2.85450056,0.00312170,0.22130537,2.49341635,0.56426170,0.00950090,1.72414966
-5.86793397,2.85090567,0.00344609,0.22104410,2.48340048,0.56176808,0.01008934,1.72419064
-5.86193097,2.84372485,0.00381336,0.21997448,2.46776240,0.55859595,0.01078574,1.72264336
-5.85592796,2.83344975,0.00422065,0.21811408,2.44704574,0.55488058,0.01157968,1.71981249
-5.84992496,2.82059528,0.00466434,0.21549208,2.42185411,0.55076170,0.01245901,1.71600734
-5.84392196,2.80568150,0.00514004,0.21214873,2.39283438,0.54637926,0.01340999,1.71153043
