energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.11889076,-1.11889076,0.73103481,-0.73103481,0.09174534,-0.09174534,0.01296537,-0.01296537,0.00000000,-0.00000000,0.00782430,-0.00782430,0.72653554,-0.72653554
-5.99399700,1.17316212,-1.17316212,0.76646160,-0.76646160,0.09867237,-0.09867237,0.01377618,-0.01377618,0.00000000,-0.00000000,0.00819197,-0.00819197,0.76187028,-0.76187028
-5.98799400,1.22543587,-1.22543587,0.80085205,-0.80085204,0.10574962,-0.10574961,0.01455831,-0.01455831,0.00000000,-0.00000000,0.00853737,-0.00853737,0.79610769,-0.79610769
-5.98199100,1.27533027,-1.27533027,0.83398296,-0.83398296,0.11295657,-0.11295657,0.01530323,-0.01530323,0.00000000,-0.00000000,0.00885698,-0.00885698,0.82901913,-0.82901913
-5.97598799,1.32250842,-1.32250842,0.86565336,-0.86565335,0.12027379,-0.12027379,0.01600300,-0.01600300,0.00000000,-0.00000000,0.00914777,-0.00914777,0.86040078,-0.86040077
-5.96998499,1.36668564,-1.36668564,0.89568789,-0.89568789,0.12768286,-0.12768286,0.01665041,-0.01665041,0.00000000,-0.00000000,0.00940728,-0.00940728,0.89007775,-0.89007774
-5.96398199,1.40763462,-1.40763461,0.92393903,-0.92393902,0.13516636,-0.13516636,0.01723923,-0.01723923,0.00000000,-0.00000000,0.00963375,-0.00963375,0.91790689,-0.91790689
-5.95797899,1.44518814,-1.44518814,0.95028764,-0.95028764,0.14270758,-0.14270758,0.01776437,-0.01776437,0.00000000,-0.00000000,0.00982613,-0.00982613,0.94377811,-0.94377811
-5.95197599,1.47923929,-1.47923929,0.97464221,-0.97464220,0.15029015,-0.15029015,0.01822194,-0.01822194,0.00000000,-0.00000000,0.00998416,-0.00998416,0.96761414,-0.96761414
-5.94597299,1.50973918,-1.50973917,0.99693654,-0.99693653,0.15789768,-0.15789768,0.01860942,-0.01860942,0.00000000,-0.00000000,0.01010842,-0.01010842,0.98936896,-0.98936895
-5.93996998,1.53669254,-1.53669253,1.01712629,-1.01712628,0.16551333,-0.16551333,0.01892569,-0.01892569,0.00000000,-0.00000000,0.01020029,-0.01020029,1.00902487,-1.00902486
