energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,9.72738576,1.21714341,2.46395132,0.05302414,0.54316921,0.05571788,3.77447593,2.21519070,0.91930130
-5.99399700,9.79072334,1.21900420,2.53143968,0.05373404,0.53897580,0.05509764,3.79886696,2.23680486,0.91262129
-5.98799400,9.85075922,1.21858406,2.59783112,0.05489668,0.53439379,0.05454287,3.82133242,2.25574504,0.90623109
-5.98199100,9.90384636,1.21560873,2.66183541,0.05646860,0.52937196,0.05404671,3.84041912,2.27112828,0.89989160
-5.97598799,9.94634348,1.20983836,2.72212350,0.05839848,0.52386069,0.05360263,3.85469622,2.28210679,0.89336296
-5.96998499,9.97471979,1.20107584,2.77736437,0.06062807,0.51781273,0.05320426,3.86279759,2.28789613,0.88641101
-5.96398199,9.98565762,1.18917396,2.82626364,0.06309323,0.51118377,0.05284530,3.86346264,2.28780148,0.87881324
-5.95797899,9.97615012,1.17404106,2.86760262,0.06572523,0.50393295,0.05251930,3.85557463,2.28124124,0.87036436
-5.95197599,9.94359087,1.15564519,2.90027629,0.06845206,0.49602342,0.05221960,3.83819516,2.26776702,0.86088149
-5.94597299,9.88585321,1.13401670,2.92332870,0.07119987,0.48742290,0.05193928,3.81059386,2.24707950,0.85020870
-5.93996998,9.80135667,1.10924928,2.93598457,0.07389457,0.47810435,0.05167110,3.77227256,2.21903974,0.83822111
-5.93396698,9.68911891,1.08149946,2.93767582,0.07646339,0.46804680,0.05140762,3.72298308,2.18367548,0.82482846
-5.92796398,9.54879160,1.05098474,2.92806202,0.07883653,0.45723627,0.05114136,3.66273826,2.14118261,0.80997792
-5.92196098,9.38067920,1.01798031,2.90704403,0.08094877,0.44566687,0.05086496,3.59181590,2.09192163,0.79365637
-5.91595798,9.18574027,0.98281464,2.87477033,0.08274102,0.43334188,0.05057151,3.51075555,2.03640952,0.77589181
-5.90995498,8.96557106,0.94586382,2.83163580,0.08416172,0.42027500,0.05025482,3.42034804,1.97530731,0.75675400
-5.90395198,8.72237196,0.90754504,2.77827295,0.08516810,0.40649137,0.04990983,3.32161836,1.90940383,0.73635406
-5.89794897,8.45889745,0.86830902,2.71553611,0.08572724,0.39202856,0.04953285,3.21580198,1.83959621,0.71484316
-5.89194597,8.17839098,0.82863182,2.64447881,0.08581682,0.37693724,0.04912196,3.10431540,1.76686784,0.69241004
-5.88594297,7.88450628,0.78900590,2.56632540,0.08542560,0.36128159,0.04867720,2.98872170,1.69226431,0.66927740
-5.87993997,7.58121715,0.74993068,2.48243772,0.08455359,0.34513926,0.04820073,2.87069180,1.61686813,0.64569715
-5.87393697,7.27271810,0.71190278,2.39427790,0.08321182,0.32860090,0.04769692,2.75196258,1.54177294,0.62194456
-5.86793397,6.96331832,0.67540601,2.30336849,0.08142191,0.31176914,0.04717225,2.63429288,1.46805771,0.59831137
-5.86193097,6.65733195,0.64090137,2.21125120,0.07921515,0.29475723,0.04663514,2.51941846,1.39676185,0.57509804
-5.85592796,6.35896770,0.60881724,2.11944556,0.07663142,0.27768711,0.04609559,2.40900731,1.32886159,0.55260537
-5.84992496,6.07222083,0.57954006,2.02940870,0.07371781,0.26068714,0.04556478,2.30461635,1.26524842,0.53112558
-5.84392196,5.80077095,0.55340558,1.94249760,0.07052704,0.24388956,0.04505447,2.20765099,1.20671002,0.51093345
