energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,3.24006733,1.02912766,0.46544782,0.01528815,0.20318739,1.19582049,1.46230602,1.32874766,0.00000000
-5.99399700,3.20313417,1.01428556,0.46411208,0.01507017,0.19540560,1.17728874,1.44483577,1.32414096,0.00000000
-5.98799400,3.16732214,0.99754735,0.46250080,0.01476878,0.18796030,1.15750693,1.42958231,1.31815108,0.00000000
-5.98199100,3.13271879,0.97937830,0.46058838,0.01438948,0.18087139,1.13686699,1.41639922,1.31092455,0.00000000
-5.97598799,3.09947026,0.96028132,0.45835508,0.01393930,0.17416591,1.11579256,1.40515644,1.30264398,0.00000000
-5.96998499,3.06777650,0.94078028,0.45578840,0.01342660,0.16787662,1.09472594,1.39574475,1.29352103,0.00000000
-5.96398199,3.03788242,0.92140234,0.45288415,0.01286083,0.16204010,1.07411372,1.38807787,1.28378797,0.00000000
-5.95797899,3.01006547,0.90265998,0.44964718,0.01225217,0.15669454,1.05439168,1.38209259,1.27368831,0.00000000
-5.95197599,2.98462066,0.88503357,0.44609171,0.01161130,0.15187732,1.03596978,1.37774692,1.26346695,0.00000000
-5.94597299,2.96184388,0.86895514,0.44224115,0.01094902,0.14762252,1.01921766,1.37501679,1.25336027,0.00000000
-5.93996998,2.94201445,0.85479401,0.43812759,0.01027601,0.14395859,1.00445151,1.37389154,1.24358677,0.00000000
-5.93396698,2.92537792,0.84284491,0.43379076,0.00960249,0.14090603,0.99192265,1.37436859,1.23433856,0.00000000
-5.92796398,2.91213012,0.83331883,0.42927663,0.00893804,0.13847558,0.98180846,1.37644784,1.22577411,0.00000000
-5.92196098,2.90240299,0.82633710,0.42463569,0.00829128,0.13666663,0.97420591,1.38012596,1.21801262,0.00000000
-5.91595798,2.89625313,0.82192867,0.41992088,0.00766981,0.13546615,0.96912792,1.38539107,1.21113002,0.00000000
-5.90995498,2.89365341,0.82003074,0.41518545,0.00707999,0.13484814,0.96650273,1.39221801,1.20515695,0.00000000
-5.90395198,2.89448782,0.82049248,0.41048059,0.00652693,0.13477358,0.96617615,1.40056434,1.20007851,0.00000000
-5.89794897,2.89854988,0.82308164,0.40585318,0.00601441,0.13519087,0.96791661,1.41036732,1.19583581,0.00000000
-5.89194597,2.90554442,0.82749377,0.40134360,0.00554492,0.13603679,0.97142281,1.42154171,1.19232911,0.00000000
-5.88594297,2.91509242,0.83336346,0.39698377,0.00511968,0.13723793,0.97633344,1.43397858,1.18942239,0.00000000
-5.87993997,2.92673867,0.84027728,0.39279547,0.00473878,0.13871246,0.98223887,1.44754481,1.18694888,0.00000000
-5.87393697,2.93996165,0.84778780,0.38878912,0.00440124,0.14037222,0.98869407,1.46208333,1.18471754,0.00000000
-5.86793397,2.95418519,0.85542812,0.38496290,0.00410517,0.14212506,0.99523236,1.47741385,1.18251985,0.00000000
-5.86193097,2.96879117,0.86272654,0.38130240,0.00384792,0.14387730,1.00137956,1.49333391,1.18013674,0.00000000
-5.85592796,2.98313281,0.86922068,0.37778082,0.00362624,0.14553620,1.00666793,1.50962013,1.17734542,0.00000000
-5.84992496,2.99654787,0.87447077,0.37435960,0.00343643,0.14701242,1.01064947,1.52602953,1.17392565,0.00000000
-5.84392196,3.00837145,0.87807155,0.37098951,0.00327451,0.14822231,1.01290821,1.54230084,1.16966538,0.00000000
-5.83791896,3.01794773,0.87966261,0.36761224,0.00313638,0.14909000,1.01307095,1.55815576,1.16436557,0.00000000
-5.83191596,3.02464067,0.87893680,0.36416223,0.00301792,0.14954917,1.01081633,1.57330025,1.15784408,0.00000000
-5.82591296,3.02784324,0.87564661,0.36056888,0.00291515,0.14954448,1.00588193,1.58742588,1.14993850,0.00000000
-5.81990995,3.02698532,0.86960838,0.35675887,0.00282432,0.14903268,0.99806914,1.60021138,1.14050812,0.00000000
-5.81390695,3.02154016,0.86070434,0.35265860,0.00274196,0.14798322,0.98724602,1.61132466,1.12943494,0.00000000
-5.80790395,3.01102975,0.84888265,0.34819663,0.00266501,0.14637853,0.97334782,1.62042530,1.11662400,0.00000000
-5.80190095,2.99502905,0.83415535,0.34330601,0.00259081,0.14421383,0.95637564,1.62716782,1.10200299,0.00000000
-5.79589795,2.97316966,0.81659473,0.33792644,0.00251715,0.14149668,0.93639312,1.63120589,1.08552150,0.00000000
-5.78989495,2.94514291,0.79632807,0.33200621,0.00244227,0.13824608,0.91352152,1.63219746,1.06715000,0.00000000
-5.78389195,2.91070275,0.77353127,0.32550382,0.00236483,0.13449136,0.88793357,1.62981094,1.04687871,0.00000000
-5.77788894,2.86966868,0.74842155,0.31838926,0.00228393,0.13027085,0.85984626,1.62373242,1.02471651,0.00000000
-5.77188594,2.82192871,0.72124959,0.31064495,0.00219905,0.12563039,0.82951294,1.61367364,1.00069005,0.00000000
-5.76588294,2.76744247,0.69229141,0.30226631,0.00211002,0.12062169,0.79721517,1.59938068,0.97484316,0.00000000
-5.75987994,2.70624442,0.66184030,0.29326193,0.00201695,0.11530079,0.76325455,1.58064294,0.94723644,0.00000000
-5.75387694,2.63844693,0.63019910,0.28365341,0.00192022,0.10972641,0.72794475,1.55730202,0.91794723,0.00000000
-5.74787394,2.56424298,0.59767292,0.27347492,0.00182039,0.10395844,0.69160415,1.52926018,0.88706974,0.00000000
-5.74187094,2.48390826,0.56456267,0.26277235,0.00171817,0.09805660,0.65454909,1.49648784,0.85471533,0.00000000
-5.73586793,2.39780219,0.53115936,0.25160236,0.00161436,0.09207913,0.61708805,1.45902967,0.82101286,0.00000000
-5.72986493,2.30636759,0.49773936,0.24003108,0.00150984,0.08608175,0.57951664,1.41700893,0.78610880,0.00000000
-5.72386193,2.21012856,0.46456058,0.22813272,0.00140547,0.08011678,0.54211356,1.37062959,0.75016716,0.00000000
-5.71785893,2.10968647,0.43185957,0.21598805,0.00130212,0.07423242,0.50513753,1.32017613,0.71336905,0.00000000
-5.71185593,2.00571359,0.39984955,0.20368273,0.00120061,0.06847223,0.46882495,1.26601063,0.67591164,0.00000000
-5.70585293,1.89894460,0.36871912,0.19130567,0.00110168,0.06287480,0.43338847,1.20856742,0.63800661,0.00000000
-5.69984992,1.79016575,0.33863180,0.17894738,0.00100601,0.05747350,0.39901609,1.14834509,0.59987795,0.00000000
-5.69384692,1.68020206,0.30972611,0.16669823,0.00091417,0.05229648,0.36587091,1.08589632,0.56175909,0.00000000
-5.68784392,1.56990279,0.28211604,0.15464693,0.00082665,0.04736665,0.33409128,1.02181578,0.52388954,0.00000000
-5.68184092,1.46012553,0.25589202,0.14287899,0.00074383,0.04270191,0.30379135,0.95672649,0.48651091,0.00000000
