energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.36386875,0.41775620,0.00758421,0.13602857,0.00016975,0.05617367,0.10528865
-5.99399700,1.31004796,0.45206420,0.00880666,0.12544254,0.00015704,0.05309408,0.09860622
-5.98799400,1.26256303,0.48609687,0.01036463,0.11557406,0.00014531,0.05052497,0.09273215
-5.98199100,1.22271058,0.51937103,0.01232036,0.10661100,0.00013481,0.04858174,0.08785705
-5.97598799,1.19167517,0.55139288,0.01474251,0.09872499,0.00012576,0.04737847,0.08416543
-5.96998499,1.17053296,0.58167322,0.01770593,0.09207052,0.00011839,0.04702750,0.08183498
-5.96398199,1.16025858,0.60974341,0.02129115,0.08678452,0.00011287,0.04763893,0.08103590
-5.95797899,1.16173368,0.63517147,0.02558350,0.08298630,0.00010940,0.04932004,0.08193015
-5.95197599,1.17575499,0.65757760,0.03067195,0.08077756,0.00010811,0.05217459,0.08467061
-5.94597299,1.20304020,0.67664820,0.03664753,0.08024239,0.00010913,0.05630177,0.08939978
-5.93996998,1.24422985,0.69214787,0.04360135,0.08144713,0.00011257,0.06179488,0.09624814
-5.93396698,1.29988404,0.70392861,0.05162233,0.08443995,0.00011852,0.06873964,0.10533187
-5.92796398,1.37047294,0.71193567,0.06079445,0.08925003,0.00012704,0.07721215,0.11675012
-5.92196098,1.45636095,0.71620987,0.07119389,0.09588639,0.00013816,0.08727650,0.13058161
-5.91595798,1.55778459,0.71688598,0.08288580,0.10433636,0.00015189,0.09898216,0.14688087
-5.90995498,1.67482519,0.71418731,0.09592118,0.11456375,0.00016818,0.11236115,0.16567412
-5.90395198,1.80737773,0.70841669,0.11033362,0.12650686,0.00018698,0.12742518,0.18695503
-5.89794897,1.95511788,0.69994425,0.12613643,0.14007652,0.00020818,0.14416299,0.21068060
-5.89194597,2.11746953,0.68919254,0.14331998,0.15515426,0.00023164,0.16253790,0.23676743
-5.88594297,2.29357555,0.67661980,0.16184964,0.17159102,0.00025715,0.18248588,0.26508869
-5.87993997,2.48227441,0.66270200,0.18166445,0.18920636,0.00028448,0.20391433,0.29547207
-5.87393697,2.68208537,0.64791470,0.20267651,0.20778860,0.00031334,0.22670156,0.32769897
-5.86793397,2.89120438,0.63271545,0.22477139,0.22709597,0.00034341,0.25069736,0.36150523
-5.86193097,3.10751281,0.61752759,0.24780953,0.24685893,0.00037431,0.27572454,0.39658342
-5.85592796,3.32859998,0.60272610,0.27162859,0.26678367,0.00040564,0.30158153,0.43258700
-5.84992496,3.55180007,0.58862612,0.29604693,0.28655693,0.00043696,0.32804607,0.46913614
-5.84392196,3.77424304,0.57547456,0.32086784,0.30585203,0.00046782,0.35487984,0.50582527
-5.83791896,3.99291835,0.56344499,0.34588466,0.32433584,0.00049776,0.38183393,0.54223202
-5.83191596,4.20474927,0.55263595,0.37088637,0.34167677,0.00052633,0.40865490,0.57792744
-5.82591296,4.40667514,0.54307247,0.39566355,0.35755319,0.00055307,0.43509122,0.61248684
-5.81990995,4.59573813,0.53471069,0.42001438,0.37166216,0.00057757,0.46089981,0.64550118
