energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-4.60130065,2.14020296,0.63758500,0.00240721,0.92824473,1.37622184,0.39290493,0.00000000
-4.59529765,2.21360409,0.65093795,0.00240947,0.95888699,1.43002892,0.40733896,0.00000000
-4.58929465,2.28934617,0.66456163,0.00241330,0.99058250,1.48553393,0.42197095,0.00000000
-4.58329165,2.36749068,0.67842875,0.00241921,1.02334832,1.54272671,0.43691048,0.00000000
-4.57728864,2.44801283,0.69247513,0.00242760,1.05715645,1.60154281,0.45226826,0.00000000
-4.57128564,2.53078874,0.70660035,0.00243874,1.09193010,1.66185589,0.46814789,0.00000000
-4.56528264,2.61558643,0.72067031,0.00245278,1.12754178,1.72347256,0.48463758,0.00000000
-4.55927964,2.70206134,0.73452145,0.00246976,1.16381339,1.78613014,0.50180202,0.00000000
-4.55327664,2.78975631,0.74796648,0.00248957,1.20051820,1.84949737,0.51967501,0.00000000
-4.54727364,2.87810626,0.76080122,0.00251204,1.23738463,1.91317810,0.53825305,0.00000000
-4.54127064,2.96644739,0.77281220,0.00253685,1.27410159,1.97671786,0.55749054,0.00000000
-4.53526763,3.05403027,0.78378462,0.00256360,1.31032524,2.03961303,0.57729667,0.00000000
-4.52926463,3.14003662,0.79351020,0.00259183,1.34568669,2.10132208,0.59753422,0.00000000
-4.52326163,3.22359871,0.80179469,0.00262096,1.37980065,2.16127857,0.61802063,0.00000000
-4.51725863,3.30382079,0.80846442,0.00265039,1.41227437,2.21890509,0.63853107,0.00000000
-4.51125563,3.37980160,0.81337192,0.00267944,1.44271678,2.27362768,0.65880362,0.00000000
-4.50525263,3.45065702,0.81640010,0.00270739,1.47074754,2.32489006,0.67854629,0.00000000
-4.49924962,3.51554200,0.81746513,0.00273350,1.49600555,2.37216705,0.69744560,0.00000000
-4.49324662,3.57367101,0.81651768,0.00275698,1.51815680,2.41497667,0.71517640,0.00000000
-4.48724362,3.62433619,0.81354285,0.00277707,1.53690137,2.45289050,0.73141238,0.00000000
-4.48124062,3.66692276,0.80855870,0.00279299,1.55197926,2.48554192,0.74583692,0.00000000
-4.47523762,3.70092117,0.80161362,0.00280400,1.56317508,2.51263211,0.75815377,0.00000000
-4.46923462,3.72593581,0.79278275,0.00280940,1.57032135,2.53393377,0.76809703,0.00000000
-4.46323162,3.74169024,0.78216374,0.00280854,1.57330058,2.54929256,0.77544000,0.00000000
-4.45722861,3.74802908,0.76987212,0.00280089,1.57204590,2.55862654,0.78000266,0.00000000
-4.45122561,3.74491683,0.75603645,0.00278601,1.56654058,2.56192395,0.78165726,0.00000000
-4.44522261,3.73243415,0.74079376,0.00276358,1.55681633,2.55923977,0.78033206,0.00000000
-4.43921961,3.71077211,0.72428519,0.00273347,1.54295075,2.55069140,0.77601299,0.00000000
-4.43321661,3.68022506,0.70665232,0.00269569,1.52506395,2.53645413,0.76874319,0.00000000
-4.42721361,3.64118281,0.68803416,0.00265046,1.50331472,2.51675674,0.75862077,0.00000000
-4.42121061,3.59412264,0.66856501,0.00259820,1.47789649,2.49187775,0.74579474,0.00000000
-4.41520760,3.53960195,0.64837311,0.00253958,1.44903310,2.46214249,0.73045950,0.00000000
-4.40920460,3.47825159,0.62758018,0.00247544,1.41697494,2.42792141,0.71284827,0.00000000
-4.40320160,3.41077049,0.60630181,0.00240689,1.38199527,2.38962944,0.69322568,0.00000000
-4.39719860,3.33792152,0.58464845,0.00233525,1.34438714,2.34772656,0.67187997,0.00000000
-4.39119560,3.26052836,0.56272702,0.00226204,1.30446070,2.30271906,0.64911515,0.00000000
-4.38519260,3.17947332,0.54064286,0.00218898,1.26254107,2.25516136,0.62524333,0.00000000
-4.37918959,3.09569544,0.51850193,0.00211797,1.21896666,2.20565770,0.60057766,0.00000000
-4.37318659,3.01018826,0.49641296,0.00205105,1.17408765,2.15486321,0.57542585,0.00000000
