energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.47545344,0.07028416,0.00000000,0.10688031,1.34140255,0.47362906,0.51958395
-5.99399700,2.49389135,0.07262552,0.00000000,0.10477306,1.35872408,0.48291904,0.51604213
-5.98799400,2.51313584,0.07507918,0.00000000,0.10256301,1.37720359,0.49249681,0.51219190
-5.98199100,2.53313177,0.07761099,0.00000000,0.10027500,1.39678486,0.50230639,0.50809146
-5.97598799,2.55374514,0.08018279,0.00000000,0.09793443,1.41735107,0.51228063,0.50378962
-5.96998499,2.57476001,0.08275329,0.00000000,0.09556682,1.43872165,0.52234274,0.49932418
-5.96398199,2.59587989,0.08527902,0.00000000,0.09319748,1.46065211,0.53240851,0.49472109
-5.95797899,2.61673379,0.08771560,0.00000000,0.09085108,1.48283712,0.54238896,0.48999422
-5.95197599,2.63688683,0.09001901,0.00000000,0.08855132,1.50491680,0.55219348,0.48514604
-5.94597299,2.65585490,0.09214698,0.00000000,0.08632059,1.52648627,0.56173300,0.48016879
-5.93996998,2.67312286,0.09406038,0.00000000,0.08417969,1.54710792,0.57092341,0.47504638
-5.93396698,2.68816517,0.09572454,0.00000000,0.08214757,1.56632596,0.57968858,0.46975678
-5.92796398,2.70046794,0.09711042,0.00000000,0.08024116,1.58368272,0.58796312,0.46427462
-5.92196098,2.70955131,0.09819560,0.00000000,0.07847515,1.59873559,0.59569465,0.45857410
-5.91595798,2.71499077,0.09896503,0.00000000,0.07686193,1.61107412,0.60284528,0.45263173
-5.90995498,2.71643642,0.09941150,0.00000000,0.07541140,1.62033615,0.60939247,0.44642898
-5.90395198,2.71362916,0.09953585,0.00000000,0.07413102,1.62622226,0.61532911,0.43995454
-5.89794897,2.70641303,0.09934684,0.00000000,0.07302571,1.62850793,0.62066282,0.43320607
-5.89194597,2.69474316,0.09886079,0.00000000,0.07209788,1.62705265,0.62541471,0.42619148
-5.88594297,2.67868914,0.09810096,0.00000000,0.07134753,1.62180577,0.62961762,0.41892949
-5.87993997,2.65843394,0.09709674,0.00000000,0.07077230,1.61280889,0.63331407,0.41144973
-5.87393697,2.63426856,0.09588267,0.00000000,0.07036769,1.60019469,0.63655411,0.40379211
-5.86793397,2.60658314,0.09449744,0.00000000,0.07012725,1.58418253,0.63939330,0.39600587
-5.86193097,2.57585518,0.09298280,0.00000000,0.07004285,1.56507113,0.64189093,0.38814811
-5.85592796,2.54263567,0.09138257,0.00000000,0.07010508,1.54322879,0.64410877,0.38028211
-5.84992496,2.50753402,0.08974166,0.00000000,0.07030359,1.51908185,0.64611019,0.37247549
-5.84392196,2.47120257,0.08810524,0.00000000,0.07062758,1.49310173,0.64796001,0.36479832
-5.83791896,2.43432132,0.08651808,0.00000000,0.07106624,1.46579154,0.64972471,0.35732124
-5.83191596,2.39758337,0.08502398,0.00000000,0.07160919,1.43767236,0.65147312,0.35011383
-5.82591296,2.36168153,0.08366536,0.00000000,0.07224698,1.40927003,0.65327733,0.34324297
-5.81990995,2.32729595,0.08248296,0.00000000,0.07297144,1.38110256,0.65521362,0.33677156
-5.81390695,2.29508299,0.08151561,0.00000000,0.07377595,1.35366855,0.65736313,0.33075733
-5.80790395,2.26566493,0.08080010,0.00000000,0.07465567,1.32743669,0.65981213,0.32525180
-5.80190095,2.23962042,0.08037095,0.00000000,0.07560758,1.30283642,0.66265161,0.32029942
-5.79589795,2.21747512,0.08026029,0.00000000,0.07663033,1.28024974,0.66597600,0.31593671
-5.78989495,2.19969248,0.08049751,0.00000000,0.07772399,1.26000414,0.66988098,0.31219142
-5.78389195,2.18666440,0.08110897,0.00000000,0.07888963,1.24236655,0.67446037,0.30908179
-5.77788894,2.17870168,0.08211749,0.00000000,0.08012877,1.22753833,0.67980212,0.30661569
-5.77188594,2.17602457,0.08354188,0.00000000,0.08144264,1.21565128,0.68598364,0.30478982
-5.76588294,2.17875358,0.08539623,0.00000000,0.08283148,1.20676472,0.69306669,0.30358896
-5.75987994,2.18690124,0.08768934,0.00000000,0.08429373,1.20086379,0.70109220,0.30298531
-5.75387694,2.20036534,0.09042401,0.00000000,0.08582530,1.19785913,0.71007537,0.30293809
-5.74787394,2.21892451,0.09359652,0.00000000,0.08741886,1.19758817,0.72000148,0.30339332
-5.74187094,2.24223680,0.09719609,0.00000000,0.08906335,1.19981817,0.73082276,0.30428407
-5.73586793,2.26984202,0.10120467,0.00000000,0.09074359,1.20425119,0.74245669,0.30553116
-5.72986493,2.30116837,0.10559682,0.00000000,0.09244015,1.21053128,0.75478598,0.30704434
-5.72386193,2.33554366,0.11033997,0.00000000,0.09412952,1.21825353,0.76766042,0.30872406
