energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.46315308,0.01345596,0.23543997,0.00669851,0.04001388,0.15915419,0.23202640
-5.99399700,0.46581070,0.01444372,0.23655772,0.00622114,0.04036198,0.15529466,0.24068815
-5.98799400,0.47225793,0.01544948,0.23956432,0.00582456,0.04110212,0.15340363,0.25038326
-5.98199100,0.48152706,0.01645355,0.24398652,0.00549725,0.04213293,0.15307258,0.26071834
-5.97598799,0.49268497,0.01743550,0.24936542,0.00522789,0.04335847,0.15391770,0.27130117
-5.96998499,0.50484519,0.01837465,0.25526300,0.00500569,0.04468883,0.15558242,0.28174839
-5.96398199,0.51717978,0.01925061,0.26126863,0.00482054,0.04604093,0.15773992,0.29169341
-5.95797899,0.52893121,0.02004383,0.26700550,0.00466327,0.04733911,0.16009552,0.30079458
-5.95197599,0.53942355,0.02073619,0.27213674,0.00452576,0.04851590,0.16238895,0.30874301
-5.94597299,0.54807281,0.02131151,0.27637103,0.00440111,0.04951258,0.16439650,0.31527010
-5.93996998,0.55439592,0.02175607,0.27946761,0.00428369,0.05027974,0.16593286,0.32015415
-5.93396698,0.55801801,0.02205907,0.28124022,0.00416919,0.05077777,0.16685255,0.32322608
-5.92796398,0.55867754,0.02221292,0.28156010,0.00405468,0.05097707,0.16705097,0.32437367
-5.92196098,0.55622911,0.02221352,0.28035768,0.00393856,0.05085818,0.16646477,0.32354452
-5.91595798,0.55064356,0.02206038,0.27762297,0.00382055,0.05041165,0.16507167,0.32074721
-5.90995498,0.54200553,0.02175665,0.27340448,0.00370163,0.04963770,0.16288953,0.31605085
-5.90395198,0.53050818,0.02130895,0.26780690,0.00358394,0.04854566,0.15997474,0.30958292
-5.89794897,0.51644549,0.02072718,0.26098737,0.00347071,0.04715317,0.15641990,0.30152553
-5.89194597,0.50020225,0.02002417,0.25315057,0.00336615,0.04548517,0.15235091,0.29211018
-5.88594297,0.48224199,0.01921525,0.24454280,0.00327532,0.04357282,0.14792334,0.28161128
-5.87993997,0.46309343,0.01831775,0.23544518,0.00320403,0.04145220,0.14331843,0.27033863
