energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.66981769,-1.66981769,0.00521815,-0.00521815,0.03260702,-0.03260702,0.49696276,-0.49696276,0.20513033,-0.20513033,0.56345810,-0.56345810,0.37000029,-0.37000029,0.02676900,-0.02676900,0.86236321,-0.86236321
-5.99399700,1.63933350,-1.63933350,0.00599886,-0.00599886,0.03275472,-0.03275472,0.48670318,-0.48670318,0.19839340,-0.19839340,0.54772705,-0.54772705,0.36723204,-0.36723204,0.02702177,-0.02702177,0.84442123,-0.84442122
-5.98799400,1.60912231,-1.60912231,0.00687090,-0.00687090,0.03298272,-0.03298272,0.47637557,-0.47637556,0.19140753,-0.19140753,0.53189672,-0.53189672,0.36485144,-0.36485144,0.02733331,-0.02733331,0.82637667,-0.82637666
-5.98199100,1.58011639,-1.58011639,0.00783549,-0.00783549,0.03330387,-0.03330387,0.46619716,-0.46619716,0.18431831,-0.18431831,0.51624941,-0.51624941,0.36305806,-0.36305806,0.02772170,-0.02772170,0.80870169,-0.80870169
-5.97598799,1.55312054,-1.55312053,0.00889196,-0.00889196,0.03372637,-0.03372637,0.45634508,-0.45634508,0.17726154,-0.17726154,0.50102846,-0.50102846,0.36201826,-0.36201826,0.02820201,-0.02820201,0.79180685,-0.79180685
-5.96998499,1.52878291,-1.52878291,0.01003753,-0.01003753,0.03425322,-0.03425322,0.44695103,-0.44695103,0.17035914,-0.17035914,0.48643134,-0.48643134,0.36185799,-0.36185799,0.02878545,-0.02878545,0.77602695,-0.77602695
-5.96398199,1.50757248,-1.50757248,0.01126712,-0.01126712,0.03488201,-0.03488201,0.43809832,-0.43809832,0.16371563,-0.16371563,0.47260475,-0.47260475,0.36265710,-0.36265710,0.02947862,-0.02947862,0.76161032,-0.76161032
-5.95797899,1.48976405,-1.48976405,0.01257316,-0.01257316,0.03560481,-0.03560481,0.42982116,-0.42982116,0.15741559,-0.15741559,0.45964207,-0.45964206,0.36444542,-0.36444542,0.03028297,-0.03028297,0.74871182,-0.74871182
-5.95197599,1.47543148,-1.47543148,0.01394552,-0.01394552,0.03640836,-0.03640836,0.42210619,-0.42210619,0.15152183,-0.15152183,0.44758304,-0.44758304,0.36720079,-0.36720079,0.03119438,-0.03119438,0.73738995,-0.73738994
-5.94597299,1.46444927,-1.46444927,0.01537156,-0.01537156,0.03727446,-0.03727446,0.41489617,-0.41489617,0.14607458,-0.14607458,0.43641585,-0.43641584,0.37084915,-0.37084915,0.03220308,-0.03220308,0.72760804,-0.72760804
-5.93996998,1.45650233,-1.45650233,0.01683617,-0.01683617,0.03818056,-0.03818056,0.40809554,-0.40809554,0.14109157,-0.14109157,0.42608115,-0.42608115,0.37526666,-0.37526666,0.03329371,-0.03329371,0.71923943,-0.71923942
-5.93396698,1.45110347,-1.45110347,0.01832197,-0.01832197,0.03910051,-0.03910051,0.40157743,-0.40157743,0.13656904,-0.13656904,0.41647807,-0.41647807,0.38028385,-0.38028385,0.03444569,-0.03444569,0.71207625,-0.71207625
-5.92796398,1.44761761,-1.44761761,0.01980961,-0.01980961,0.04000548,-0.04000548,0.39519192,-0.39519192,0.13248347,-0.13248347,0.40747159,-0.40747159,0.38569169,-0.38569169,0.03563377,-0.03563377,0.70584148,-0.70584148
-5.92196098,1.44529161,-1.44529161,0.02127815,-0.02127815,0.04086497,-0.04086497,0.38877488,-0.38877488,0.12879411,-0.12879411,0.39890108,-0.39890108,0.39124910,-0.39124910,0.03682886,-0.03682886,0.70020343,-0.70020343
-5.91595798,1.44328841,-1.44328841,0.02270551,-0.02270551,0.04164791,-0.04164791,0.38215708,-0.38215708,0.12544599,-0.12544599,0.39058946,-0.39058946,0.39669198,-0.39669198,0.03799895,-0.03799895,0.69479220,-0.69479220
-5.90995498,1.44072368,-1.44072368,0.02406903,-0.02406903,0.04232376,-0.04232376,0.37517311,-0.37517311,0.12237337,-0.12237337,0.38235262,-0.38235262,0.40174293,-0.40174293,0.03911027,-0.03911027,0.68921719,-0.68921719
-5.90395198,1.43670359,-1.43670359,0.02534600,-0.02534600,0.04286359,-0.04286359,0.36766960,-0.36766960,0.11950339,-0.11950339,0.37400855,-0.37400855,0.40612172,-0.40612172,0.04012850,-0.04012850,0.68308477,-0.68308477
