energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.05396622,0.03880318,0.21428698,0.02310144,0.00023434,0.21861559,0.19096931
-5.99399700,1.02456653,0.03859824,0.21177345,0.02049902,0.00022907,0.21072363,0.18577963
-5.98799400,0.99731953,0.03838966,0.20983820,0.01828062,0.00022355,0.20338742,0.18105926
-5.98199100,0.97171233,0.03816163,0.20839055,0.01640818,0.00021769,0.19654037,0.17671057
-5.97598799,0.94727969,0.03789900,0.20733625,0.01484554,0.00021145,0.19011571,0.17263928
-5.96998499,0.92361910,0.03758780,0.20658141,0.01355931,0.00020479,0.18404934,0.16875739
-5.96398199,0.90040286,0.03721575,0.20603679,0.01251945,0.00019770,0.17828262,0.16498577
-5.95797899,0.87738709,0.03677274,0.20562205,0.01169961,0.00019021,0.17276482,0.16125652
-5.95197599,0.85441741,0.03625123,0.20526991,0.01107739,0.00018236,0.16745546,0.15751477
-5.94597299,0.83143135,0.03564660,0.20492994,0.01063438,0.00017420,0.16232616,0.15372018
-5.93996998,0.80845754,0.03495743,0.20457189,0.01035607,0.00016582,0.15736212,0.14984779
-5.93396698,0.78561188,0.03418562,0.20418829,0.01023164,0.00015732,0.15256307,0.14588848
-5.92796398,0.76309100,0.03333647,0.20379621,0.01025368,0.00014880,0.14794380,0.14184885
-5.92196098,0.74116339,0.03241865,0.20343818,0.01041779,0.00014038,0.14353402,0.13775065
-5.91595798,0.72015861,0.03144401,0.20318218,0.01072215,0.00013216,0.13937788,0.13362967
-5.90995498,0.70045521,0.03042738,0.20312061,0.01116705,0.00012426,0.13553290,0.12953434
-5.90395198,0.68246772,0.02938618,0.20336853,0.01175441,0.00011679,0.13206852,0.12552394
-5.89794897,0.66663350,0.02834006,0.20406105,0.01248729,0.00010986,0.12906444,0.12166657
-5.89194597,0.65339976,0.02731041,0.20535014,0.01336943,0.00010355,0.12660851,0.11803701
-5.88594297,0.64321143,0.02631993,0.20740093,0.01440482,0.00009795,0.12479470,0.11471444
-5.87993997,0.63650020,0.02539207,0.21038777,0.01559733,0.00009311,0.12372087,0.11178027
-5.87393697,0.63367507,0.02455060,0.21449009,0.01695040,0.00008909,0.12348663,0.10931605
-5.86793397,0.63511473,0.02381909,0.21988827,0.01846678,0.00008594,0.12419130,0.10740147
-5.86193097,0.64116176,0.02322048,0.22675975,0.02014837,0.00008366,0.12593205,0.10611272
-5.85592796,0.65211870,0.02277672,0.23527521,0.02199614,0.00008229,0.12880222,0.10552092
-5.84992496,0.66824583,0.02250840,0.24559517,0.02401010,0.00008182,0.13288976,0.10569091
-5.84392196,0.68976045,0.02243444,0.25786686,0.02618936,0.00008224,0.13827602,0.10668027
-5.83791896,0.71683723,0.02257183,0.27222136,0.02853220,0.00008356,0.14503451,0.10853844
-5.83191596,0.74960941,0.02293548,0.28877114,0.03103621,0.00008575,0.15322987,0.11130617
-5.82591296,0.78817015,0.02353798,0.30760764,0.03369841,0.00008880,0.16291684,0.11501500
-5.81990995,0.83257389,0.02438947,0.32879921,0.03651540,0.00009270,0.17413922,0.11968680
-5.81390695,0.88283710,0.02549755,0.35238903,0.03948344,0.00009744,0.18692878,0.12533348
-5.80790395,0.93893826,0.02686718,0.37839325,0.04259850,0.00010300,0.20130403,0.13195658
-5.80190095,1.00081670,0.02850057,0.40679910,0.04585619,0.00010938,0.21726887,0.13954694
-5.79589795,1.06837043,0.03039718,0.43756321,0.04925173,0.00011659,0.23481118,0.14808433
-5.78989495,1.14145277,0.03255363,0.47061009,0.05277969,0.00012462,0.25390133,0.15753710
-5.78389195,1.21986818,0.03496376,0.50583091,0.05643383,0.00013349,0.27449063,0.16786183
-5.77788894,1.30336752,0.03761862,0.54308272,0.06020671,0.00014320,0.29651006,0.17900312
-5.77188594,1.39164320,0.04050658,0.58218823,0.06408941,0.00015376,0.31986911,0.19089345
-5.76588294,1.48432493,0.04361345,0.62293638,0.06807121,0.00016518,0.34445513,0.20345322
-5.75987994,1.58097643,0.04692266,0.66508384,0.07213934,0.00017746,0.37013317,0.21659111
-5.75387694,1.68109395,0.05041555,0.70835749,0.07627873,0.00019058,0.39674660,0.23020466
-5.74787394,1.78410701,0.05407165,0.75245816,0.08047207,0.00020454,0.42411857,0.24418121
-5.74187094,1.88938200,0.05786907,0.79706550,0.08469986,0.00021930,0.45205434,0.25839924
-5.73586793,1.99622881,0.06178493,0.84184404,0.08894079,0.00023481,0.48034468,0.27273007
-5.72986493,2.10391086,0.06579585,0.88645034,0.09317225,0.00025103,0.50877026,0.28703987
-5.72386193,2.21165837,0.06987842,0.93054107,0.09737116,0.00026786,0.53710690,0.30119212
-5.71785893,2.31868464,0.07400971,0.97378168,0.10151489,0.00028521,0.56513160,0.31505022
-5.71185593,2.42420493,0.07816781,1.01585550,0.10558243,0.00030299,0.59262926,0.32848039
-5.70585293,2.52745724,0.08233224,1.05647276,0.10955567,0.00032105,0.61939954,0.34135462
-5.69984992,2.62772410,0.08648441,1.09537923,0.11342066,0.00033928,0.64526389,0.35355365
-5.69384692,2.72435443,0.09060795,1.13236401,0.11716894,0.00035753,0.67007218,0.36496985
-5.68784392,2.81678440,0.09468897,1.16726613,0.12079867,0.00037565,0.69370863,0.37550989
-5.68184092,2.90455619,0.09871622,1.19997955,0.12431557,0.00039350,0.71609680,0.38509705
-5.67583792,2.98733356,0.10268116,1.23045636,0.12773356,0.00041095,0.73720317,0.39367319
-5.66983492,3.06491345,0.10657792,1.25870785,0.13107505,0.00042785,0.75703918,0.40120018
-5.66383192,3.13723262,0.11040316,1.28480341,0.13437071,0.00044411,0.77566147,0.40766075
-5.65782891,3.20436899,0.11415581,1.30886724,0.13765887,0.00045962,0.79317022,0.41305887
-5.65182591,3.26653726,0.11783681,1.33107293,0.14098435,0.00047430,0.80970556,0.41741934
-5.64582291,3.32407887,0.12144871,1.35163618,0.14439690,0.00048811,0.82544221,0.42078695
-5.63981991,3.37744653,0.12499529,1.37080584,0.14794912,0.00050101,0.84058245,0.42322493
-5.63381691,3.42718393,0.12848115,1.38885371,0.15169417,0.00051299,0.85534766,0.42481294
-5.62781391,3.47390147,0.13191133,1.40606356,0.15568309,0.00052407,0.86996888,0.42564460
-5.62181091,3.51824888,0.13529093,1.42271972,0.15996214,0.00053428,0.88467677,0.42582456
-5.61580790,3.56088619,0.13862484,1.43909585,0.16457006,0.00054367,0.89969127,0.42546540
-5.60980490,3.60245412,0.14191755,1.45544417,0.16953556,0.00055230,0.91521160,0.42468422
-5.60380190,3.64354534,0.14517302,1.47198583,0.17487504,0.00056024,0.93140694,0.42359927
-5.59779890,3.68467788,0.14839465,1.48890251,0.18059080,0.00056754,0.94840825,0.42232653
-5.59179590,3.72627180,0.15158545,1.50632978,0.18666976,0.00057427,0.96630150,0.42097644
-5.58579290,3.76863035,0.15474819,1.52435232,0.19308285,0.00058048,0.98512268,0.41965090
