energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up
-6.00000000,2.87356489,0.59050547,1.80697975,0.00770808,0.16774860,0.26130466,0.03533242,0.64230087
-5.99399700,2.93805362,0.61220334,1.84198086,0.00790232,0.16603897,0.26763166,0.03678508,0.66223832
-5.98799400,3.00792887,0.63626052,1.87957513,0.00809937,0.16465409,0.27464292,0.03834585,0.68353289
-5.98199100,3.08201252,0.66260010,1.91898360,0.00829496,0.16359768,0.28221492,0.03998666,0.70586478
-5.97598799,3.15903958,0.69109739,1.95939094,0.00848466,0.16286768,0.29021679,0.04167722,0.72889110
-5.96998499,3.23767273,0.72157546,1.99995753,0.00866391,0.16245540,0.29851165,0.04338563,0.75224991
-5.96398199,3.31651861,0.75380206,2.03983200,0.00882815,0.16234482,0.30695794,0.04507899,0.77556470
-5.95797899,3.39414627,0.78748800,2.07816465,0.00897286,0.16251209,0.31541080,0.04672409,0.79844943
-5.95197599,3.46910812,0.82228764,2.11412160,0.00909374,0.16292534,0.32372368,0.04828806,0.82051411
-5.94597299,3.53996369,0.85780145,2.14689997,0.00918676,0.16354473,0.33175009,0.04973911,0.84137113
-5.93996998,3.60530598,0.89358088,2.17574378,0.00924832,0.16432293,0.33934563,0.05104724,0.86064211
-5.93396698,3.66379000,0.92913557,2.19996038,0.00927532,0.16520596,0.34637029,0.05218492,0.87796528
-5.92796398,3.71416293,0.96394256,2.21893711,0.00926530,0.16613425,0.35269096,0.05312773,0.89300318
-5.92196098,3.75529493,0.99745760,2.23215747,0.00921653,0.16704419,0.35818407,0.05385491,0.90545040
-5.91595798,3.78620950,1.02912780,2.23921653,0.00912809,0.16786977,0.36273843,0.05434989,0.91504126
-5.90995498,3.80611242,1.05840559,2.23983466,0.00899993,0.16854449,0.36625790,0.05460060,0.92155690
-5.90395198,3.81441776,1.08476310,2.23386921,0.00883288,0.16900338,0.36866409,0.05459980,0.92483172
-5.89794897,3.81077009,1.10770679,2.22132336,0.00862871,0.16918501,0.36989866,0.05434515,0.92475879
-5.89194597,3.79506167,1.12679157,2.20235182,0.00839005,0.16903356,0.36992542,0.05383923,0.92129398
-5.88594297,3.76744385,1.14163390,2.17726286,0.00812038,0.16850060,0.36873181,0.05308942,0.91445867
-5.87993997,3.72833200,1.15192356,2.14651648,0.00782393,0.16754690,0.36632993,0.05210763,0.90434091
-5.87393697,3.67840369,1.15743344,2.11071862,0.00750557,0.16614381,0.36275692,0.05090994,0.89109487
-5.86793397,3.61858979,1.15802723,2.07061145,0.00717070,0.16427443,0.35807466,0.04951615,0.87493873
-5.86193097,3.55005892,1.15366456,2.02705982,0.00682510,0.16193449,0.35236884,0.04794923,0.85615093
-5.85592796,3.47419539,1.14440359,1.98103437,0.00647474,0.15913275,0.34574738,0.04623479,0.83506490
-5.84992496,3.39257132,1.13040087,1.93359159,0.00612570,0.15589117,0.33833814,0.04440039,0.81206255
-5.84392196,3.30691374,1.11190852,1.88585135,0.00578391,0.15224462,0.33028624,0.04247499,0.78756657
-5.83791896,3.21906740,1.08926891,1.83897249,0.00545511,0.14824022,0.32175070,0.04048827,0.76203179
-5.83191596,3.13095447,1.06290687,1.79412712,0.00514461,0.14393641,0.31290088,0.03847008,0.73593586
-5.82591296,3.04453191,1.03331992,1.75247407,0.00485724,0.13940164,0.30391247,0.03644985,0.70976946
-5.81990995,2.96174773,1.00106658,1.71513234,0.00459724,0.13471277,0.29496343,0.03445611,0.68402626
-5.81390695,2.88449704,0.96675337,1.68315495,0.00436814,0.12995325,0.28622973,0.03251600,0.65919278
-5.80790395,2.81457889,0.93102066,1.65750383,0.00417276,0.12521112,0.27788121,0.03065488,0.63573852
-5.80190095,2.75365489,0.89452795,1.63902626,0.00401315,0.12057683,0.27007752,0.02889602,0.61410636
