energy_ev,total_up,Ag_p_up,Ag_d_up,B_p_up,B_d_up,S_s_up,S_p_up
-6.00000000,7.89947429,1.33041262,6.55273916,0.67473876,0.00000000,0.02821673,0.40217948
-5.99399700,7.76953166,1.29178472,6.44174937,0.65548973,0.00000000,0.02771844,0.41118142
-5.98799400,7.64916780,1.25750049,6.33786507,0.63642473,0.00000000,0.02718982,0.42075849
-5.98199100,7.53926193,1.22778238,6.24190701,0.61775779,0.00000000,0.02663682,0.43076018
-5.97598799,7.44052219,1.20279959,6.15455377,0.59969713,0.00000000,0.02606577,0.44103229
-5.96998499,7.35345732,1.18266372,6.07631599,0.58243904,0.00000000,0.02548321,0.45142051
-5.96398199,7.27835628,1.16742520,6.00751771,0.56616227,0.00000000,0.02489570,0.46177414
-5.95797899,7.21527761,1.15707096,5.94828630,0.55102310,0.00000000,0.02430963,0.47195004
-5.95197599,7.16404931,1.15152354,5.89855166,0.53715139,0.00000000,0.02373101,0.48181641
-5.94597299,7.12427949,1.15064166,5.85805493,0.52464756,0.00000000,0.02316533,0.49125656
-5.93996998,7.09537743,1.15422254,5.82636628,0.51358078,0.00000000,0.02261740,0.50017226
-5.93396698,7.07658363,1.16200571,5.80291078,0.50398818,0.00000000,0.02209126,0.50848666
-5.92796398,7.06700729,1.17367837,5.78700067,0.49587516,0.00000000,0.02159011,0.51614655
-5.92196098,7.06566878,1.18888202,5.77787220,0.48921666,0.00000000,0.02111623,0.52312394
-5.91595798,7.07154460,1.20722006,5.77472462,0.48395924,0.00000000,0.02067108,0.52941663
-5.90995498,7.08361194,1.22826616,5.77675895,0.48002380,0.00000000,0.02025525,0.53504796
-5.90395198,7.10089028,1.25157289,5.78321425,0.47730873,0.00000000,0.01986856,0.54006551
-5.89794897,7.12247736,1.27668035,5.79339901,0.47569345,0.00000000,0.01951017,0.54453879
-5.89194597,7.14757761,1.30312452,5.80671597,0.47504192,0.00000000,0.01917864,0.54855601
-5.88594297,7.17552122,1.33044490,5.82267882,0.47520623,0.00000000,0.01887211,0.55222010
-5.87993997,7.20577311,1.35819135,5.84092004,0.47602996,0.00000000,0.01858835,0.55564388
-5.87393697,7.23793147,1.38592994,5.86118950,0.47735136,0.00000000,0.01832491,0.55894487
