energy_ev,total_up,Cu_p_up,Cu_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.96755594,1.07041698,0.78084998,0.35697616,0.22343290,0.00054479,0.30114156,0.64354672,0.00000000
-5.99399700,2.08113629,1.14635250,0.82197827,0.37615164,0.23911749,0.00047402,0.31983627,0.67990721,0.00000000
-5.98799400,2.19986265,1.22476742,0.86490252,0.39663764,0.25518534,0.00041747,0.33913298,0.71835734,0.00000000
-5.98199100,2.32206796,1.30452652,0.90921877,0.41799806,0.27137172,0.00037370,0.35889671,0.75812172,0.00000000
-5.97598799,2.44596117,1.38443586,0.95447014,0.43977018,0.28740031,0.00034139,0.37897582,0.79838060,0.00000000
-5.96998499,2.56967514,1.46327804,1.00015714,0.46147669,0.30299076,0.00031931,0.39920657,0.83829144,0.00000000
-5.96398199,2.69132031,1.53985012,1.04575107,0.48263836,0.31786681,0.00030640,0.41941894,0.87701183,0.00000000
-5.95797899,2.80904280,1.61300295,1.09071018,0.50278705,0.33176448,0.00030175,0.43944350,0.91372294,0.00000000
-5.95197599,2.92108479,1.68168028,1.13449817,0.52147856,0.34444033,0.00030462,0.45911906,0.94765291,0.00000000
-5.94597299,3.02584494,1.74495615,1.17660429,0.53830498,0.35567918,0.00031445,0.47830077,0.97809926,0.00000000
-5.93996998,3.12193632,1.80206871,1.21656408,0.55290614,0.36530122,0.00033089,0.49686818,1.00444963,0.00000000
-5.93396698,3.20823905,1.85244892,1.25397980,0.56497969,0.37316804,0.00035375,0.51473285,1.02619992,0.00000000
-5.92796398,3.28394501,1.89574254,1.28853933,0.57428943,0.37918739,0.00038305,0.53184484,1.04296928,0.00000000
-5.92196098,3.34859214,1.93182415,1.32003238,0.58067169,0.38331649,0.00041900,0.54819777,1.05451112,0.00000000
-5.91595798,3.40208595,1.96080215,1.34836298,0.58403929,0.38556356,0.00046198,0.56383183,1.06071986,0.00000000
-5.90995498,3.44470687,1.98301422,1.37355717,0.58438314,0.38598769,0.00051253,0.57883447,1.06163291,0.00000000
-5.90395198,3.47710203,1.99901295,1.39576516,0.58177125,0.38469677,0.00057137,0.59333836,1.05742783,0.00000000
