energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.54386154,0.80846939,1.29694611,0.04554486,0.06816560,0.02241117,0.86476397,0.76814443,0.17708084
-5.99399700,2.55744280,0.80195090,1.30679781,0.04657418,0.06591643,0.02162453,0.86735064,0.76591874,0.17877779
-5.98799400,2.56698025,0.79487559,1.31399701,0.04748172,0.06366193,0.02085718,0.86887056,0.76339744,0.18029485
-5.98199100,2.57274619,0.78753122,1.31865669,0.04825130,0.06145101,0.02012597,0.86943273,0.76075393,0.18164834
-5.97598799,2.57505150,0.78019344,1.32092632,0.04886702,0.05932992,0.01944645,0.86915041,0.75814777,0.18285689
-5.96998499,2.57423962,0.77311956,1.32098887,0.04931384,0.05734110,0.01883249,0.86813911,0.75572115,0.18394090
-5.96398199,2.57068023,0.76654329,1.31905737,0.04957820,0.05552227,0.01829596,0.86651468,0.75359599,0.18492182
-5.95797899,2.56476267,0.76067028,1.31537062,0.04964855,0.05390557,0.01784645,0.86439152,0.75187150,0.18582156
-5.95197599,2.55688855,0.75567462,1.31018837,0.04951593,0.05251706,0.01749109,0.86188074,0.75062229,0.18666167
-5.94597299,2.54746371,0.75169604,1.30378568,0.04917445,0.05137626,0.01723436,0.85908812,0.74989686,0.18746261
-5.93996998,2.53688921,0.74883787,1.29644672,0.04862167,0.05049598,0.01707810,0.85611200,0.74971638,0.18824291
-5.93396698,2.52555176,0.74716566,1.28845798,0.04785889,0.04988226,0.01702143,0.85304085,0.75007384,0.18901825
-5.92796398,2.51381349,0.74670639,1.28010124,0.04689131,0.04953451,0.01706085,0.84995078,0.75093355,0.18980067
-5.92196098,2.50200169,0.74744835,1.27164641,0.04572798,0.04944574,0.01719036,0.84690294,0.75223097,0.19059766
-5.91595798,2.49039879,0.74934164,1.26334456,0.04438170,0.04960300,0.01740158,0.84394103,0.75387315,0.19141149
-5.90995498,2.47923320,0.75229929,1.25542138,0.04286871,0.04998787,0.01768402,0.84108898,0.75573967,0.19223852
-5.90395198,2.46867143,0.75619916,1.24807150,0.04120823,0.05057705,0.01802537,0.83834918,0.75768438,0.19306878
-5.89794897,2.45881216,0.76088649,1.24145363,0.03942195,0.05134307,0.01841176,0.83570117,0.75953780,0.19388575
-5.89194597,2.44968241,0.76617721,1.23568703,0.03753341,0.05225503,0.01882814,0.83310115,0.76111056,0.19466634
-5.88594297,2.44123636,0.77186206,1.23084916,0.03556726,0.05327941,0.01925868,0.83048235,0.76219754,0.19538121
-5.87993997,2.43335677,0.77771130,1.22697475,0.03354862,0.05438087,0.01968715,0.82775634,0.76258296,0.19599537
-5.87393697,2.42585906,0.78348010,1.22405600,0.03150231,0.05552311,0.02009733,0.82481524,0.76204614,0.19646899
-5.86793397,2.41849778,0.78891436,1.22204415,0.02945222,0.05666970,0.02047343,0.82153489,0.76036785,0.19675850
-5.86193097,2.41097520,0.79375690,1.22085182,0.02742071,0.05778484,0.02080050,0.81777870,0.75733701,0.19681799
-5.85592796,2.40295151,0.79775375,1.22035624,0.02542809,0.05883420,0.02106479,0.81340217,0.75275749,0.19660061
-5.84992496,2.39405600,0.80066034,1.22040291,0.02349223,0.05978549,0.02125411,0.80825782,0.74645473,0.19606017
-5.84392196,2.38389880,0.80224746,1.22080963,0.02162826,0.06060919,0.02135811,0.80220020,0.73828185,0.19515281
-5.83791896,2.37208252,0.80230662,1.22137048,0.01984844,0.06127900,0.02136853,0.79509097,0.72812504,0.19383848
-5.83191596,2.35821323,0.80065481,1.22185985,0.01816208,0.06177226,0.02127940,0.78680354,0.71590793,0.19208250
-5.82591296,2.34191054,0.79713835,1.22203628,0.01657564,0.06207029,0.02108710,0.77722732,0.70159469,0.18985676
-5.81990995,2.32281634,0.79163591,1.22164606,0.01509287,0.06215854,0.02079044,0.76627127,0.68519187,0.18714084
-5.81390695,2.30060217,0.78406037,1.22042678,0.01371508,0.06202673,0.02039063,0.75386667,0.66674869,0.18392278
-5.80790395,2.27497515,0.77435980,1.21811086,0.01244142,0.06166877,0.01989115,0.73996902,0.64635595,0.18019960
-5.80190095,2.24568255,0.76251743,1.21442917,0.01126925,0.06108270,0.01929760,0.72455915,0.62414356,0.17597746
-5.79589795,2.21251530,0.74855074,1.20911489,0.01019446,0.06027047,0.01861746,0.70764342,0.60027679,0.17127161
-5.78989495,2.17531057,0.73250976,1.20190783,0.00921187,0.05923764,0.01785984,0.68925322,0.57495152,0.16610595
-5.78389195,2.13395377,0.71447476,1.19255925,0.00831557,0.05799310,0.01703516,0.66944383,0.54838857,0.16051242
-5.77788894,2.08838010,0.69455342,1.18083715,0.00749922,0.05654867,0.01615484,0.64829263,0.52082757,0.15453012
-5.77188594,2.03857599,0.67287771,1.16653215,0.00675634,0.05491873,0.01523091,0.62589709,0.49252045,0.14820428
-5.76588294,1.98458041,0.64960052,1.14946369,0.00608054,0.05311977,0.01427572,0.60237230,0.46372493,0.14158513
-5.75987994,1.92648607,0.62489222,1.12948639,0.00546569,0.05117003,0.01330159,0.57784844,0.43469818,0.13472660
-5.75387694,1.86444050,0.59893721,1.10649637,0.00490606,0.04908904,0.01232050,0.55246815,0.40569095,0.12768512
-5.74787394,1.79864677,0.57193061,1.08043705,0.00439641,0.04689727,0.01134383,0.52638389,0.37694229,0.12051831
-5.74187094,1.72936367,0.54407499,1.05130418,0.00393204,0.04461572,0.01038212,0.49975534,0.34867498,0.11328382
-5.73586793,1.65690502,0.51557736,1.01914971,0.00350876,0.04226562,0.00944488,0.47274692,0.32109190,0.10603821
-5.72986493,1.58163791,0.48664618,0.98408411,0.00312294,0.03986806,0.00854043,0.44552540,0.29437311,0.09883588
-5.72386193,1.50397958,0.45748874,0.94627699,0.00277140,0.03744371,0.00767584,0.41825757,0.26867399,0.09172828
-5.71785893,1.42439283,0.42830845,0.90595565,0.00245138,0.03501258,0.00685686,0.39110806,0.24412415,0.08476308
-5.71185593,1.34337970,0.39930248,0.86340170,0.00216049,0.03259373,0.00608790,0.36423725,0.22082710,0.07798359
-5.70585293,1.26147377,0.37065943,0.81894557,0.00189664,0.03020508,0.00537208,0.33779922,0.19886075,0.07142832
-5.69984992,1.17923082,0.34255719,0.77295922,0.00165796,0.02786323,0.00471129,0.31193990,0.17827838,0.06513064
-5.69384692,1.09721837,0.31516094,0.72584722,0.00144276,0.02558330,0.00410629,0.28679521,0.15911019,0.05911859
-5.68784392,1.01600441,0.28862138,0.67803659,0.00124949,0.02337878,0.00355681,0.26248950,0.14136521,0.05341482
-5.68184092,0.93614555,0.26307311,0.62996583,0.00107666,0.02126144,0.00306170,0.23913399,0.12503351,0.04803667
-5.67583792,0.85817536,0.23863334,0.58207361,0.00092286,0.01924129,0.00261906,0.21682555,0.11008852,0.04299626
-5.66983492,0.78259305,0.21540084,0.53478761,0.00078672,0.01732648,0.00222637,0.19564568,0.09648948,0.03830079
-5.66383192,0.70985327,0.19345527,0.48851397,0.00066688,0.01552334,0.00188065,0.17565975,0.08418390,0.03395281
-5.65782891,0.64035725,0.17285681,0.44362780,0.00056202,0.01383641,0.00157857,0.15691663,0.07310988,0.02995060
