energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
0.73536768,1.60668986,0.02977793,0.55553194,0.79167445,0.03696995,1.04561755,0.00000000,0.57804515,0.00000000
0.74137069,1.58657426,0.03098697,0.53322601,0.77910956,0.03514504,1.05014396,0.00000000,0.56628669,0.00000000
0.74737369,1.55876737,0.03201354,0.50879705,0.76293890,0.03319405,1.04917889,0.00000000,0.55194627,0.00000000
0.75337669,1.52367960,0.03283660,0.48265757,0.74340013,0.03115001,1.04267375,0.00000000,0.53525064,0.00000000
0.75937969,1.48181098,0.03343895,0.45522457,0.72076779,0.02904551,1.03066400,0.00000000,0.51644988,0.00000000
0.76538269,1.43374085,0.03380781,0.42690894,0.69534791,0.02691200,1.01327100,0.00000000,0.49581175,0.00000000
0.77138569,1.38011651,0.03393528,0.39810600,0.66747219,0.02477894,0.99070155,0.00000000,0.47361605,0.00000000
0.77738869,1.32164085,0.03381861,0.36918731,0.63749216,0.02267329,0.96324518,0.00000000,0.45014922,0.00000000
0.78339170,1.25905927,0.03346031,0.34049400,0.60577311,0.02061902,0.93126901,0.00000000,0.42569919,0.00000000
0.78939470,1.19314617,0.03286807,0.31233170,0.57268808,0.01863678,0.89521032,0.00000000,0.40055062,0.00000000
0.79539770,1.12469101,0.03205445,0.28496711,0.53861185,0.01674372,0.85556700,0.00000000,0.37498054,0.00000000
0.80140070,1.05448444,0.03103648,0.25862604,0.50391498,0.01495345,0.81288609,0.00000000,0.34925440,0.00000000
0.80740370,0.98330470,0.02983503,0.23349302,0.46895817,0.01327611,0.76775093,0.00000000,0.32362266,0.00000000
0.81340670,0.91190448,0.02847413,0.20971204,0.43408679,0.01171854,0.72076724,0.00000000,0.29831779,0.00000000
0.81940970,0.84099870,0.02698016,0.18738842,0.39962589,0.01028453,0.67254873,0.00000000,0.27355182,0.00000000
0.82541271,0.77125343,0.02538098,0.16659159,0.36587566,0.00897516,0.62370279,0.00000000,0.24951437,0.00000000
0.83141571,0.70327620,0.02370513,0.14735835,0.33310759,0.00778913,0.57481666,0.00000000,0.22637119,0.00000000
0.83741871,0.63760812,0.02198094,0.12969677,0.30156125,0.00672318,0.52644482,0.00000000,0.20426323,0.00000000
0.84342171,0.57471772,0.02023579,0.11359013,0.27144199,0.00577245,0.47909781,0.00000000,0.18330623,0.00000000
0.84942471,0.51499702,0.01849542,0.09900111,0.24291941,0.00493087,0.43323302,0.00000000,0.16359083,0.00000000
0.85542771,0.45875958,0.01678334,0.08587578,0.21612680,0.00419150,0.38924760,0.00000000,0.14518314,0.00000000
0.86143072,0.40624072,0.01512038,0.07414748,0.19116148,0.00354690,0.34747367,0.00000000,0.12812582,0.00000000
0.86743372,0.35759976,0.01352438,0.06374052,0.16808599,0.00298939,0.30817594,0.00000000,0.11243955,0.00000000
0.87343672,0.31292408,0.01201000,0.05457339,0.14693010,0.00251132,0.27155152,0.00000000,0.09812498,0.00000000
0.87943972,0.27223488,0.01058864,0.04656183,0.12769358,0.00210527,0.23773191,0.00000000,0.08516489,0.00000000
0.88544272,0.23549426,0.00926849,0.03962143,0.11034947,0.00176423,0.20678684,0.00000000,0.07352669,0.00000000
0.89144572,0.20261338,0.00805475,0.03366986,0.09484786,0.00148174,0.17872965,0.00000000,0.06316509,0.00000000
0.89744872,0.17346126,0.00694977,0.02862885,0.08111998,0.00125200,0.15352384,0.00000000,0.05402486,0.00000000
0.90345173,0.14787401,0.00595346,0.02442575,0.06908240,0.00106993,0.13109051,0.00000000,0.04604367,0.00000000
0.90945473,0.12566408,0.00506354,0.02099482,0.05864121,0.00093121,0.11131620,0.00000000,0.03915479,0.00000000
0.91545773,0.10662915,0.00427599,0.01827818,0.04969611,0.00083234,0.09406091,0.00000000,0.03328980,0.00000000
0.92146073,0.09056063,0.00358537,0.01622654,0.04214418,0.00077059,0.07916587,0.00000000,0.02838103,0.00000000
0.92746373,0.07725125,0.00298522,0.01479961,0.03588330,0.00074405,0.06646086,0.00000000,0.02436380,0.00000000
0.93346673,0.06650183,0.00246836,0.01396628,0.03081512,0.00075153,0.05577094,0.00000000,0.02117844,0.00000000
0.93946973,0.05812685,0.00202728,0.01370453,0.02684749,0.00079256,0.04692225,0.00000000,0.01877190,0.00000000
0.94547274,0.05195905,0.00165432,0.01400113,0.02389639,0.00086733,0.03974699,0.00000000,0.01709919,0.00000000
0.95147574,0.04785273,0.00134196,0.01485108,0.02188729,0.00097661,0.03408742,0.00000000,0.01612436,0.00000000
0.95747874,0.04568593,0.00108297,0.01625681,0.02075595,0.00112169,0.02979888,0.00000000,0.01582128,0.00000000
0.96348174,0.04536154,0.00087060,0.01822714,0.02044869,0.00130423,0.02675193,0.00000000,0.01617396,0.00000000
0.96948474,0.04680727,0.00069862,0.02077608,0.02092224,0.00152622,0.02483365,0.00000000,0.01717671,0.00000000
0.97548774,0.04997474,0.00056144,0.02392135,0.02214306,0.00178982,0.02394813,0.00000000,0.01883381,0.00000000
0.98149075,0.05483761,0.00045411,0.02768273,0.02408632,0.00209724,0.02401634,0.00000000,0.02115909,0.00000000
0.98749375,0.06138898,0.00037235,0.03208028,0.02673457,0.00245060,0.02497545,0.00000000,0.02417506,0.00000000
0.99349675,0.06963815,0.00031252,0.03713242,0.03007612,0.00285179,0.02677762,0.00000000,0.02791184,0.00000000
0.99949975,0.07960671,0.00027161,0.04285390,0.03410323,0.00330231,0.02938855,0.00000000,0.03240583,0.00000000
1.00550275,0.09132433,0.00024718,0.04925380,0.03881013,0.00380311,0.03278559,0.00000000,0.03769810,0.00000000
1.01150575,0.10482401,0.00023733,0.05633348,0.04419108,0.00435447,0.03695580,0.00000000,0.04383253,0.00000000
1.01750875,0.12013729,0.00024060,0.06408474,0.05023828,0.00495581,0.04189371,0.00000000,0.05085375,0.00000000
1.02351176,0.13728914,0.00025598,0.07248806,0.05693995,0.00560564,0.04759911,0.00000000,0.05880481,0.00000000
1.02951476,0.15629291,0.00028277,0.08151113,0.06427844,0.00630139,0.05407466,0.00000000,0.06772473,0.00000000
1.03551776,0.17714543,0.00032059,0.09110770,0.07222859,0.00703935,0.06132361,0.00000000,0.07764582,0.00000000
1.04152076,0.19982214,0.00036928,0.10121680,0.08075625,0.00781464,0.06934741,0.00000000,0.08859096,0.00000000
1.04752376,0.22427281,0.00042885,0.11176242,0.08981712,0.00862119,0.07814341,0.00000000,0.10057079,0.00000000
1.05352676,0.25041751,0.00049944,0.12265365,0.09935587,0.00945177,0.08770266,0.00000000,0.11358094,0.00000000
1.05952976,0.27814341,0.00058126,0.13378540,0.10930568,0.01029805,0.09800779,0.00000000,0.12759941,0.00000000
1.06553277,0.30730222,0.00067456,0.14503958,0.11958807,0.01115074,0.10903111,0.00000000,0.14258412,0.00000000
