energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Y_p_up,Y_d_up
-6.00000000,3.06379090,0.04456815,0.05155957,0.06772156,1.95877293,1.16760761,0.16829421,0.57533314,0.20789970
-5.99399700,2.95059293,0.04525223,0.05059482,0.06376258,1.88363306,1.13226893,0.16512370,0.55614338,0.19739493
-5.98799400,2.84038250,0.04584230,0.04948529,0.05996986,1.81081320,1.09553312,0.16168656,0.53836386,0.18722007
-5.98199100,2.73360229,0.04632590,0.04824138,0.05634913,1.74061921,1.05735675,0.15804850,0.52201229,0.17740406
-5.97598799,2.63076619,0.04669264,0.04687770,0.05290320,1.67339584,1.01777951,0.15429265,0.50710148,0.16797628
-5.96998499,2.53246896,0.04693458,0.04541280,0.04963275,1.60953326,0.97693003,0.15051870,0.49364417,0.15896751
-5.96398199,2.43939048,0.04704665,0.04386883,0.04653713,1.54947007,0.93502845,0.14684161,0.48165738,0.15041044
-5.95797899,2.35229422,0.04702699,0.04227098,0.04361511,1.49369254,0.89238547,0.14339007,0.47116592,0.14233993
-5.95197599,2.27201943,0.04687740,0.04064687,0.04086556,1.44272989,0.84939785,0.14030465,0.46220502,0.13479279
-5.94597299,2.19946754,0.04660367,0.03902584,0.03828795,1.39714569,0.80654054,0.13773562,0.45482168,0.12780732
-5.93996998,2.13558305,0.04621584,0.03743815,0.03588286,1.35752587,0.76435570,0.13584055,0.44907491,0.12142242
-5.93396698,2.08132994,0.04572840,0.03591418,0.03365221,1.32446369,0.72343902,0.13478164,0.44503467,0.11567654
-5.92796398,2.03766433,0.04516039,0.03448363,0.03159947,1.29854246,0.68442386,0.13472276,0.44277965,0.11060642
-5.92196098,2.00550472,0.04453529,0.03317476,0.02972969,1.28031664,0.64796379,0.13582626,0.44239402,0.10624571
-5.91595798,1.98570082,0.04388082,0.03201368,0.02804938,1.27029215,0.61471400,0.13824954,0.44396317,0.10262358
-5.90995498,1.97900202,0.04322852,0.03102369,0.02656632,1.26890655,0.58531224,0.14214133,0.44756888,0.09976343
-5.90395198,1.98602665,0.04261314,0.03022480,0.02528921,1.27650980,0.56035980,0.14763780,0.45328376,0.09768161
-5.89794897,2.00723281,0.04207187,0.02963324,0.02422728,1.29334615,0.54040294,0.15485833,0.46116560,0.09638642
-5.89194597,2.04289162,0.04164342,0.02926114,0.02338978,1.31953771,0.52591536,0.16390129,0.47125142,0.09587718
-5.88594297,2.09306347,0.04136687,0.02911633,0.02278544,1.35507001,0.51728191,0.17483958,0.48355177,0.09614361
-5.87993997,2.15757785,0.04128048,0.02920221,0.02242185,1.39978006,0.51478417,0.18771623,0.49804531,0.09716541
-5.87393697,2.23601724,0.04142034,0.02951766,0.02230487,1.45334695,0.51858795,0.20254015,0.51467386,0.09891201
-5.86793397,2.32770541,0.04181904,0.03005715,0.02243802,1.51528543,0.52873324,0.21928213,0.53333825,0.10134253
-5.86193097,2.43170059,0.04250424,0.03081079,0.02282187,1.58494257,0.54512684,0.23787137,0.55389493,0.10440605
-5.85592796,2.54679383,0.04349743,0.03176455,0.02345353,1.66149775,0.56753795,0.25819265,0.57615374,0.10804185
-5.84992496,2.67151308,0.04481270,0.03290047,0.02432617,1.74396621,0.59559695,0.28008447,0.59987678,0.11218000
-5.84392196,2.80413325,0.04645568,0.03419691,0.02542863,1.83120638,0.62879770,0.30333825,0.62477862,0.11674199
-5.83791896,2.94269273,0.04842277,0.03562892,0.02674521,1.92193117,0.66650348,0.32769890,0.65052805,0.12164156
-5.83191596,3.08501666,0.05070051,0.03716856,0.02825552,2.01472350,0.70795670,0.35286688,0.67675119,0.12678566
-5.82591296,3.22874713,0.05326540,0.03878538,0.02993450,2.10805596,0.75229231,0.37850181,0.70303632,0.13207557
-5.81990995,3.37138037,0.05608388,0.04044679,0.03175265,2.20031491,0.79855502,0.40422784,0.72894018,0.13740819
-5.81390695,3.51031067,0.05911283,0.04211871,0.03367634,2.28982857,0.84571977,0.42964059,0.75399591,0.14267749
-5.80790395,3.64288046,0.06230028,0.04376603,0.03566841,2.37489893,0.89271532,0.45431563,0.77772225,0.14777611
-5.80190095,3.76643578,0.06558652,0.04535329,0.03768880,2.45383695,0.93845015,0.47781834,0.79963405,0.15259718
-5.79589795,3.87838582,0.06890556,0.04684537,0.03969541,2.52500014,0.98184019,0.49971478,0.81925376,0.15703617
-5.78989495,3.97626493,0.07218679,0.04820816,0.04164506,2.58683165,1.02183724,0.51958329,0.83612344,0.16099298
-5.78389195,4.05779524,0.07535691,0.04940931,0.04349452,2.63789962,1.05745733,0.53702636,0.84981715,0.16437398
-5.77788894,4.12094776,0.07834202,0.05041897,0.04520164,2.67693542,1.08780789,0.55168231,0.85995306,0.16709413
-5.77188594,4.16399944,0.08106981,0.05121052,0.04672644,2.70286941,1.11211272,0.56323631,0.86620491,0.16907905
-5.76588294,4.18558417,0.08347169,0.05176122,0.04803225,2.71486258,1.12973371,0.57143025,0.86831244,0.17026685
-5.75987994,4.18473513,0.08548491,0.05205283,0.04908669,2.71233286,1.14018850,0.57607099,0.86609014,0.17060991
-5.75387694,4.16091675,0.08705453,0.05207213,0.04986263,2.69497465,1.14316326,0.57703666,0.85943407,0.17007620
-5.74787394,4.11404443,0.08813505,0.05181132,0.05033893,2.66277064,1.13852015,0.57428068,0.84832640,0.16865034
