energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,2.04168503,0.02884424,0.05547095,0.35539737,0.59123753,0.04261466,0.73112746,0.00000000
-5.99399700,1.91360760,0.02668688,0.05188467,0.33521184,0.55560625,0.04226160,0.68582403,0.00000000
-5.98799400,1.78936044,0.02476787,0.04866899,0.31721894,0.52045288,0.04278188,0.64211709,0.00000000
-5.98199100,1.67101098,0.02308779,0.04588136,0.30177286,0.48640736,0.04427886,0.60074836,0.00000000
-5.97598799,1.56065158,0.02165165,0.04358136,0.28926541,0.45410182,0.04687470,0.56247854,0.00000000
-5.96998499,1.46036413,0.02046825,0.04182988,0.28011839,0.42415921,0.05070932,0.52807455,0.00000000
-5.96398199,1.37218720,0.01954951,0.04068820,0.27477510,0.39718294,0.05593873,0.49829755,0.00000000
-5.95797899,1.29808592,0.01890957,0.04021691,0.27369085,0.37374762,0.06273243,0.47389167,0.00000000
-5.95197599,1.23992423,0.01856394,0.04047484,0.27732269,0.35439080,0.07127010,0.45557337,0.00000000
-5.94597299,1.19943909,0.01852857,0.04151771,0.28611821,0.33960563,0.08173735,0.44402129,0.00000000
-5.93996998,1.17821586,0.01881892,0.04339673,0.30050335,0.32983429,0.09432057,0.43986623,0.00000000
-5.93396698,1.17766415,0.01944901,0.04615697,0.32086932,0.32546188,0.10920090,0.44368111,0.00000000
-5.92796398,1.19899322,0.02043048,0.04983561,0.34755861,0.32681058,0.12654738,0.45597051,0.00000000
-5.92196098,1.24318642,0.02177168,0.05446008,0.38085028,0.33413387,0.14650940,0.47715955,0.00000000
-5.91595798,1.31097428,0.02347684,0.06004604,0.42094475,0.34761072,0.16920857,0.50758211,0.00000000
-5.90995498,1.40280625,0.02554522,0.06659541,0.46794849,0.36733958,0.19473026,0.54746832,0.00000000
-5.90395198,1.51882150,0.02797042,0.07409443,0.52185910,0.39333237,0.22311517,0.59693143,0.00000000
-5.89794897,1.65881958,0.03073976,0.08251189,0.58255136,0.42550848,0.25435115,0.65595466,0.00000000
-5.89194597,1.82223236,0.03383378,0.09179757,0.64976503,0.46368922,0.28836574,0.72437818,0.00000000
-5.88594297,2.00809880,0.03722595,0.10188117,0.72309509,0.50759293,0.32501987,0.80188730,0.00000000
-5.87993997,2.21504455,0.04088251,0.11267161,0.80198525,0.55683143,0.36410299,0.88800235,0.00000000
-5.87393697,2.44126857,0.04476260,0.12405705,0.88572544,0.61090804,0.40533023,0.98207133,0.00000000
-5.86793397,2.68453884,0.04881857,0.13590556,0.97345403,0.66921804,0.44834186,1.08326610,0.00000000
-5.86193097,2.94219923,0.05299659,0.14806652,1.06416514,0.73105171,0.49270522,1.19058297,0.00000000
-5.85592796,3.21118913,0.05723743,0.16037288,1.15672152,0.79560061,0.53791958,1.30284847,0.00000000
-5.84992496,3.48807720,0.06147760,0.17264412,1.24987295,0.86196731,0.58342368,1.41873074,0.00000000
-5.84392196,3.76910963,0.06565065,0.18469009,1.34227996,0.92917868,0.62860620,1.53675687,0.00000000
-5.83791896,4.05027294,0.06968862,0.19631531,1.43254248,0.99620272,0.67281870,1.65533624,0.00000000
-5.83191596,4.32737028,0.07352376,0.20732396,1.51923243,1.06196872,0.71539077,1.77278944,0.00000000
-5.82591296,4.59610954,0.07709021,0.21752513,1.60092946,1.12539017,0.75564705,1.88738233,0.00000000
-5.81990995,4.85220083,0.08032578,0.22673821,1.67625833,1.18538999,0.79292520,1.99736406,0.00000000
