energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,3.42929862,-4.03293252,1.93111803,-2.08252264,0.79587716,-0.92308274,0.00440145,-0.00570360,0.69303401,-0.85850013,0.00951435,-0.01049304,1.33870090,-1.59530158,0.68197509,-0.82465666,0.10819035,-0.12207899
-5.99399700,3.34524965,-4.06332866,1.86888761,-2.12046831,0.78737311,-0.92810755,0.00409116,-0.00540508,0.68078894,-0.87162366,0.00936487,-0.01030190,1.29887739,-1.60102062,0.65837101,-0.82535323,0.10541182,-0.12283947
-5.98799400,3.25082063,-4.07025069,1.79768923,-2.14516039,0.77706176,-0.92765808,0.00381127,-0.00511071,0.66578983,-0.87937647,0.00922960,-0.01009172,1.25552442,-1.59784250,0.63293280,-0.82156015,0.10231003,-0.12295257
-5.98199100,3.14735137,-4.05330680,1.71878461,-2.15603723,0.76496885,-0.92172635,0.00356411,-0.00482068,0.64822883,-0.88159799,0.00911352,-0.00986087,1.20931262,-1.58568174,0.60603676,-0.81326608,0.09894362,-0.12240165
-5.97598799,3.03634300,-4.01265603,1.63356117,-2.15282857,0.75116223,-0.91044052,0.00335218,-0.00453567,0.62835760,-0.87825949,0.00902205,-0.00960900,1.16094644,-1.56465296,0.57807057,-0.80055309,0.09537714,-0.12118600
-5.96998499,2.91942371,-3.94900846,1.54349383,-2.13556642,0.73575204,-0.89406206,0.00317804,-0.00425673,0.60648033,-0.86946579,0.00896099,-0.00933715,1.11114914,-1.53506983,0.54942510,-0.78359562,0.09167965,-0.11932111
-5.96398199,2.79831332,-3.86360700,1.45010588,-2.10458577,0.71889005,-0.87297809,0.00304433,-0.00398531,0.58294572,-0.85545232,0.00893641,-0.00904769,1.06064843,-1.49743770,0.52048683,-0.76265671,0.08792323,-0.11683854
-5.95797899,2.67478796,-3.75819142,1.35493050,-2.06051486,0.70076824,-0.84768946,0.00295370,-0.00372322,0.55813795,-0.83657734,0.00895457,-0.00874426,1.01016323,-1.45244038,0.49163101,-0.73808145,0.08418145,-0.11378513
-5.95197599,2.55064572,-3.63494631,1.25947419,-2.00425561,0.68161661,-0.81879489,0.00290878,-0.00347251,0.53246725,-0.81330989,0.00902176,-0.00843175,0.96039183,-1.40092146,0.46321578,-0.71028809,0.08052791,-0.11022186
-5.94597299,2.42767420,-3.49643509,1.16518346,-1.93695485,0.66170013,-0.78697195,0.00291213,-0.00323554,0.50636018,-0.78621388,0.00914417,-0.00811617,0.91200158,-1.34386104,0.43557740,-0.67975701,0.07703484,-0.10622228
