energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-2.42221111,2.18456529,0.03466285,0.24432708,0.56912650,0.07238802,1.60607914,1.34699807,0.34808399,0.00000000
-2.41620810,2.29190194,0.03573618,0.26183054,0.60075068,0.07630244,1.66521927,1.41181093,0.35890837,0.00000000
-2.41020510,2.39819015,0.03668049,0.27915536,0.63178158,0.08016284,1.72108228,1.47625430,0.36997925,0.00000000
-2.40420210,2.50192939,0.03747773,0.29613603,0.66186227,0.08391939,1.77289080,1.53936720,0.38099733,0.00000000
-2.39819910,2.60169684,0.03811344,0.31261405,0.69066165,0.08752411,1.81998123,1.60023737,0.39167137,0.00000000
-2.39219610,2.69618407,0.03857712,0.32844154,0.71788296,0.09093205,1.86182141,1.65802499,0.40172592,0.00000000
-2.38619310,2.78422891,0.03886253,0.34348448,0.74327099,0.09410230,1.89802281,1.71198361,0.41090835,0.00000000
-2.38019010,2.86484132,0.03896786,0.35762529,0.76661728,0.09699890,1.92834647,1.76147748,0.41899502,0.00000000
-2.37418709,2.93722218,0.03889573,0.37076460,0.78776341,0.09959157,1.95270251,1.80599434,0.42579642,0.00000000
-2.36818409,3.00077430,0.03865309,0.38282231,0.80660193,0.10185617,1.97114325,1.84515351,0.43116110,0.00000000
-2.36218109,3.05510561,0.03825092,0.39373770,0.82307516,0.10377504,1.98385036,1.87870879,0.43497847,0.00000000
-2.35617809,3.10002461,0.03770388,0.40346872,0.83717180,0.10533701,1.99111681,1.90654646,0.43718026,0.00000000
-2.35017509,3.13552866,0.03702980,0.41199062,0.84892173,0.10653731,1.99332480,1.92867850,0.43774077,0.00000000
-2.34417209,3.16178630,0.03624911,0.41929388,0.85838937,0.10737716,1.99092077,1.94523172,0.43667596,0.00000000
-2.33816908,3.17911463,0.03538415,0.42538177,0.86566589,0.10786335,1.98438914,1.95643351,0.43404137,0.00000000
-2.33216608,3.18795354,0.03445853,0.43026770,0.87086096,0.10800752,1.97422616,1.96259512,0.42992913,0.00000000
-2.32616308,3.18883819,0.03349638,0.43397254,0.87409451,0.10782553,1.96091549,1.96409356,0.42446407,0.00000000
-2.32016008,3.18237160,0.03252168,0.43652221,0.87548895,0.10733663,1.94490674,1.96135307,0.41779922,0.00000000
-2.31415708,3.16919864,0.03155760,0.43794559,0.87516238,0.10656272,1.92659825,1.95482727,0.41011079,0.00000000
-2.30815408,3.14998304,0.03062585,0.43827308,0.87322317,0.10552763,1.90632486,1.94498272,0.40159285,0.00000000
-2.30215108,3.12538818,0.02974617,0.43753578,0.86976613,0.10425642,1.88435134,1.93228486,0.39245184,0.00000000
-2.29614807,3.09606242,0.02893585,0.43576532,0.86487048,0.10277483,1.86087147,1.91718649,0.38290115,0.00000000
-2.29014507,3.06262934,0.02820938,0.43299448,0.85859954,0.10110881,1.83601271,1.90011947,0.37315577,0.00000000
-2.28414207,3.02568262,0.02757815,0.42925827,0.85100209,0.09928410,1.80984579,1.88148933,0.36342730,0.00000000
