energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,10.72412072,2.07813056,7.44258238,0.06087022,0.15326218,0.68451739,1.06638248,2.32066227,0.00000000
-5.99399700,10.31971927,1.96564030,7.13869098,0.06139089,0.13954413,0.63125435,1.06447565,2.25469404,0.00000000
-5.98799400,9.94961076,1.86412159,6.86000523,0.06182264,0.12740414,0.58341167,1.06251967,2.19358550,0.00000000
-5.98199100,9.61116933,1.77254854,6.60526635,0.06212798,0.11675749,0.54068357,1.06006630,2.13654352,0.00000000
-5.97598799,9.30146659,1.68978762,6.37300945,0.06227145,0.10749929,0.50269822,1.05666843,2.08272336,0.00000000
-5.96998499,9.01741332,1.61465249,6.16164233,0.06222101,0.09950964,0.46903611,1.05189629,2.03126608,0.00000000
-5.96398199,8.75588763,1.54595518,5.96951422,0.06194924,0.09265864,0.43924784,1.04535296,1.98133371,0.00000000
-5.95797899,8.51384596,1.48255188,5.79497236,0.06143433,0.08681130,0.41287054,1.03668864,1.93214127,0.00000000
-5.95197599,8.28841389,1.42338225,5.63640537,0.06066089,0.08183203,0.38944280,1.02561331,1.88298438,0.00000000
-5.94597299,8.07695565,1.36750126,5.49227287,0.05962044,0.07758870,0.36851762,1.01190738,1.83326218,0.00000000
-5.93996998,7.87712184,1.31410314,5.36112224,0.05831168,0.07395614,0.34967330,0.99542999,1.78249476,0.00000000
-5.93396698,7.68687642,1.26253730,5.24159359,0.05674040,0.07081906,0.33252224,0.97612469,1.73033514,0.00000000
-5.92796398,7.50450486,1.21231662,5.13241513,0.05491925,0.06807434,0.31671754,0.95402245,1.67657562,0.00000000
-5.92196098,7.32860583,1.16311839,5.03239115,0.05286714,0.06563266,0.30195756,0.92924170,1.62114875,0.00000000
-5.91595798,7.15806984,1.11477883,4.94038542,0.05060851,0.06341952,0.28798846,0.90198560,1.56412317,0.00000000
-5.90995498,6.99204805,1.06728207,4.85530270,0.04817245,0.06137573,0.27460503,0.87253661,1.50569490,0.00000000
-5.90395198,6.82991477,1.02074451,4.77607086,0.04559161,0.05945720,0.26164987,0.84124842,1.44617461,0.00000000
-5.89794897,6.67122708,0.97539567,4.70162603,0.04290114,0.05763445,0.24901117,0.80853559,1.38597158,0.00000000
-5.89194597,6.51568439,0.93155670,4.63090247,0.04013751,0.05589149,0.23661935,0.77486131,1.32557493,0.00000000
-5.88594297,6.36309055,0.88961736,4.56282848,0.03733747,0.05422451,0.22444280,0.74072348,1.26553318,0.00000000
-5.87993997,6.21332034,0.85001256,4.49632901,0.03453695,0.05264017,0.21248289,0.70663977,1.20643256,0.00000000
-5.87393697,6.06629163,0.81319934,4.43033491,0.03177013,0.05115383,0.20076860,0.67313194,1.14887506,0.00000000
-5.86793397,5.92194379,0.77963480,4.36379822,0.02906865,0.04978754,0.18935080,0.64071013,1.09345679,0.00000000
-5.86193097,5.78022234,0.74975589,4.29571240,0.02646087,0.04856807,0.17829664,0.60985742,1.04074733,0.00000000
-5.85592796,5.64106934,0.72396123,4.22513591,0.02397143,0.04752494,0.16768398,0.58101528,0.99127071,0.00000000
-5.84992496,5.50441861,0.70259553,4.15121723,0.02162086,0.04668858,0.15759625,0.55457034,0.94548839,0.00000000
-5.84392196,5.37019453,0.68593673,4.07321954,0.01942537,0.04608858,0.14811766,0.53084284,0.90378474,0.00000000
-5.83791896,5.23831326,0.67418604,3.99054298,0.01739686,0.04575223,0.13932905,0.51007718,0.86645535,0.00000000
-5.83191596,5.10868497,0.66746085,3.90274277,0.01554296,0.04570322,0.13130433,0.49243487,0.83369838,0.00000000
-5.82591296,4.98121606,0.66579050,3.80954190,0.01386723,0.04596061,0.12410756,0.47799006,0.80560904,0.00000000
-5.81990995,4.85581056,0.66911484,3.71083730,0.01236951,0.04653806,0.11779083,0.46672780,0.78217735,0.00000000
-5.81390695,4.73237001,0.67728531,3.60669899,0.01104627,0.04744335,0.11239265,0.45854506,0.76328909,0.00000000
-5.80790395,4.61079179,0.69006826,3.49736231,0.00989101,0.04867811,0.10793704,0.45325460,0.74872987,0.00000000
-5.80190095,4.49096603,0.70715050,3.38321357,0.00889478,0.05023777,0.10443318,0.45059132,0.73819202,0.00000000
-5.79589795,4.37277141,0.72814636,3.26477020,0.00804662,0.05211170,0.10187550,0.45022116,0.73128416,0.00000000
-5.78989495,4.25607066,0.75260638,3.14265665,0.00733402,0.05428352,0.10024417,0.45175204,0.72754310,0.00000000
-5.78389195,4.14070652,0.78002691,3.01757738,0.00674343,0.05673153,0.09950590,0.45474658,0.72644752,0.00000000
-5.77788894,4.02649886,0.80986048,2.89028888,0.00626066,0.05942913,0.09961495,0.45873616,0.72743319,0.00000000
-5.77188594,3.91324384,0.84152658,2.76157199,0.00587129,0.06234539,0.10051426,0.46323583,0.72990910,0.00000000
-5.76588294,3.80071559,0.87442248,2.63220632,0.00556105,0.06544555,0.10213665,0.46775949,0.73327399,0.00000000
-5.75987994,3.68867088,0.90793383,2.50294773,0.00531611,0.06869155,0.10440611,0.47183496,0.73693282,0.00000000
-5.75387694,3.57685673,0.94144480,2.37451016,0.00512338,0.07204248,0.10723894,0.47501824,0.74031258,0.00000000
-5.74787394,3.46502087,0.97434759,2.24755214,0.00497077,0.07545504,0.11054503,0.47690663,0.74287696,0.00000000
-5.74187094,3.35292462,1.00605116,2.12266839,0.00484730,0.07888396,0.11422896,0.47715006,0.74413946,0.00000000
-5.73586793,3.24035747,1.03598912,2.00038650,0.00474333,0.08228241,0.11819122,0.47546047,0.74367451,0.00000000
-5.72986493,3.12715254,1.06362678,1.88116809,0.00465060,0.08560237,0.12232935,0.47161874,0.74112630,0.00000000
-5.72386193,3.01320214,1.08846736,1.76541409,0.00456235,0.08879510,0.12653919,0.46547904,0.73621515,0.00000000
-5.71785893,2.89847237,1.11005750,1.65347312,0.00447330,0.09181165,0.13071616,0.45697062,0.72874124,0.00000000
-5.71185593,2.78301609,1.12799220,1.54565223,0.00437967,0.09460335,0.13475665,0.44609679,0.71858577,0.00000000
-5.70585293,2.66698336,1.14191916,1.44222901,0.00427917,0.09712257,0.13855953,0.43293155,0.70570961,0.00000000
-5.69984992,2.55062909,1.15154283,1.34346411,0.00417088,0.09932338,0.14202778,0.41761382,0.69014968,0.00000000
-5.69384692,2.43431730,1.15662799,1.24961361,0.00405526,0.10116249,0.14507019,0.40033975,0.67201323,0.00000000
-5.68784392,2.31852203,1.15700312,1.16094024,0.00393398,0.10260015,0.14760317,0.38135348,0.65147058,0.00000000
-5.68184092,2.20382490,1.15256342,1.07772321,0.00380983,0.10360114,0.14955250,0.36093679,0.62874649,0.00000000
