energy_ev,total_up,Bi_p_up,Bi_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.22158371,0.07669120,0.00284993,1.00564098,1.02635685,0.00690563,1.52515624
-5.99399700,2.21791992,0.07533042,0.00288073,1.00388095,1.03435316,0.00713506,1.52576062
-5.98799400,2.21379175,0.07401699,0.00291222,1.00139137,1.04229101,0.00739040,1.52579357
-5.98199100,2.20918036,0.07282793,0.00294386,0.99812987,1.04999399,0.00766856,1.52514320
-5.97598799,2.20410852,0.07184651,0.00297521,0.99408312,1.05729506,0.00796674,1.52372216
-5.96998499,2.19863342,0.07115989,0.00300594,0.98926341,1.06403789,0.00828248,1.52146549
-5.96398199,2.19283987,0.07085666,0.00303585,0.98370513,1.07007866,0.00861364,1.51832890
-5.95797899,2.18683410,0.07102408,0.00306479,0.97746143,1.07528831,0.00895839,1.51428771
-5.95197599,2.18073847,0.07174532,0.00309272,0.97060111,1.07955534,0.00931530,1.50933631
-5.94597299,2.17468691,0.07309660,0.00311968,0.96320594,1.08278869,0.00968322,1.50348832
-5.93996998,2.16882103,0.07514440,0.00314577,0.95536822,1.08492067,0.01006138,1.49677696
-5.93396698,2.16328644,0.07794271,0.00317115,0.94718855,1.08590956,0.01044932,1.48925551
-5.92796398,2.15822893,0.08153050,0.00319605,0.93877358,1.08574145,0.01084687,1.48099727
-5.92196098,2.15379015,0.08592941,0.00322072,0.93023359,1.08443103,0.01125414,1.47209485
-5.91595798,2.15010233,0.09114177,0.00324543,0.92167972,1.08202113,0.01167145,1.46265827
-5.90995498,2.14728205,0.09714907,0.00327046,0.91322072,1.07858069,0.01209932,1.45281170
-5.90395198,2.14542292,0.10391089,0.00329609,0.90495913,1.07420118,0.01253840,1.44268879
-5.89794897,2.14458732,0.11136443,0.00332257,0.89698699,1.06899159,0.01298944,1.43242656
-5.89194597,2.14479785,0.11942474,0.00335009,0.88938118,1.06307207,0.01345326,1.42215814
-5.88594297,2.14602886,0.12798559,0.00337879,0.88219863,1.05656675,0.01393077,1.41200475
-5.87993997,2.14819893,0.13692115,0.00340875,0.87547175,1.04959604,0.01442290,1.40206750
-5.87393697,2.15116515,0.14608841,0.00343994,0.86920441,1.04226899,0.01493066,1.39241952
-5.86793397,2.15471986,0.15533033,0.00347227,0.86336896,1.03467636,0.01545514,1.38309923
-5.86193097,2.15859083,0.16447968,0.00350557,0.85790454,1.02688479,0.01599757,1.37410531
-5.85592796,2.16244511,0.17336350,0.00353959,0.85271718,1.01893262,0.01655929,1.36539386
-5.84992496,2.16589709,0.18180803,0.00357406,0.84768182,1.01082769,0.01714187,1.35687832
-5.84392196,2.16852064,0.18964390,0.00360867,0.84264633,1.00254746,0.01774701,1.34843217
-5.83791896,2.16986506,0.19671152,0.00364315,0.83743764,0.99404122,0.01837660,1.33989465
-5.83191596,2.16947414,0.20286639,0.00367726,0.83186967,0.98523463,0.01903265,1.33107896
-5.82591296,2.16690742,0.20798408,0.00371089,0.82575278,0.97603608,0.01971719,1.32178286
-5.81990995,2.16176252,0.21196478,0.00374401,0.81890427,0.96634443,0.02043216,1.31180077
-5.81390695,2.15369724,0.21473716,0.00377682,0.81115929,0.95605781,0.02117921,1.30093672
-5.80790395,2.14244993,0.21626131,0.00380968,0.80238170,0.94508266,0.02195951,1.28901733
-5.80190095,2.12785713,0.21653077,0.00384318,0.79247392,0.93334250,0.02277349,1.27590389
-5.79589795,2.10986697,0.21557340,0.00387814,0.78138548,0.92078586,0.02362059,1.26150271
-5.78989495,2.08854769,0.21345113,0.00391562,0.76911939,0.90739272,0.02449901,1.24577319
-5.78389195,2.06409049,0.21025859,0.00395688,0.75573606,0.89317922,0.02540542,1.22873278
-5.77788894,2.03680659,0.20612061,0.00400338,0.74135437,0.87820023,0.02633482,1.21045881
-5.77188594,2.00711846,0.20118878,0.00405674,0.72614982,0.86254963,0.02728037,1.19108685
-5.76588294,1.97554578,0.19563708,0.00411864,0.71034959,0.84635853,0.02823331,1.17080573
-5.75987994,1.94268683,0.18965693,0.00419083,0.69422499,0.82979132,0.02918302,1.14984972
-5.75387694,1.90919651,0.18345172,0.00427500,0.67808139,0.81304010,0.03011714,1.12848814
-5.74787394,1.87576194,0.17723103,0.00437277,0.66224629,0.79631769,0.03102184,1.10701329
-5.74187094,1.84307725,0.17120491,0.00448555,0.64705605,0.77984986,0.03188217,1.08572728
-5.73586793,1.81181870,0.16557820,0.00461451,0.63284203,0.76386718,0.03268249,1.06492868
-5.72986493,1.78262148,0.16054527,0.00476054,0.61991670,0.74859696,0.03340706,1.04489977
-5.72386193,1.75605924,0.15628523,0.00492412,0.60856057,0.73425579,0.03404059,1.02589498
-5.71785893,1.73262722,0.15295780,0.00510537,0.59901046,0.72104303,0.03456889,1.00813137
-5.71185593,1.71272965,0.15069992,0.00530393,0.59144966,0.70913552,0.03497948,0.99178127
-5.70585293,1.69667169,0.14962311,0.00551901,0.58600049,0.69868363,0.03526220,0.97696776
-5.69984992,1.68465593,0.14981172,0.00574938,0.58271949,0.68980884,0.03540970,0.96376269
-5.69384692,1.67678328,0.15132192,0.00599334,0.58159544,0.68260265,0.03541789,0.95218746
-5.68784392,1.67305769,0.15418154,0.00624880,0.58255015,0.67712678,0.03528619,0.94221622
-5.68184092,1.67339399,0.15839051,0.00651332,0.58544202,0.67341441,0.03501772,0.93378098
-5.67583792,1.67762814,0.16392202,0.00678414,0.59007194,0.67147205,0.03461927,0.92677837
-5.66983492,1.68552878,0.17072407,0.00705825,0.59619134,0.67128200,0.03410112,0.92107729
-5.66383192,1.69680944,0.17872156,0.00733249,0.60351178,0.67280472,0.03347672,0.91652695
-5.65782891,1.71114019,0.18781855,0.00760358,0.61171564,0.67598116,0.03276222,0.91296468
-5.65182591,1.72815838,0.19790076,0.00786823,0.62046738,0.68073457,0.03197589,0.91022307
-5.64582291,1.74747747,0.20883815,0.00812318,0.62942489,0.68697167,0.03113742,0.90813587
-5.63981991,1.76869385,0.22048752,0.00836531,0.63825019,0.69458317,0.03026716,0.90654252
-5.63381691,1.79139142,0.23269502,0.00859166,0.64661943,0.70344352,0.02938537,0.90529091
-5.62781391,1.81514379,0.24529858,0.00879946,0.65423147,0.71341006,0.02851148,0.90423850
-5.62181091,1.83951471,0.25813027,0.00898624,0.66081497,0.72432169,0.02766331,0.90325189
-5.61580790,1.86405688,0.27101850,0.00914979,0.66613377,0.73599740,0.02685649,0.90220491
-5.60980490,1.88831005,0.28379013,0.00928818,0.66999059,0.74823490,0.02610393,0.90097584
-5.60380190,1.91179900,0.29627263,0.00939980,0.67222893,0.76080974,0.02541540,0.89944397
-5.59779890,1.93403221,0.30829610,0.00948333,0.67273348,0.77347522,0.02479728,0.89748612
-5.59179590,1.95450206,0.31969548,0.00953774,0.67142923,0.78596349,0.02425250,0.89497348
-5.58579290,1.97268722,0.33031275,0.00956226,0.66827943,0.79798802,0.02378060,0.89176939
-5.57978989,1.98805774,0.33999932,0.00955641,0.66328281,0.80924772,0.02337792,0.88772832
-5.57378689,2.00008318,0.34861856,0.00951991,0.65647039,0.81943262,0.02303803,0.88269642
-5.56778389,2.00824381,0.35604834,0.00945274,0.64790200,0.82823125,0.02275214,0.87651374
-5.56178089,2.01204480,0.36218383,0.00935513,0.63766291,0.83533939,0.02250971,0.86901824
-5.55577789,2.01103273,0.36694008,0.00922749,0.62586065,0.84046993,0.02229913,0.86005136
-5.54977489,2.00481377,0.37025463,0.00907050,0.61262218,0.84336343,0.02210834,0.84946499
-5.54377189,1.99307261,0.37208977,0.00888508,0.59809144,0.84379876,0.02192559,0.83712934
-5.53776888,1.97559084,0.37243448,0.00867239,0.58242718,0.84160337,0.02174001,0.82294129
-5.53176588,1.95226369,0.37130567,0.00843388,0.56580113,0.83666245,0.02154230,0.80683264
-5.52576288,1.92311381,0.36874886,0.00817128,0.54839620,0.82892644,0.02132517,0.78877765
-5.51975988,1.88830103,0.36483786,0.00788659,0.53040464,0.81841630,0.02108375,0.76879933
-5.51375688,1.84812696,0.35967364,0.00758213,0.51202606,0.80522619,0.02081587,0.74697393
-5.50775388,1.80303395,0.35338204,0.00726048,0.49346495,0.78952310,0.02052217,0.72343323
-5.50175088,1.75359779,0.34611062,0.00692449,0.47492785,0.77154339,0.02020610,0.69836434
-5.49574787,1.70051414,0.33802443,0.00657725,0.45661986,0.75158617,0.01987370,0.67200683
-5.48974487,1.64457913,0.32930108,0.00622203,0.43874068,0.73000379,0.01953333,0.64464727
-5.48374187,1.58666469,0.32012499,0.00586223,0.42148013,0.70718977,0.01919524,0.61661122
-5.47773887,1.52768961,0.31068137,0.00550132,0.40501333,0.68356465,0.01887101,0.58825319
-5.47173587,1.46858772,0.30114989,0.00514275,0.38949577,0.65956051,0.01857298,0.55994480
-5.46573287,1.41027461,0.29169857,0.00478991,0.37505841,0.63560477,0.01831355,0.53206187
-5.45972986,1.35361449,0.28247801,0.00444600,0.36180319,0.61210417,0.01810455,0.50497097
-5.45372686,1.29938879,0.27361635,0.00411398,0.34979919,0.58942956,0.01795654,0.47901611
-5.44772386,1.24826811,0.26521518,0.00379652,0.33907966,0.56790237,0.01787823,0.45450619
-5.44172086,1.20078877,0.25734656,0.00349588,0.32964026,0.54778332,0.01787592,0.43170388
-5.43571786,1.15733518,0.25005139,0.00321390,0.32143856,0.52926392,0.01795308,0.41081629
-5.42971486,1.11812873,0.24333916,0.00295199,0.31439503,0.51246106,0.01811001,0.39198812
-5.42371186,1.08322381,0.23718905,0.00271104,0.30839551,0.49741504,0.01834372,0.37529729
-5.41770885,1.05251091,0.23155238,0.00249148,0.30329506,0.48409089,0.01864783,0.36075342
-5.41170585,1.02572663,0.22635627,0.00229325,0.29892317,0.47238296,0.01901272,0.34829911
-5.40570285,1.00246996,0.22150820,0.00211588,0.29508998,0.46212243,0.01942581,0.33781389
-5.39969985,0.98222392,0.21690141,0.00195847,0.29159346,0.45308727,0.01987194,0.32912069
-5.39369685,0.96438147,0.21242065,0.00181980,0.28822690,0.44501421,0.02033388,0.32199434
-5.38769385,0.94827430,0.20794820,0.00169836,0.28478677,0.43761198,0.02079295,0.31617183
-5.38169085,0.93320320,0.20336968,0.00159241,0.28108024,0.43057520,0.02122974,0.31136374
-5.37568784,0.91846856,0.19857944,0.00150011,0.27693227,0.42359832,0.02162473,0.30726636
-5.36968484,0.90339952,0.19348534,0.00141954,0.27219180,0.41638890,0.02195911,0.30357388
-5.36368184,0.88738078,0.18801267,0.00134875,0.26673690,0.40867965,0.02221544,0.29999032
-5.35767884,0.86987584,0.18210704,0.00128591,0.26047869,0.40023886,0.02237828,0.29624046
-5.35167584,0.85044583,0.17573621,0.00122928,0.25336373,0.39087877,0.02243479,0.29207964
-5.34567284,0.82876355,0.16889083,0.00117731,0.24537517,0.38046158,0.02237515,0.28730185
-5.33966983,0.80462224,0.16158411,0.00112865,0.23653230,0.36890315,0.02219293,0.28174607
-5.33366683,0.77793912,0.15385053,0.00108220,0.22688900,0.35617423,0.02188526,0.27530059
