energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,6.88179070,0.01383559,1.20758356,9.22171955,3.24874508,1.49938420,0.00000000
-5.99399700,6.68813823,0.01363551,1.16758306,8.97858175,3.16173272,1.45776037,0.00000000
-5.98799400,6.47706183,0.01340418,1.12516234,8.70998586,3.06578366,1.41310862,0.00000000
-5.98199100,6.25060498,0.01314961,1.08066567,8.41812609,2.96180244,1.36591633,0.00000000
-5.97598799,6.01101790,0.01288047,1.03445797,8.10550275,2.85082232,1.31669580,0.00000000
-5.96998499,5.76074284,0.01260588,0.98692404,7.77491365,2.73399886,1.26598109,0.00000000
-5.96398199,5.50239394,0.01233525,0.93846748,7.42943579,2.61260018,1.21432393,0.00000000
-5.95797899,5.23873157,0.01207806,0.88950887,7.07239650,2.48799375,1.16228883,0.00000000
-5.95197599,4.97263127,0.01184370,0.84048333,6.70733453,2.36163010,1.11044721,0.00000000
-5.94597299,4.70704813,0.01164123,0.79183727,6.33795186,2.23502357,1.05937070,0.00000000
-5.93996998,4.44497740,0.01147922,0.74402451,5.96805795,2.10973116,1.00962390,0.00000000
-5.93396698,4.18941296,0.01136552,0.69750171,5.60150838,1.98732994,0.96175658,0.00000000
-5.92796398,3.94330496,0.01130712,0.65272341,5.24214051,1.86939411,0.91629571,0.00000000
-5.92196098,3.70951833,0.01130998,0.61013673,4.89370854,1.75747265,0.87373756,0.00000000
-5.91595798,3.49079360,0.01137888,0.57017603,4.55982064,1.65306833,0.83454007,0.00000000
-5.90995498,3.28971161,0.01151735,0.53325762,4.24388053,1.55761909,0.79911581,0.00000000
-5.90395198,3.10866304,0.01172750,0.49977472,3.94903531,1.47248211,0.76782578,0.00000000
-5.89794897,2.94982380,0.01201002,0.47009276,3.67813136,1.39892139,0.74097415,0.00000000
-5.89194597,2.81513667,0.01236414,0.44454521,3.43367908,1.33809878,0.71880432,0.00000000
