energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,3.78367718,0.00898328,0.11006266,0.02368877,2.57156359,1.48944030,0.56948943,0.88916700,0.42113413
-5.99399700,3.69295576,0.00928468,0.10497051,0.02373934,2.51290161,1.45365508,0.55533331,0.88183255,0.40569567
-5.98799400,3.60227232,0.00964368,0.09989943,0.02373919,2.45457034,1.41922210,0.54051224,0.87517588,0.39047566
-5.98199100,3.51289792,0.01006232,0.09490133,0.02369089,2.39742126,1.38672078,0.52521758,0.86944173,0.37565892
-5.97598799,3.42593206,0.01054097,0.09002230,0.02359753,2.34217952,1.35662027,0.50963098,0.86481826,0.36140150
-5.96998499,3.34226946,0.01107819,0.08530169,0.02346254,2.28942136,1.32926416,0.49391956,0.86142778,0.34782710
-5.96398199,3.26257574,0.01167071,0.08077163,0.02328949,2.23955797,1.30486060,0.47823195,0.85932016,0.33502480
-5.95797899,3.18727310,0.01231351,0.07645671,0.02308191,2.19282644,1.28347779,0.46269536,0.85846916,0.32304820
-5.95197599,3.11653627,0.01299979,0.07237401,0.02284310,2.14928814,1.26504526,0.44741374,0.85877190,0.31191600
-5.94597299,3.05029881,0.01372121,0.06853333,0.02257602,2.10883429,1.24936059,0.43246702,0.86005162,0.30161382
-5.93996998,2.98826922,0.01446800,0.06493768,0.02228313,2.07119868,1.23610132,0.41791152,0.86206355,0.29209720
-5.93396698,2.92995593,0.01522923,0.06158393,0.02196638,2.03597641,1.22484122,0.40378135,0.86450358,0.28329568
-5.92796398,2.87469988,0.01599307,0.05846356,0.02162712,2.00264814,1.21507043,0.39009071,0.86701965,0.27511756
-5.92196098,2.82171307,0.01674713,0.05556362,0.02126616,1.97060837,1.20621820,0.37683698,0.86922499,0.26745529
-5.91595798,2.77012126,0.01747876,0.05286768,0.02088379,1.93919652,1.19767743,0.36400441,0.87071299,0.26019115
-5.90995498,2.71900883,0.01817541,0.05035678,0.02047988,1.90772943,1.18882985,0.35156813,0.87107280,0.25320294
-5.90395198,2.66746385,0.01882502,0.04801043,0.02005400,1.87553381,1.17907074,0.33949836,0.86990516,0.24636959
-5.89794897,2.61462126,0.01941631,0.04580753,0.01960555,1.84197711,1.16783227,0.32776448,0.86683768,0.23957623
-5.89194597,2.55970245,0.01993916,0.04372727,0.01913392,1.80649568,1.15460455,0.31633897,0.86153903,0.23271882
-5.88594297,2.50204965,0.02038485,0.04174983,0.01863863,1.76861899,1.13895346,0.30520069,0.85373132,0.22570792
-5.87993997,2.44115361,0.02074636,0.03985709,0.01811947,1.72798894,1.12053498,0.29433766,0.84320039,0.21847169
-5.87393697,2.37667384,0.02101858,0.03803316,0.01757667,1.68437367,1.09910527,0.28374901,0.82980337,0.21095789
-5.86793397,2.30845058,0.02119837,0.03626476,0.01701096,1.63767537,1.07452649,0.27344607,0.81347348,0.20313506
-5.86193097,2.23650842,0.02128471,0.03454153,0.01642365,1.58793201,1.04676833,0.26345257,0.79422185,0.19499267
-5.85592796,2.16105166,0.02127865,0.03285619,0.01581671,1.53531316,1.01590526,0.25380391,0.77213630,0.18654044
-5.84992496,2.08245195,0.02118327,0.03120454,0.01519273,1.48011030,0.98211003,0.24454556,0.74737740,0.17780697
-5.84392196,2.00122912,0.02100348,0.02958542,0.01455490,1.42272219,0.94564378,0.23573080,0.72017188,0.16883759
-5.83791896,1.91802632,0.02074585,0.02800050,0.01390695,1.36363635,0.90684331,0.22741766,0.69080395,0.15969183
-5.83191596,1.83358080,0.02041834,0.02645407,0.01325307,1.30340740,0.86610635,0.21966558,0.65960472,0.15044047
-5.82591296,1.74869191,0.02002993,0.02495269,0.01259773,1.24263364,0.82387537,0.21253166,0.62694057,0.14116239
-5.81990995,1.66418775,0.01959032,0.02350484,0.01194559,1.18193266,0.78062079,0.20606696,0.59320062,0.13194137
-5.81390695,1.58089227,0.01910956,0.02212051,0.01130134,1.12191747,0.73682430,0.20031286,0.55878413,0.12286296
-5.80790395,1.49959397,0.01859763,0.02081077,0.01066949,1.06317388,0.69296282,0.19529784,0.52408827,0.11401158
-5.80190095,1.42101785,0.01806412,0.01958738,0.01005431,1.00624031,0.64949398,0.19103478,0.48949660,0.10546787
-5.79589795,1.34580146,0.01751793,0.01846237,0.00945960,0.95159068,0.60684328,0.18751892,0.45536885,0.09730643
-5.78989495,1.27447615,0.01696693,0.01744763,0.00888867,0.89962106,0.56539362,0.18472669,0.42203229,0.08959399
-5.78389195,1.20745393,0.01641777,0.01655458,0.00834415,0.85064041,0.52547727,0.18261537,0.38977480,0.08238801
-5.77788894,1.14502033,0.01587575,0.01579384,0.00782799,0.80486573,0.48737050,0.18112375,0.35883997,0.07573574
-5.77188594,1.08733323,0.01534470,0.01517496,0.00734142,0.76242145,0.45129094,0.18017358,0.32942414,0.06967372
-5.76588294,1.03442745,0.01482700,0.01470615,0.00688495,0.72334296,0.41739744,0.17967199,0.30167544,0.06422768
-5.75987994,0.98622447,0.01432363,0.01439418,0.00645838,0.68758384,0.38579241,0.17951450,0.27569464,0.05941278
-5.75387694,0.94254665,0.01383430,0.01424417,0.00606091,0.65502626,0.35652618,0.17958875,0.25153765,0.05523426
-5.74787394,0.90313500,0.01335766,0.01425959,0.00569116,0.62549395,0.32960316,0.17977853,0.22921938,0.05168821
-5.74187094,0.86766951,0.01289152,0.01444221,0.00534732,0.59876688,0.30498936,0.17996812,0.20871876,0.04876266
-5.73586793,0.83579105,0.01243308,0.01479216,0.00502727,0.57459710,0.28262078,0.18004658,0.18998451,0.04643879
-5.72986493,0.80712369,0.01197927,0.01530806,0.00472866,0.55272473,0.26241235,0.17991193,0.17294141,0.04469224
-5.72386193,0.78129651,0.01152697,0.01598719,0.00444907,0.53289367,0.24426687,0.17947498,0.15749678,0.04349450
-5.71785893,0.75796411,0.01107330,0.01682573,0.00418608,0.51486617,0.22808372,0.17866266,0.14354676,0.04281437
-5.71185593,0.73682484,0.01061587,0.01781909,0.00393744,0.49843578,0.21376682,0.17742069,0.13098239,0.04261933
-5.70585293,0.71763638,0.01015291,0.01896223,0.00370111,0.48343839,0.20123169,0.17571566,0.11969498,0.04287699
-5.69984992,0.70022807,0.00968349,0.02025013,0.00347533,0.46976075,0.19041133,0.17353625,0.10958091,0.04355644
-5.69384692,0.68450988,0.00920758,0.02167822,0.00325872,0.45734672,0.18126074,0.17089376,0.10054554,0.04462956
-5.68784392,0.67047783,0.00872612,0.02324288,0.00305023,0.44620068,0.17376004,0.16782187,0.09250626,0.04607219
-5.68184092,0.65821584,0.00824097,0.02494192,0.00284924,0.43638867,0.16791612,0.16437579,0.08539469,0.04786531
-5.67583792,0.64789438,0.00775493,0.02677508,0.00265548,0.42803689,0.16376287,0.16063071,0.07915802,0.04999589
-5.66983492,0.63976593,0.00727157,0.02874446,0.00246904,0.42132817,0.16135997,0.15667989,0.07375945,0.05245778
-5.66383192,0.63415768,0.00679516,0.03085489,0.00229032,0.41649631,0.16079050,0.15263219,0.06917806,0.05525223
-5.65782891,0.63146173,0.00633052,0.03311421,0.00211999,0.41381882,0.16215738,0.14860939,0.06540784,0.05838827
-5.65182591,0.63212324,0.00588280,0.03553338,0.00195893,0.41360806,0.16557880,0.14474330,0.06245635,0.06188274
-5.64582291,0.63662663,0.00545739,0.03812648,0.00180816,0.41620132,0.17118285,0.14117264,0.06034280,0.06576005
-5.63981991,0.64548037,0.00505970,0.04091050,0.00166880,0.42194978,0.17910150,0.13803991,0.05909579,0.07005159
-5.63381691,0.65920042,0.00469497,0.04390493,0.00154199,0.43120679,0.18946406,0.13548821,0.05875081,0.07479471
-5.62781391,0.67829274,0.00436821,0.04713110,0.00142887,0.44431562,0.20239032,0.13365800,0.05934743,0.08003144
-5.62181091,0.70323504,0.00408395,0.05061142,0.00133046,0.46159672,0.21798355,0.13268393,0.06092641,0.08580666
-5.61580790,0.73445802,0.00384623,0.05436828,0.00124771,0.48333496,0.23632345,0.13269163,0.06352668,0.09216609
-5.60980490,0.77232649,0.00365839,0.05842284,0.00118138,0.50976680,0.25745932,0.13379455,0.06718226,0.09915381
-5.60380190,0.81712060,0.00352307,0.06279370,0.00113206,0.54106779,0.28140354,0.13609088,0.07191920,0.10680966
-5.59779890,0.86901772,0.00344211,0.06749544,0.00110012,0.57734057,0.30812556,0.13966048,0.07775256,0.11516634
-5.59179590,0.92807540,0.00341645,0.07253712,0.00108569,0.61860377,0.33754666,0.14456201,0.08468357,0.12424657
-5.58579290,0.99421596,0.00344617,0.07792081,0.00108865,0.66478214,0.36953555,0.15083019,0.09269690,0.13406016
-5.57978989,1.06721340,0.00353039,0.08364029,0.00110863,0.71569830,0.40390513,0.15847340,0.10175832,0.14460141
-5.57378689,1.14668328,0.00366729,0.08967982,0.00114498,0.77106654,0.44041052,0.16747162,0.11181271,0.15584668
-5.56778389,1.23207631,0.00385410,0.09601324,0.00119680,0.83048914,0.47874867,0.17777492,0.12278257,0.16775255
-5.56178089,1.32267623,0.00408708,0.10260336,0.00126289,0.89345566,0.51855957,0.18930260,0.13456717,0.18025447
-5.55577789,1.41760269,0.00436162,0.10940176,0.00134183,0.95934550,0.55942929,0.20194299,0.14704237,0.19326613
-5.54977489,1.51581955,0.00467221,0.11634898,0.00143194,1.02743413,0.60089502,0.21555427,0.16006134,0.20667966
-5.54377189,1.61614895,0.00501252,0.12337517,0.00153130,1.09690309,0.64245194,0.22996611,0.17345608,0.22036664
-5.53776888,1.71729128,0.00537555,0.13040126,0.00163781,1.16685399,0.68356206,0.24498245,0.18703994,0.23418004
-5.53176588,1.81785081,0.00575368,0.13734051,0.00174920,1.23632617,0.72366489,0.26038522,0.20061104,0.24795700
-5.52576288,1.91636671,0.00613880,0.14410056,0.00186308,1.30431795,0.76218965,0.27593908,0.21395667,0.26152246
-5.51975988,2.01134865,0.00652254,0.15058575,0.00197698,1.36981090,0.79856884,0.29139710,0.22685839,0.27469351
-5.51375688,2.10131612,0.00689638,0.15669985,0.00208841,1.43179651,0.83225268,0.30650719,0.23909794,0.28728442
-5.50775388,2.18484005,0.00725188,0.16234894,0.00219490,1.48930443,0.86272415,0.32101908,0.25046353,0.29911197
-5.50175088,2.26058564,0.00758088,0.16744434,0.00229411,1.54143131,0.88951389,0.33469170,0.26075654,0.31000121
-5.49574787,2.32735445,0.00787572,0.17190561,0.00238383,1.58736930,0.91221466,0.34730063,0.26979811,0.31979112
-5.48974487,2.38412447,0.00812943,0.17566336,0.00246210,1.62643290,0.93049458,0.35864530,0.27743554,0.32834015
-5.48374187,2.43008619,0.00833592,0.17866184,0.00252725,1.65808334,0.94410880,0.36855573,0.28354815,0.33553140
-5.47773887,2.46467346,0.00849020,0.18086116,0.00257794,1.68194914,0.95290899,0.37689845,0.28805223,0.34127707
-5.47173587,2.48758749,0.00858846,0.18223903,0.00261326,1.69784228,0.95685016,0.38358143,0.29090507,0.34552224
-5.46573287,2.49881308,0.00862826,0.18279203,0.00263270,1.70576885,0.95599466,0.38855762,0.29210754,0.34824760
-5.45972986,2.49862609,0.00860851,0.18253628,0.00263625,1.70593396,0.95051288,0.39182719,0.29170536,0.34947110
-5.45372686,2.48759189,0.00852959,0.18150742,0.00262436,1.69874046,0.94068083,0.39343804,0.28978875,0.34924852
-5.44772386,2.46655450,0.00839326,0.17976009,0.00259801,1.68478131,0.92687436,0.39348489,0.28649060,0.34767269
-5.44172086,2.43661697,0.00820265,0.17736673,0.00255863,1.66482612,0.90956038,0.39210662,0.28198306,0.34487169
-5.43571786,2.39911346,0.00796213,0.17441579,0.00250814,1.63980198,0.88928527,0.38948222,0.27647284,0.34100582
-5.42971486,2.35557421,0.00767716,0.17100952,0.00244891,1.61076949,0.86666098,0.38582538,0.27019521,0.33626356
-5.42371186,2.30768456,0.00735417,0.16726132,0.00238369,1.57889483,0.84234925,0.38137799,0.26340715,0.33085674
-5.41770885,2.25723965,0.00700032,0.16329270,0.00231559,1.54541874,0.81704450,0.37640266,0.25637977,0.32501482
-5.41170585,2.20609626,0.00662330,0.15923009,0.00224804,1.51162377,0.79145611,0.37117478,0.24939034,0.31897885
-5.40570285,2.15612360,0.00623115,0.15520151,0.00218471,1.47880065,0.76629056,0.36597420,0.24271434,0.31299496
-5.39969985,2.10915458,0.00583200,0.15133321,0.00212945,1.44821507,0.74223410,0.36107693,0.23661769,0.30730776
-5.39369685,2.06693923,0.00543394,0.14774641,0.00208625,1.42107594,0.71993654,0.35674714,0.23134956,0.30215386
-5.38769385,2.03110143,0.00504476,0.14455420,0.00205914,1.39850582,0.69999646,0.35322966,0.22713593,0.29775564
