energy_ev,total_up,total_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.99138983,-2.99138924,0.53774195,-0.53774185,0.03328541,-0.03328541,0.50081512,-0.50081496,1.18811041,-1.18811002,0.45184928,-0.45184927,0.03044066,-0.03044066,1.16366694,-1.16366668
-5.99399700,3.03009525,-3.03009484,0.54722572,-0.54722565,0.03304388,-0.03304389,0.50666904,-0.50666891,1.22135597,-1.22135563,0.45373661,-0.45373663,0.03040539,-0.03040538,1.18196831,-1.18196812
-5.98799400,3.06223669,-3.06223645,0.55448693,-0.55448691,0.03267457,-0.03267458,0.51118614,-0.51118603,1.25225740,-1.25225710,0.45448156,-0.45448161,0.03036985,-0.03036985,1.19825269,-1.19825257
-5.98199100,3.08719818,-3.08719810,0.55936819,-0.55936822,0.03217421,-0.03217423,0.51434803,-0.51434794,1.28050658,-1.28050634,0.45403320,-0.45403327,0.03033232,-0.03033232,1.21215014,-1.21215008
-5.97598799,3.10451847,-3.10451855,0.56176328,-0.56176334,0.03154225,-0.03154226,0.51615405,-0.51615398,1.30582356,-1.30582336,0.45236637,-0.45236647,0.03029299,-0.03029299,1.22335687,-1.22335688
-5.96998499,3.11390025,-3.11390048,0.56162010,-0.56162020,0.03078088,-0.03078089,0.51662091,-0.51662086,1.32796155,-1.32796140,0.44948252,-0.44948264,0.03025398,-0.03025398,1.23164185,-1.23164191
-5.96398199,3.11521456,-3.11521491,0.55894195,-0.55894209,0.02989509,-0.02989511,0.51578203,-0.51578201,1.34671151,-1.34671140,0.44540986,-0.44541000,0.03021929,-0.03021929,1.23685085,-1.23685097
-5.95797899,3.10850047,-3.10850094,0.55378688,-0.55378705,0.02889260,-0.02889262,0.51368669,-0.51368668,1.36190591,-1.36190583,0.44020269,-0.44020285,0.03019465,-0.03019465,1.23890810,-1.23890826
-5.95197599,3.09395993,-3.09396051,0.54626528,-0.54626548,0.02778364,-0.02778366,0.51039884,-0.51039884,1.37342175,-1.37342172,0.43394006,-0.43394023,0.03018734,-0.03018734,1.23781540,-1.23781561
-5.94597299,3.07194804,-3.07194869,0.53653573,-0.53653595,0.02658072,-0.02658074,0.50599577,-0.50599578,1.38118269,-1.38118269,0.42672359,-0.42672377,0.03020592,-0.03020592,1.23364889,-1.23364913
-5.93996998,3.04295904,-3.04295975,0.52479927,-0.52479951,0.02529828,-0.02529830,0.50056649,-0.50056651,1.38516004,-1.38516007,0.41867467,-0.41867486,0.03025988,-0.03025987,1.22655350,-1.22655377
-5.93396698,3.00760865,-3.00760940,0.51129237,-0.51129262,0.02395228,-0.02395230,0.49420990,-0.49420992,1.38537275,-1.38537281,0.40993105,-0.40993124,0.03035931,-0.03035930,1.21673548,-1.21673576
-5.92796398,2.96661313,-2.96661389,0.49627883,-0.49627910,0.02255976,-0.02255978,0.48703283,-0.48703285,1.38188618,-1.38188626,0.40064291,-0.40064310,0.03051448,-0.03051447,1.20445317,-1.20445346
-5.92196098,2.92076592,-2.92076668,0.48004098,-0.48004125,0.02113833,-0.02113835,0.47914783,-0.47914785,1.37480973,-1.37480983,0.39096855,-0.39096874,0.03073539,-0.03073538,1.19000647,-1.19000677
-5.91595798,2.87091258,-2.87091332,0.46287051,-0.46287078,0.01970569,-0.01970571,0.47067090,-0.47067092,1.36429335,-1.36429347,0.38106991,-0.38107009,0.03103133,-0.03103133,1.17372531,-1.17372561
-5.90995498,2.81792475,-2.81792546,0.44505931,-0.44505958,0.01827915,-0.01827917,0.46171915,-0.46171916,1.35052300,-1.35052313,0.37110793,-0.37110810,0.03141046,-0.03141045,1.15595751,-1.15595780
-5.90395198,2.76267409,-2.76267475,0.42689071,-0.42689097,0.01687513,-0.01687515,0.45240835,-0.45240835,1.33371514,-1.33371528,0.36123803,-0.36123819,0.03187933,-0.03187931,1.13705656,-1.13705683
-5.89794897,2.70600683,-2.70600743,0.40863135,-0.40863159,0.01550881,-0.01550883,0.44285057,-0.44285056,1.31411051,-1.31411065,0.35160582,-0.35160597,0.03244249,-0.03244248,1.11736959,-1.11736985
-5.89194597,2.64871996,-2.64872048,0.39052408,-0.39052432,0.01419377,-0.01419378,0.43315191,-0.43315188,1.29196733,-1.29196748,0.34234311,-0.34234325,0.03310219,-0.03310217,1.09722606,-1.09722629
-5.88594297,2.59153955,-2.59153999,0.37278215,-0.37278236,0.01294168,-0.01294169,0.42341032,-0.42341028,1.26755419,-1.26755434,0.33356451,-0.33356462,0.03385800,-0.03385798,1.07692739,-1.07692759
-5.87993997,2.53510212,-2.53510248,0.35558466,-0.35558487,0.01176216,-0.01176217,0.41371367,-0.41371361,1.24114289,-1.24114303,0.32536454,-0.32536464,0.03470666,-0.03470663,1.05673801,-1.05673819
-5.87393697,2.47993938,-2.47993965,0.33907376,-0.33907395,0.01066266,-0.01066268,0.40413810,-0.40413802,1.21300153,-1.21300167,0.31781553,-0.31781561,0.03564191,-0.03564188,1.03687805,-1.03687821
-5.86793397,2.42646705,-2.42646723,0.32335322,-0.32335340,0.00964846,-0.00964847,0.39474667,-0.39474657,1.18338811,-1.18338825,0.31096623,-0.31096630,0.03665448,-0.03665445,1.01751787,-1.01751800
-5.86193097,2.37497791,-2.37497801,0.30848875,-0.30848891,0.00872269,-0.00872270,0.38558845,-0.38558833,1.15254493,-1.15254507,0.30484126,-0.30484131,0.03773211,-0.03773208,0.99877467,-0.99877478
-5.85592796,2.32563948,-2.32563950,0.29450962,-0.29450977,0.00788653,-0.00788654,0.37669795,-0.37669782,1.12069394,-1.12069408,0.29944134,-0.29944137,0.03885977,-0.03885973,0.98071122,-0.98071131
-5.84992496,2.27849613,-2.27849609,0.28141178,-0.28141191,0.00713939,-0.00713940,0.36809513,-0.36809498,1.08803343,-1.08803357,0.29474441,-0.29474442,0.04001987,-0.04001983,0.96333679,-0.96333686
-5.84392196,2.23347581,-2.23347571,0.26916199,-0.26916211,0.00647915,-0.00647915,0.35978575,-0.35978559,1.05473587,-1.05473602,0.29070748,-0.29070748,0.04119268,-0.04119264,0.94661015,-0.94661021
-5.83791896,2.19040090,-2.19040076,0.25770290,-0.25770302,0.00590247,-0.00590248,0.35176226,-0.35176209,1.02094736,-1.02094752,0.28726920,-0.28726919,0.04235673,-0.04235668,0.93044461,-0.93044466
-5.83191596,2.14900289,-2.14900271,0.24695884,-0.24695895,0.00540513,-0.00540514,0.34400516,-0.34400498,0.98678829,-0.98678845,0.28435309,-0.28435307,0.04348933,-0.04348929,0.91471480,-0.91471485
-5.82591296,2.10894031,-2.10894011,0.23684184,-0.23684195,0.00498232,-0.00498232,0.33648465,-0.33648446,0.95235538,-0.95235556,0.28187122,-0.28187120,0.04456718,-0.04456714,0.89926496,-0.89926501
-5.81990995,2.06981923,-2.06981903,0.22725790,-0.22725801,0.00462899,-0.00462900,0.32916275,-0.32916256,0.91772490,-0.91772510,0.27972841,-0.27972837,0.04556693,-0.04556689,0.88391840,-0.88391846
