energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,4.91899339,0.03265129,0.59724683,0.78044020,3.36672645,0.14517304,0.00000000,0.03441135,0.75044298
-5.99399700,4.96673932,0.03380665,0.60754347,0.78109817,3.39971375,0.15105140,0.00000000,0.03319915,0.76862888
-5.98799400,5.00490595,0.03499337,0.61692274,0.78179695,3.42435943,0.15695291,0.00000000,0.03212719,0.78651667
-5.98199100,5.03293369,0.03618154,0.62523919,0.78247495,3.44029128,0.16281534,0.00000000,0.03120805,0.80393025
-5.97598799,5.05033363,0.03734170,0.63234893,0.78307231,3.44719447,0.16857757,0.00000000,0.03045342,0.82070506
-5.96998499,5.05669271,0.03844530,0.63811412,0.78352995,3.44481614,0.17418064,0.00000000,0.02987367,0.83668751
-5.96398199,5.05168161,0.03946504,0.64240791,0.78378942,3.43297195,0.17956902,0.00000000,0.02947743,0.85173489
-5.95797899,5.03506479,0.04037535,0.64511950,0.78379342,3.41155406,0.18469184,0.00000000,0.02927117,0.86571560
-5.95197599,5.00671170,0.04115267,0.64615909,0.78348684,3.38053982,0.18950413,0.00000000,0.02925880,0.87850976
-5.94597299,4.96660844,0.04177592,0.64546230,0.78281834,3.34000069,0.19396796,0.00000000,0.02944138,0.89001006
-5.93996998,4.91486846,0.04222676,0.64299392,0.78174215,3.29011017,0.19805335,0.00000000,0.02981689,0.90012282
-5.93396698,4.85174145,0.04248998,0.63875063,0.78021988,3.23115027,0.20173909,0.00000000,0.03038002,0.90876906
-5.92796398,4.77761924,0.04255378,0.63276252,0.77822236,3.16351556,0.20501310,0.00000000,0.03112213,0.91588561
-5.92196098,4.69303791,0.04241001,0.62509336,0.77573103,3.08771421,0.20787258,0.00000000,0.03203133,0.92142604
-5.91595798,4.59867546,0.04205440,0.61583941,0.77273902,3.00436556,0.21032376,0.00000000,0.03309256,0.92536130
-5.90995498,4.49534470,0.04148663,0.60512696,0.76925156,2.91419393,0.21238138,0.00000000,0.03428790,0.92768012
-5.90395198,4.38398122,0.04071045,0.59310858,0.76528582,2.81801867,0.21406770,0.00000000,0.03559685,0.92838897
-5.89794897,4.26562670,0.03973362,0.57995836,0.76087010,2.71674051,0.21541135,0.00000000,0.03699683,0.92751159
-5.89194597,4.14140819,0.03856773,0.56586629,0.75604236,2.61132476,0.21644588,0.00000000,0.03846361,0.92508807
-5.88594297,4.01251394,0.03722808,0.55103213,0.75084820,2.50278195,0.21720807,0.00000000,0.03997191,0.92117355
-5.87993997,3.88016701,0.03573325,0.53565900,0.74533839,2.39214645,0.21773627,0.00000000,0.04149594,0.91583640
-5.87393697,3.74559764,0.03410479,0.51994715,0.73956616,2.28045435,0.21806858,0.00000000,0.04301005,0.90915623
-5.86793397,3.61001563,0.03236673,0.50408793,0.73358426,2.16872110,0.21824122,0.00000000,0.04448929,0.90122158
-5.86193097,3.47458413,0.03054508,0.48825857,0.72744222,2.05792023,0.21828691,0.00000000,0.04590999,0.89212749
-5.85592796,3.34039586,0.02866728,0.47261774,0.72118374,1.94896383,0.21823366,0.00000000,0.04725027,0.88197320
-5.84992496,3.20845298,0.02676168,0.45730216,0.71484468,1.84268569,0.21810371,0.00000000,0.04849054,0.87085996
-5.84392196,3.07965143,0.02485699,0.44242442,0.70845167,1.73982786,0.21791297,0.00000000,0.04961390,0.85888927
-5.83791896,2.95477064,0.02298184,0.42807196,0.70202148,1.64103101,0.21767076,0.00000000,0.05060645,0.84616161
-5.83191596,2.83446888,0.02116437,0.41430738,0.69556144,1.54682903,0.21738016,0.00000000,0.05145758,0.83277589
-5.82591296,2.71928463,0.01943184,0.40116985,0.68907088,1.45764802,0.21703868,0.00000000,0.05216017,0.81882970
-5.81990995,2.60964391,0.01781043,0.38867767,0.68254358,1.37380952,0.21663948,0.00000000,0.05271072,0.80442048
-5.81390695,2.50587311,0.01632508,0.37683175,0.67597145,1.29553785,0.21617304,0.00000000,0.05310942,0.78964774
-5.80790395,2.40821701,0.01499940,0.36561989,0.66934899,1.22297101,0.21562912,0.00000000,0.05336018,0.77461612
-5.80190095,2.31686086,0.01385569,0.35502165,0.66267877,1.15617459,0.21499916,0.00000000,0.05347064,0.75943957
-5.79589795,2.23195583,0.01291505,0.34501357,0.65597742,1.09515806,0.21427872,0.00000000,0.05345209,0.74424616
-5.78989495,2.15364633,0.01219748,0.33557461,0.64928204,1.03989255,0.21347023,0.00000000,0.05331942,0.72918360
-5.78389195,2.08209817,0.01172209,0.32669148,0.64265665,0.99032922,0.21258548,0.00000000,0.05309100,0.71442507
-5.77788894,2.01752599,0.01150722,0.31836366,0.63619831,0.94641754,0.21164812,0.00000000,0.05278855,0.70017516
-5.77188594,1.96021865,0.01157061,0.31060803,0.63004258,0.90812248,0.21069575,0.00000000,0.05243695,0.68667536
-5.76588294,1.91056124,0.01192949,0.30346266,0.62436793,0.87543980,0.20978153,0.00000000,0.05206401,0.67420900
-5.75987994,1.86905236,0.01260063,0.29698993,0.61939875,0.84840887,0.20897531,0.00000000,0.05170020,0.66310496
-5.75387694,1.83631578,0.01360025,0.29127849,0.61540660,0.82712235,0.20836394,0.00000000,0.05137829,0.65373996
-5.74787394,1.81310530,0.01494385,0.28644420,0.61270948,0.81173230,0.20805084,0.00000000,0.05113294,0.64653892
-5.74187094,1.80030252,0.01664597,0.28262984,0.61166902,0.80245247,0.20815473,0.00000000,0.05100013,0.64197319
-5.73586793,1.79890687,0.01871978,0.28000364,0.61268531,0.79955655,0.20880747,0.00000000,0.05101667,0.64055637
-5.72986493,1.81001806,0.02117655,0.27875647,0.61618951,0.80337265,0.21015106,0.00000000,0.05121942,0.64283754
