energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,6.69790652,0.36515044,0.01684886,4.25829779,4.39882790,4.36655217,0.00000000
-5.99399700,6.54125817,0.34894289,0.01671346,4.16903087,4.29583266,4.25648317,0.00000000
-5.98799400,6.36741682,0.33192672,0.01655032,4.07001664,4.18127927,4.13482261,0.00000000
-5.98199100,6.17943124,0.31439600,0.01636593,3.96318492,4.05694543,4.00358039,0.00000000
-5.97598799,5.98048032,0.29664061,0.01616713,3.85053803,3.92469357,3.86483573,0.00000000
-5.96998499,5.77378853,0.27893850,0.01596083,3.73409486,3.78642253,3.72068261,0.00000000
-5.96398199,5.56254405,0.26154862,0.01575383,3.61583672,3.64402073,3.57317795,0.00000000
-5.95797899,5.34982265,0.24470491,0.01555258,3.49765704,3.49932254,3.42429420,0.00000000
-5.95197599,5.13851974,0.22861144,0.01536304,3.38131664,3.35406929,3.27587800,0.00000000
-5.94597299,4.93129232,0.21343882,0.01519046,3.26840587,3.20987592,3.12961602,0.00000000
-5.93996998,4.73051259,0.19932200,0.01503932,3.16031470,3.06820427,2.98700872,0.00000000
-5.93396698,4.53823355,0.18635931,0.01491315,3.05821139,2.93034317,2.84935245,0.00000000
-5.92796398,4.35616712,0.17461289,0.01481456,2.96302981,2.79739569,2.71772974,0.00000000
-5.92196098,4.18567432,0.16411020,0.01474517,2.87546529,2.67027310,2.59300732,0.00000000
-5.91595798,4.02776663,0.15484657,0.01470562,2.79597863,2.54969523,2.47584129,0.00000000
-5.90995498,3.88311744,0.14678863,0.01469567,2.72480715,2.43619626,2.36668814,0.00000000
-5.90395198,3.75208194,0.13987833,0.01471421,2.66198211,2.33013524,2.26582068,0.00000000
-5.89794897,3.63472383,0.13403750,0.01475938,2.60735087,2.23171021,2.17334743,0.00000000
-5.89194597,3.53084690,0.12917253,0.01482872,2.56060289,2.14097479,2.08923415,0.00000000
-5.88594297,3.44002987,0.12517919,0.01491924,2.52129784,2.05785639,2.01332623,0.00000000
-5.87993997,3.36166242,0.12194729,0.01502758,2.48889471,1.98217482,1.94537084,0.00000000
-5.87393697,3.29498125,0.11936497,0.01515011,2.46278060,1.91366062,1.88503777,0.00000000
-5.86793397,3.23910450,0.11732263,0.01528309,2.44229798,1.85197242,1.83193820,0.00000000
-5.86193097,3.19306378,0.11571625,0.01542273,2.42676968,1.79671264,1.78564093,0.00000000
-5.85592796,3.15583285,0.11445016,0.01556529,2.41552068,1.74744144,1.74568569,0.00000000
-5.84992496,3.12635281,0.11343906,0.01570718,2.40789635,1.70368863,1.71159361,0.00000000
-5.84392196,3.10355346,0.11260945,0.01584499,2.40327683,1.66496371,1.68287497,0.00000000
-5.83791896,3.08637120,0.11190035,0.01597554,2.40108753,1.63076404,1.65903456,0.00000000
-5.83191596,3.07376369,0.11126348,0.01609590,2.40080597,1.60058168,1.63957532,0.00000000
-5.82591296,3.06472202,0.11066290,0.01620339,2.40196533,1.57390910,1.62400060,0.00000000
-5.81990995,3.05828071,0.11007416,0.01629565,2.40415517,1.55024419,1.61181588,0.00000000
-5.81390695,3.05352654,0.10948324,0.01637053,2.40701992,1.52909493,1.60253037,0.00000000
-5.80790395,3.04960635,0.10888513,0.01642621,2.41025584,1.50998413,1.59565906,0.00000000
-5.80190095,3.04573455,0.10828237,0.01646109,2.41360690,1.49245426,1.59072549,0.00000000
-5.79589795,3.04120050,0.10768351,0.01647387,2.41686018,1.47607269,1.58726557,0.00000000
-5.78989495,3.03537574,0.10710165,0.01646354,2.41984125,1.46043721,1.58483236,0.00000000
-5.78389195,3.02772102,0.10655307,0.01642937,2.42240972,1.44518163,1.58300179,0.00000000
-5.77788894,3.01779282,0.10605598,0.01637093,2.42445522,1.42998145,1.58137892,0.00000000
-5.77188594,3.00524871,0.10562952,0.01628815,2.42589372,1.41455895,1.57960447,0.00000000
-5.76588294,2.98985130,0.10529283,0.01618126,2.42666424,1.39868770,1.57736101,0.00000000
-5.75987994,2.97146980,0.10506436,0.01605086,2.42672556,1.38219570,1.57437842,0.00000000
-5.75387694,2.95007897,0.10496129,0.01589793,2.42605299,1.36496721,1.57043804,0.00000000
-5.74787394,2.92575478,0.10499900,0.01572374,2.42463471,1.34694267,1.56537506,0.00000000
-5.74187094,2.89866668,0.10519065,0.01552993,2.42246769,1.32811665,1.55907898,0.00000000
-5.73586793,2.86906630,0.10554671,0.01531840,2.41955304,1.30853375,1.55149174,0.00000000
-5.72986493,2.83727289,0.10607455,0.01509130,2.41589077,1.28828260,1.54260371,0.00000000
-5.72386193,2.80365587,0.10677790,0.01485094,2.41147412,1.26748799,1.53244758,0.00000000
-5.71785893,2.76861526,0.10765636,0.01459974,2.40628377,1.24630167,1.52109046,0.00000000
-5.71185593,2.73256090,0.10870481,0.01434012,2.40028213,1.22489212,1.50862470,0.00000000
-5.70585293,2.69589143,0.10991286,0.01407442,2.39340832,1.20343392,1.49515799,0.00000000
-5.69984992,2.65897420,0.11126433,0.01380486,2.38557419,1.18209728,1.48080325,0.00000000
-5.69384692,2.62212727,0.11273681,0.01353338,2.37666184,1.16103816,1.46566910,0.00000000
-5.68784392,2.58560440,0.11430140,0.01326166,2.36652302,1.14038983,1.44985143,0.00000000
-5.68184092,2.54958395,0.11592262,0.01299102,2.35498071,1.12025590,1.43342650,0.00000000
-5.67583792,2.51416227,0.11755863,0.01272238,2.34183299,1.10070559,1.41644620,0.00000000
-5.66983492,2.47935201,0.11916172,0.01245630,2.32685914,1.08177115,1.39893548,0.00000000
-5.66383192,2.44508514,0.12067911,0.01219295,2.30982769,1.06344764,1.38089219,0.00000000
-5.65782891,2.41122062,0.12205413,0.01193214,2.29050621,1.04569496,1.36228915,0.00000000
-5.65182591,2.37755612,0.12322769,0.01167339,2.26867203,1.02844190,1.34307827,0.00000000
-5.64582291,2.34384271,0.12413998,0.01141596,2.24412342,1.01159192,1.32319632,0.00000000
-5.63981991,2.30980195,0.12473242,0.01115893,2.21669049,0.99503004,1.30257183,0.00000000
-5.63381691,2.27514377,0.12494971,0.01090130,2.18624493,0.97863067,1.28113256,0.00000000
-5.62781391,2.23958443,0.12474189,0.01064201,2.15270818,0.96226546,1.25881303,0.00000000
-5.62181091,2.20286311,0.12406636,0.01038006,2.11605722,0.94581092,1.23556143,0.00000000
-5.61580790,2.16475635,0.12288962,0.01011453,2.07632773,0.92915530,1.21134549,0.00000000
-5.60980490,2.12508944,0.12118886,0.00984465,2.03361430,0.91220415,1.18615691,0.00000000
-5.60380190,2.08374432,0.11895301,0.00956984,1.98806776,0.89488449,1.16001396,0.00000000
-5.59779890,2.04066347,0.11618350,0.00928971,1.93988969,0.87714727,1.13296224,0.00000000
-5.59179590,1.99585000,0.11289445,0.00900408,1.88932465,0.85896804,1.10507348,0.00000000
-5.58579290,1.94936406,0.10911240,0.00871298,1.83665050,0.84034597,1.07644261,0.00000000
-5.57978989,1.90131604,0.10487553,0.00841662,1.78216751,0.82130137,1.04718329,0.00000000
-5.57378689,1.85185730,0.10023242,0.00811540,1.72618708,0.80187192,1.01742232,0.00000000
