energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up
-6.00000000,7.80656302,1.38153943,4.12999999,0.06497909,1.01700094,0.11407505,1.38431968
-5.99399700,7.87817404,1.38180609,4.20209240,0.06570105,1.03059407,0.11772435,1.37274060
-5.98799400,7.94727660,1.38151605,4.27381230,0.06631024,1.04425507,0.12141542,1.35946000
-5.98199100,8.01509433,1.38110791,4.34554783,0.06681193,1.05809129,0.12512758,1.34494487
-5.97598799,8.08256205,1.38095832,4.41753625,0.06721173,1.07216409,0.12883888,1.32962809
-5.96998499,8.15027556,1.38136678,4.48984146,0.06751528,1.08648320,0.13252628,1.31389488
-5.96398199,8.21845788,1.38254436,4.56233882,0.06772798,1.10100337,0.13616580,1.29807224
-5.95797899,8.28694234,1.38460651,4.63470765,0.06785482,1.11562343,0.13973265,1.28242159
-5.95197599,8.35517247,1.38757040,4.70643130,0.06790017,1.13018759,0.14320147,1.26713462
-5.94597299,8.42221755,1.39135641,4.77680443,0.06786768,1.14448905,0.14654639,1.25233221
-5.93996998,8.48680250,1.39579378,4.84494709,0.06776018,1.15827553,0.14974118,1.23806603
-5.93396698,8.54735006,1.40062978,4.90982477,0.06757958,1.17125657,0.15275924,1.22432272
-5.92796398,8.60203319,1.40554197,4.97027368,0.06732686,1.18311220,0.15557361,1.21102986
-5.92196098,8.64883522,1.41015282,5.02503039,0.06700203,1.19350280,0.15815691,1.19806361
-5.91595798,8.68561560,1.41404598,5.07276511,0.06660410,1.20207961,0.16048131,1.18525732
-5.90995498,8.71017893,1.41678341,5.11211745,0.06613111,1.20849565,0.16251850,1.17241087
-5.90395198,8.72034531,1.41792281,5.14173421,0.06558020,1.21241677,0.16423976,1.15930026
-5.89794897,8.71402010,1.41703457,5.16030812,0.06494762,1.21353233,0.16561612,1.14568728
-5.89194597,8.68926157,1.41371768,5.16661682,0.06422892,1.21156541,0.16661861,1.13132890
-5.88594297,8.64434496,1.40761430,5.15956140,0.06341907,1.20628224,0.16721878,1.11598630
-5.87993997,8.57782192,1.39842248,5.13820355,0.06251271,1.19750051,0.16738928,1.09943339
-5.87393697,8.48857414,1.38590691,5.10180071,0.06150440,1.18509659,0.16710465,1.08146477
-5.86793397,8.37586052,1.36990757,5.04983832,0.06038894,1.16901133,0.16634228,1.06190304
-5.86193097,8.23935690,1.35034628,4.98205848,0.05916174,1.14925444,0.16508347,1.04060551
-5.85592796,8.07918798,1.32723124,4.89848420,0.05781920,1.12590740,0.16331456,1.01747003
-5.84992496,7.89595074,1.30065960,4.79943870,0.05635905,1.09912475,0.16102809,0.99244028
-5.84392196,7.69072905,1.27081841,4.68555901,0.05478082,1.06913399,0.15822392,0.96551001
-5.83791896,7.46509913,1.23798391,4.55780351,0.05308607,1.03623395,0.15491020,0.93672645
-5.83191596,7.22112573,1.20251952,4.41745298,0.05127879,1.00079181,0.15110425,0.90619273
-5.82591296,6.96134909,1.16487262,4.26610517,0.04936553,0.96323888,0.14683311,0.87406912
-5.81990995,6.68876273,1.12557017,4.10566263,0.04735555,0.92406519,0.14213389,0.84057308
-5.81390695,6.40678244,1.08521337,3.93831424,0.04526082,0.88381313,0.13705378,0.80597808
-5.80790395,6.11920703,1.04447133,3.76651061,0.04309597,0.84307024,0.13164973,0.77061106
-5.80190095,5.83017122,1.00407370,3.59293387,0.04087802,0.80246117,0.12598781,0.73484861
