energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.68184092,3.83077408,1.00468589,2.72154218,0.00286765,0.06944789,0.01526772,0.60509239,0.33317918,0.20713753
-5.67583792,3.87280133,1.01276654,2.75024762,0.00284495,0.06995004,0.01559612,0.61349150,0.33769596,0.21192691
-5.66983492,3.91391024,1.02086111,2.77775364,0.00284300,0.07063878,0.01593677,0.62156398,0.34209898,0.21712918
-5.66383192,3.95332595,1.02871341,2.80358269,0.00286305,0.07149917,0.01628563,0.62912558,0.34639113,0.22264805
-5.65782891,3.99019352,1.03603429,2.82721260,0.00290606,0.07251266,0.01663769,0.63598354,0.35057886,0.22837247
-5.65182591,4.02362086,1.04251632,2.84810359,0.00297276,0.07365843,0.01698710,0.64194473,0.35467426,0.23418107
-5.64582291,4.05272350,1.04784941,2.86572622,0.00306365,0.07491461,0.01732741,0.64682391,0.35869695,0.23994711
-5.63981991,4.07666891,1.05173629,2.87958886,0.00317905,0.07625967,0.01765185,0.65045159,0.36267554,0.24554356
-5.63381691,4.09471823,1.05390735,2.88926349,0.00331914,0.07767362,0.01795362,0.65268122,0.36664854,0.25084827
-5.62781391,4.10626381,1.05413418,2.89440866,0.00348395,0.07913901,0.01822610,0.65339542,0.37066464,0.25574892
-5.62181091,4.11086073,1.05224108,2.89478871,0.00367340,0.08064182,0.01846318,0.65251090,0.37478242,0.26014751
-5.61580790,4.10825127,1.04811431,2.89028854,0.00388732,0.08217202,0.01865951,0.64998204,0.37906927,0.26396422
-5.60980490,4.09838142,1.04170858,2.88092340,0.00412540,0.08372390,0.01881064,0.64580291,0.38359974,0.26714058
-5.60380190,4.08140900,1.03305065,2.86684358,0.00438725,0.08529607,0.01891325,0.64000779,0.38845336,0.26964169
-5.59779890,4.05770334,1.02224004,2.84833383,0.00467233,0.08689124,0.01896524,0.63267016,0.39371194,0.27145747
-5.59179590,4.02783686,1.00944683,2.82580789,0.00497999,0.08851571,0.01896577,0.62390041,0.39945654,0.27260298
-5.58579290,3.99256908,0.99490678,2.79979835,0.00530939,0.09017866,0.01891527,0.61384214,0.40576430,0.27311769
-5.57978989,3.95282415,0.97891405,2.77094245,0.00565953,0.09189128,0.01881539,0.60266764,0.41270521,0.27306389
-5.57378689,3.90966272,0.96181193,2.73996449,0.00602924,0.09366578,0.01866891,0.59057247,0.42033891,0.27252424
-5.56778389,3.86424977,0.94398188,2.70765556,0.00641716,0.09551443,0.01847957,0.57776945,0.42871193,0.27159867
-5.56178089,3.81781947,0.92583153,2.67485133,0.00682175,0.09744853,0.01825191,0.56448250,0.43785510,0.27040068
-5.55577789,3.77163853,0.90778195,2.64240884,0.00724130,0.09947754,0.01799107,0.55094029,0.44778163,0.26905335
-5.54977489,3.72696955,0.89025478,2.61118302,0.00767397,0.10160830,0.01770262,0.53737011,0.45848567,0.26768503
-5.54377189,3.68503540,0.87365962,2.58200364,0.00811782,0.10384446,0.01739228,0.52399213,0.46994155,0.26642512
-5.53776888,3.64698598,0.85838217,2.55565366,0.00857085,0.10618610,0.01706581,0.51101421,0.48210362,0.26539985
-5.53176588,3.61386832,0.84477343,2.53284933,0.00903103,0.10862952,0.01672879,0.49862734,0.49490686,0.26472844
-5.52576288,3.58660080,0.83314038,2.51422281,0.00949635,0.11116732,0.01638647,0.48700197,0.50826803,0.26451949
-5.51975988,3.56595216,0.82373827,2.50030772,0.00996489,0.11378857,0.01604370,0.47628503,0.52208745,0.26486797
-5.51375688,3.55252568,0.81676486,2.49152784,0.01043480,0.11647921,0.01570478,0.46659802,0.53625129,0.26585259
-5.50775388,3.54674871,0.81235669,2.48818927,0.01090438,0.11922254,0.01537348,0.45803580,0.55063427,0.26753387
-5.50175088,3.54886758,0.81058726,2.49047613,0.01137204,0.12199973,0.01505299,0.45066632,0.56510269,0.26995261
-5.49574787,3.55894757,0.81146738,2.49844963,0.01183630,0.12479044,0.01474594,0.44453103,0.57951768,0.27312902
-5.48974487,3.57687764,0.81494732,2.51205032,0.01229577,0.12757335,0.01445445,0.43964605,0.59373851,0.27706235
-5.48374187,3.60237922,0.82092070,2.53110331,0.01274909,0.13032663,0.01418020,0.43600378,0.60762586,0.28173099
-5.47773887,3.63501861,0.82922988,2.55532596,0.01319487,0.13302839,0.01392448,0.43357507,0.62104503,0.28709298
-5.47173587,3.67422195,0.83967252,2.58433750,0.01363160,0.13565693,0.01368828,0.43231161,0.63386874,0.29308700
-5.46573287,3.71929217,0.85200897,2.61767013,0.01405761,0.13819096,0.01347236,0.43214853,0.64597975,0.29963366
-5.45972986,3.76942712,0.86597023,2.65478100,0.01447089,0.14060968,0.01327733,0.43300706,0.65727287,0.30663708
-5.45372686,3.82373795,0.88126596,2.69506446,0.01486912,0.14289282,0.01310372,0.43479709,0.66765663,0.31398679
-5.44772386,3.88126729,0.89759231,2.73786425,0.01524953,0.14502059,0.01295197,0.43741963,0.67705423,0.32155989
-5.44172086,3.94100650,0.91463921,2.78248494,0.01560889,0.14697360,0.01282252,0.44076893,0.68540407,0.32922335
-5.43571786,4.00191170,0.93209684,2.82820258,0.01594348,0.14873287,0.01271574,0.44473439,0.69265957,0.33683659
-5.42971486,4.06291823,0.94966107,2.87427414,0.01624912,0.15027981,0.01263196,0.44920206,0.69878854,0.34425416
-5.42371186,4.12295353,0.96703774,2.91994583,0.01652122,0.15159629,0.01257143,0.45405588,0.70377196,0.35132857
-5.41770885,4.18094836,0.98394576,2.96446026,0.01675484,0.15266481,0.01253423,0.45917852,0.70760239,0.35791317
-5.41170585,4.23584677,1.00011897,3.00706265,0.01694489,0.15346873,0.01252024,0.46445199,0.71028201,0.36386510
-5.40570285,4.28661493,1.01530704,3.04700639,0.01708622,0.15399265,0.01252907,0.46975804,0.71182044,0.36904824
-5.39969985,4.33224936,1.02927541,3.08355831,0.01717380,0.15422273,0.01255993,0.47497841,0.71223241,0.37333603
-5.39369685,4.37178499,1.04180462,3.11600399,0.01720298,0.15414720,0.01261162,0.47999509,0.71153553,0.37661413
-5.38769385,4.40430332,1.05268935,3.14365358,0.01716962,0.15375680,0.01268247,0.48469053,0.70974814,0.37878296
-5.38169085,4.42894134,1.06173737,3.16584834,0.01707034,0.15304515,0.01277022,0.48894812,0.70688746,0.37975981
-5.37568784,4.44490121,1.06876867,3.18196835,0.01690268,0.15200921,0.01287206,0.49265281,0.70296810,0.37948073
