energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,3.61342923,0.32102313,0.01191947,0.23242284,1.12960622,0.93196726,0.01757705,2.05322933
-5.99399700,3.54606678,0.31332430,0.01104374,0.22063223,1.11495444,0.91142625,0.01710037,2.02744427
-5.98799400,3.46829564,0.30501805,0.01017422,0.20918856,1.09661588,0.88856214,0.01659673,1.99437329
-5.98199100,3.38110990,0.29621825,0.00932111,0.19825766,1.07489598,0.86364297,0.01607644,1.95443321
-5.97598799,3.28558783,0.28703608,0.00849329,0.18799262,1.05013574,0.83695331,0.01554951,1.90811625
-5.96998499,3.18287894,0.27757873,0.00769827,0.17853095,1.02270609,0.80879112,0.01502551,1.85598523
-5.96398199,3.07418991,0.26794819,0.00694218,0.16999241,0.99300166,0.77946449,0.01451327,1.79866706
-5.95797899,2.96076888,0.25824033,0.00622975,0.16247716,0.96143372,0.74928814,0.01402073,1.73684443
-5.95197599,2.84388803,0.24854396,0.00556444,0.15606465,0.92842258,0.71857946,0.01355475,1.67124541
-5.94597299,2.72482434,0.23894017,0.00494852,0.15081278,0.89438937,0.68765421,0.01312095,1.60263123
-5.93996998,2.60483880,0.22950161,0.00438321,0.14675769,0.85974754,0.65682179,0.01272364,1.53178228
-5.93396698,2.48515450,0.22029196,0.00386885,0.14391386,0.82489421,0.62638021,0.01236570,1.45948281
-5.92796398,2.36693423,0.21136550,0.00340507,0.14227463,0.79020177,0.59661086,0.01204860,1.38650492
-5.92196098,2.25125842,0.20276679,0.00299101,0.14181303,0.75600999,0.56777326,0.01177235,1.31359227
-5.91595798,2.13910442,0.19453063,0.00262542,0.14248290,0.72261911,0.54010000,0.01153557,1.24144446
-5.90995498,2.03132806,0.18668217,0.00230691,0.14422027,0.69028413,0.51379218,0.01133558,1.17070270
-5.90395198,1.92864849,0.17923741,0.00203407,0.14694495,0.65921068,0.48901542,0.01116849,1.10193747
-5.89794897,1.83163712,0.17220394,0.00180562,0.15056232,0.62955274,0.46589692,0.01102940,1.03563877
-5.89194597,1.74071136,0.16558203,0.00162055,0.15496533,0.60141225,0.44452347,0.01091256,0.97220946
-5.88594297,1.65613349,0.15936605,0.00147823,0.16003654,0.57484076,0.42494077,0.01081160,0.91196197
-5.87993997,1.57801493,0.15354614,0.00137849,0.16565041,0.54984299,0.40715401,0.01071976,0.85511848
-5.87393697,1.50632549,0.14811008,0.00132167,0.17167559,0.52638217,0.39112976,0.01063016,0.80181447
-5.86793397,1.44090746,0.14304528,0.00130870,0.17797733,0.50438677,0.37679908,0.01053602,0.75210533
-5.86193097,1.38149349,0.13834080,0.00134108,0.18441986,0.48375843,0.36406170,0.01043095,0.70597559
-5.85592796,1.32772749,0.13398918,0.00142089,0.19086881,0.46438051,0.35279115,0.01030913,0.66335017
-5.84992496,1.27918753,0.12998811,0.00155075,0.19719352,0.44612681,0.34284056,0.01016555,0.62410697
-5.84392196,1.23540942,0.12634166,0.00173375,0.20326928,0.42887012,0.33404887,0.00999618,0.58809003
-5.83791896,1.19590992,0.12306111,0.00197337,0.20897940,0.41249000,0.32624726,0.00979808,0.55512265
-5.83191596,1.16020856,0.12016521,0.00227334,0.21421711,0.39687957,0.31926540,0.00956951,0.52501958
-5.82591296,1.12784711,0.11767978,0.00263752,0.21888722,0.38195081,0.31293752,0.00930997,0.49759808
-5.81990995,1.09840595,0.11563682,0.00306970,0.22290747,0.36763843,0.30710786,0.00902014,0.47268701
-5.81390695,1.07151694,0.11407288,0.00357340,0.22620969,0.35390191,0.30163552,0.00870188,0.45013396
-5.80790395,1.04687247,0.11302707,0.00415172,0.22874053,0.34072596,0.29639855,0.00835812,0.42981013
-5.80190095,1.02423078,0.11253846,0.00480702,0.23046197,0.32811935,0.29129712,0.00799268,0.41161311
-5.79589795,1.00341769,0.11264332,0.00554081,0.23135145,0.31611242,0.28625598,0.00761017,0.39546753
-5.78989495,0.98432526,0.11337211,0.00635345,0.23140173,0.30475342,0.28122603,0.00721577,0.38132409
-5.78389195,0.96690794,0.11474658,0.00724401,0.23062051,0.29410414,0.27618514,0.00681503,0.36915723
-5.77788894,0.95117691,0.11677697,0.00821010,0.22902969,0.28423504,0.27113837,0.00641371,0.35896179
-5.77188594,0.93719326,0.11945969,0.00924775,0.22666454,0.27522041,0.26611755,0.00601760,0.35074937
-5.76588294,0.92506099,0.12277540,0.01035133,0.22357270,0.26713368,0.26118053,0.00563232,0.34454450
-5.75987994,0.91492017,0.12668791,0.01151359,0.21981298,0.26004339,0.25640998,0.00526326,0.34038134
-5.75387694,0.90694117,0.13114368,0.01272567,0.21545429,0.25400997,0.25191207,0.00491541,0.33830098
-5.74787394,0.90132014,0.13607228,0.01397730,0.21057438,0.24908343,0.24781491,0.00459332,0.33834970
-5.74187094,0.89827621,0.14138765,0.01525693,0.20525885,0.24530222,0.24426699,0.00430111,0.34057835
-5.73586793,0.89805041,0.14699013,0.01655208,0.19960005,0.24269311,0.24143553,0.00404240,0.34504276
-5.72986493,0.90090618,0.15276937,0.01784961,0.19369632,0.24127220,0.23950481,0.00382043,0.35180517
-5.72386193,0.90713142,0.15860769,0.01913612,0.18765125,0.24104672,0.23867453,0.00363804,0.36093643
-5.71785893,0.91704145,0.16438407,0.02039834,0.18157313,0.24201764,0.23915798,0.00349783,0.37251883
-5.71185593,0.93098245,0.16997832,0.02162354,0.17557462,0.24418269,0.24118027,0.00340225,0.38664900
-5.70585293,0.94933481,0.17527543,0.02279990,0.16977240,0.24753962,0.24497625,0.00335364,0.40344070
-5.69984992,0.97251568,0.18016967,0.02391690,0.16428699,0.25208939,0.25078830,0.00335443,0.42302711
-5.69384692,1.00098004,0.18456850,0.02496560,0.15924250,0.25783904,0.25886375,0.00340716,0.44556209
-5.68784392,1.03521975,0.18839586,0.02593888,0.15476632,0.26480398,0.26945198,0.00351456,0.47122023
-5.68184092,1.07575999,0.19159482,0.02683160,0.15098861,0.27300953,0.28280108,0.00367963,0.50019543
-5.67583792,1.12315273,0.19412944,0.02764060,0.14804152,0.28249152,0.29915404,0.00390562,0.53269768
-5.66983492,1.17796691,0.19598566,0.02836472,0.14605808,0.29329585,0.31874451,0.00419601,0.56894817
-5.66383192,1.24077538,0.19717139,0.02900460,0.14517066,0.30547710,0.34179201,0.00455445,0.60917253
-5.65782891,1.31213850,0.19771558,0.02956249,0.14550889,0.31909596,0.36849675,0.00498464,0.65359241
-5.65182591,1.39258490,0.19766649,0.03004192,0.14719715,0.33421594,0.39903401,0.00549021,0.70241570
-5.64582291,1.48258966,0.19708926,0.03044736,0.15035153,0.35089911,0.43354822,0.00607451,0.75582541
-5.63981991,1.58255072,0.19606274,0.03078382,0.15507626,0.36920139,0.47214679,0.00674040,0.81396792
-5.63381691,1.69276404,0.19467604,0.03105646,0.16145983,0.38916737,0.51489389,0.00749003,0.87694075
-5.62781391,1.81339864,0.19302464,0.03127019,0.16957079,0.41082502,0.56180423,0.00832457,0.94478035
-5.62181091,1.94447215,0.19120650,0.03142938,0.17945340,0.43418051,0.61283710,0.00924399,1.01745059
-5.61580790,2.08582810,0.18931827,0.03153752,0.19112340,0.45921331,0.66789077,0.01024677,1.09483202
-5.60980490,2.23711567,0.18745159,0.03159704,0.20456397,0.48587190,0.72679756,0.01132972,1.17671279
-5.60380190,2.39777309,0.18568994,0.03160918,0.21972222,0.51407017,0.78931968,0.01248778,1.26278127
-5.59779890,2.56701530,0.18410579,0.03157398,0.23650635,0.54368475,0.85514606,0.01371390,1.35262096
-5.59179590,2.74382686,0.18275840,0.03149031,0.25478373,0.57455330,0.92389056,0.01499892,1.44570790
-5.58579290,2.92696065,0.18169215,0.03135604,0.27438013,0.60647403,0.99509147,0.01633163,1.54141091
-5.57978989,3.11494289,0.18093554,0.03116822,0.29508023,0.63920626,1.06821286,0.01769880,1.63899470
-5.57378689,3.30608493,0.18050067,0.03092341,0.31662941,0.67247225,1.14264759,0.01908533,1.73762609
-5.56778389,3.49850179,0.18038342,0.03061791,0.33873720,0.70596017,1.21772242,0.02047452,1.83638333
-5.56178089,3.69013758,0.18056403,0.03024817,0.36108196,0.73932816,1.29270519,0.02184837,1.93426836
-5.55577789,3.87879747,0.18100823,0.02981109,0.38331713,0.77220945,1.36681404,0.02318799,2.03022204
-5.54977489,4.06218571,0.18166872,0.02930434,0.40507857,0.80421846,1.43922879,0.02447404,2.12314198
-5.54377189,4.23794902,0.18248698,0.02872664,0.42599308,0.83495768,1.50910428,0.02568728,2.21190264
-5.53776888,4.40372442,0.18339535,0.02807803,0.44568760,0.86402517,1.57558549,0.02680908,2.29537744
-5.53176588,4.55719030,0.18431939,0.02736001,0.46379892,0.89102271,1.63782421,0.02782205,2.37246221
-5.52576288,4.69611943,0.18518021,0.02657572,0.47998352,0.91556411,1.69499673,0.02871054,2.44209943
-5.51975988,4.81843248,0.18589708,0.02572997,0.49392715,0.93728373,1.74632240,0.02946123,2.50330282
-5.51375688,4.92225027,0.18638989,0.02482927,0.50535382,0.95584491,1.79108217,0.03006357,2.55518122
-5.50775388,5.00594333,0.18658169,0.02388175,0.51403382,0.97094801,1.82863689,0.03051027,2.59696147
