energy_ev,total_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.70325308,0.35858741,0.22461307,0.01582590,0.42009052,0.00658779,0.00000896
-5.99399700,0.64576020,0.32981108,0.20703536,0.01464054,0.38674595,0.00559994,0.00000813
-5.98799400,0.58921713,0.30136168,0.18957088,0.01344818,0.35370975,0.00473173,0.00000735
-5.98199100,0.53423417,0.27356680,0.17243936,0.01226584,0.32137791,0.00397457,0.00000661
-5.97598799,0.48135479,0.24671905,0.15583933,0.01110897,0.29010588,0.00331928,0.00000593
-5.96998499,0.43104846,0.22107165,0.13994514,0.00999118,0.26020330,0.00275635,0.00000530
-5.96398199,0.38370664,0.19683585,0.12490512,0.00892407,0.23193082,0.00227628,0.00000474
-5.95797899,0.33964185,0.17417994,0.11084087,0.00791709,0.20549895,0.00186983,0.00000424
-5.95197599,0.29908958,0.15322990,0.09784762,0.00697759,0.18106873,0.00152814,0.00000380
-5.94597299,0.26221275,0.13407139,0.08599544,0.00611085,0.15875414,0.00124295,0.00000344
-5.93996998,0.22910829,0.11675295,0.07533136,0.00532020,0.13862588,0.00100662,0.00000315
-5.93396698,0.19981520,0.10129007,0.06588193,0.00460723,0.12071621,0.00081225,0.00000295
-5.92796398,0.17432375,0.08766987,0.05765630,0.00397198,0.10502451,0.00065363,0.00000282
-5.92196098,0.15258500,0.07585616,0.05064941,0.00341319,0.09152323,0.00052530,0.00000278
-5.91595798,0.13452040,0.06579446,0.04484523,0.00292854,0.08016389,0.00042248,0.00000284
-5.90995498,0.12003066,0.05741696,0.04021982,0.00251491,0.07088275,0.00034106,0.00000299
-5.90395198,0.10900375,0.05064690,0.03674402,0.00216858,0.06360598,0.00027751,0.00000324
-5.89794897,0.10132150,0.04540254,0.03438574,0.00188547,0.05825408,0.00022886,0.00000361
-5.89194597,0.09686461,0.04160029,0.03311171,0.00166129,0.05474538,0.00019264,0.00000410
-5.88594297,0.09551595,0.03915714,0.03288859,0.00149170,0.05299850,0.00016676,0.00000471
-5.87993997,0.09716199,0.03799224,0.03368349,0.00137243,0.05293384,0.00014953,0.00000545
-5.87393697,0.10169258,0.03802771,0.03546390,0.00129934,0.05447398,0.00013956,0.00000634
-5.86793397,0.10899903,0.03918863,0.03819702,0.00126846,0.05754315,0.00013572,0.00000737
-5.86193097,0.11897083,0.04140253,0.04184862,0.00127603,0.06206590,0.00013707,0.00000856
-5.85592796,0.13149120,0.04459815,0.04638156,0.00131846,0.06796505,0.00014284,0.00000991
-5.84992496,0.14643199,0.04870397,0.05175396,0.00139232,0.07515920,0.00015241,0.00001141
-5.84392196,0.16364807,0.05364641,0.05791733,0.00149431,0.08355999,0.00016524,0.00001308
-5.83791896,0.18297185,0.05934801,0.06481465,0.00162115,0.09306929,0.00018084,0.00001491
-5.83191596,0.20420818,0.06572560,0.07237865,0.00176962,0.10357660,0.00019878,0.00001688
-5.82591296,0.22713020,0.07268882,0.08053037,0.00193641,0.11495687,0.00021865,0.00001900
-5.81990995,0.25147629,0.08013895,0.08917820,0.00211815,0.12706893,0.00024006,0.00002124
-5.81390695,0.27694870,0.08796824,0.09821739,0.00231137,0.13975467,0.00026260,0.00002359
-5.80790395,0.30321384,0.09605979,0.10753029,0.00251245,0.15283918,0.00028587,0.00002603
-5.80190095,0.32990465,0.10428817,0.11698718,0.00271766,0.16613183,0.00030945,0.00002853
-5.79589795,0.35662486,0.11252059,0.12644788,0.00292318,0.17942843,0.00033291,0.00003106
-5.78989495,0.38295526,0.12061873,0.13576402,0.00312512,0.19251432,0.00035581,0.00003359
-5.78389195,0.40846177,0.12844122,0.14478194,0.00331958,0.20516845,0.00037774,0.00003609
-5.77788894,0.43270502,0.13584659,0.15334613,0.00350273,0.21716816,0.00039825,0.00003851
-5.77188594,0.45525111,0.14269653,0.16130309,0.00367090,0.22829458,0.00041694,0.00004081
-5.76588294,0.47568312,0.14885950,0.16850540,0.00382064,0.23833843,0.00043344,0.00004297
-5.75987994,0.49361279,0.15421428,0.17481596,0.00394882,0.24710583,0.00044738,0.00004494
-5.75387694,0.50869198,0.15865354,0.18011197,0.00405272,0.25442400,0.00045849,0.00004669
-5.74787394,0.52062322,0.16208701,0.18428875,0.00413012,0.26014655,0.00046652,0.00004819
-5.74187094,0.52916901,0.16444428,0.18726297,0.00417934,0.26415799,0.00047129,0.00004941
-5.73586793,0.53415928,0.16567697,0.18897531,0.00419929,0.26637738,0.00047270,0.00005032
-5.72986493,0.53549668,0.16576025,0.18939235,0.00418955,0.26676085,0.00047072,0.00005092
-5.72386193,0.53315954,0.16469352,0.18850750,0.00415029,0.26530290,0.00046538,0.00005118
-5.71785893,0.52720220,0.16250030,0.18634117,0.00408236,0.26203638,0.00045680,0.00005111
-5.71185593,0.51775281,0.15922731,0.18293992,0.00398719,0.25703120,0.00044517,0.00005070
-5.70585293,0.50500861,0.15494277,0.17837475,0.00386675,0.25039178,0.00043072,0.00004997
-5.69984992,0.48922910,0.14973398,0.17273863,0.00372350,0.24225336,0.00041376,0.00004893
-5.69384692,0.47072711,0.14370434,0.16614335,0.00356029,0.23277743,0.00039463,0.00004760
-5.68784392,0.44985859,0.13696997,0.15871580,0.00338026,0.22214638,0.00037371,0.00004600
-5.68184092,0.42701117,0.12965595,0.15059395,0.00318675,0.21055766,0.00035139,0.00004417
-5.67583792,0.40259238,0.12189251,0.14192264,0.00298321,0.19821777,0.00032808,0.00004214
-5.66983492,0.37701768,0.11381123,0.13284931,0.00277306,0.18533621,0.00030420,0.00003994
-5.66383192,0.35069906,0.10554146,0.12351997,0.00255964,0.17211973,0.00028017,0.00003761
-5.65782891,0.32403444,0.09720698,0.11407547,0.00234610,0.15876704,0.00025637,0.00003519
-5.65182591,0.29739833,0.08892322,0.10464814,0.00213532,0.14546419,0.00023320,0.00003271
-5.64582291,0.27113396,0.08079481,0.09535910,0.00192991,0.13238069,0.00021104,0.00003021
-5.63981991,0.24554714,0.07291392,0.08631605,0.00173208,0.11966657,0.00019024,0.00002773
-5.63381691,0.22090184,0.06535892,0.07761175,0.00154370,0.10745031,0.00017118,0.00002528
-5.62781391,0.19741764,0.05819388,0.06932313,0.00136624,0.09583763,0.00015426,0.00002290
-5.62181091,0.17526877,0.05146838,0.06151101,0.00120078,0.08491124,0.00013991,0.00002061
-5.61580790,0.15458480,0.04521797,0.05422035,0.00104804,0.07473125,0.00012865,0.00001843
-5.60980490,0.13545267,0.03946499,0.04748099,0.00090840,0.06533633,0.00012111,0.00001638
-5.60380190,0.11791985,0.03421969,0.04130878,0.00078193,0.05674539,0.00011807,0.00001446
-5.59779890,0.10199837,0.02948169,0.03570706,0.00066843,0.04895967,0.00012058,0.00001268
-5.59179590,0.08766953,0.02524158,0.03066831,0.00056749,0.04196510,0.00012994,0.00001105
-5.58579290,0.07488890,0.02148257,0.02617591,0.00047850,0.03573484,0.00014789,0.00000956
-5.57978989,0.06359156,0.01818225,0.02220603,0.00040073,0.03023183,0.00017664,0.00000823
-5.57378689,0.05369721,0.01531424,0.01872937,0.00033334,0.02541130,0.00021903,0.00000703
-5.56778389,0.04511513,0.01284979,0.01571296,0.00027545,0.02122311,0.00027868,0.00000597
-5.56178089,0.03774872,0.01075926,0.01312169,0.00022614,0.01761390,0.00036009,0.00000503
-5.55577789,0.03149963,0.00901341,0.01091978,0.00018451,0.01452895,0.00046891,0.00000422
-5.54977489,0.02627139,0.00758459,0.00907200,0.00014965,0.01191384,0.00061202,0.00000351
-5.54377189,0.02197250,0.00644768,0.00754476,0.00012075,0.00971573,0.00079781,0.00000290
-5.53776888,0.01851890,0.00558090,0.00630689,0.00009702,0.00788441,0.00103634,0.00000239
-5.53176588,0.01583598,0.00496645,0.00533037,0.00007774,0.00637310,0.00133953,0.00000195
-5.52576288,0.01386004,0.00459094,0.00459080,0.00006227,0.00513891,0.00172136,0.00000158
-5.51975988,0.01253923,0.00444572,0.00406766,0.00005006,0.00414324,0.00219799,0.00000127
-5.51375688,0.01183408,0.00452700,0.00374453,0.00004061,0.00335181,0.00278786,0.00000102
-5.50775388,0.01171758,0.00483583,0.00360907,0.00003350,0.00273471,0.00351174,0.00000081
-5.50175088,0.01217485,0.00537799,0.00365290,0.00002838,0.00226619,0.00439265,0.00000064
-5.49574787,0.01320245,0.00616361,0.00387141,0.00002497,0.00192448,0.00545573,0.00000050
-5.48974487,0.01480734,0.00720675,0.00426340,0.00002302,0.00169139,0.00672794,0.00000039
-5.48374187,0.01700546,0.00852479,0.00483063,0.00002235,0.00155204,0.00823766,0.00000030
-5.47773887,0.01982008,0.01013759,0.00557731,0.00002282,0.00149441,0.01001410,0.00000023
