energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.11160107,0.00181362,0.33976919,0.08147335,0.94141597,1.05441189,0.72514068,0.08186561,0.80278680
-5.99399700,2.97219920,0.00182673,0.30797962,0.07860178,0.91363584,0.96622012,0.70523100,0.08088986,0.75622155
-5.98799400,2.84583830,0.00187502,0.27943825,0.07587504,0.88699682,0.88605965,0.68636815,0.07973215,0.71588559
-5.98199100,2.73082968,0.00195923,0.25388548,0.07327804,0.86133352,0.81334835,0.66834018,0.07840167,0.68081748
-5.97598799,2.62565613,0.00208020,0.23106598,0.07079917,0.83651827,0.74752057,0.65096499,0.07691201,0.65014715
-5.96998499,2.52897984,0.00223886,0.21073371,0.06843032,0.81246114,0.68803863,0.63409203,0.07528044,0.62309739
-5.96398199,2.43964381,0.00243606,0.19265592,0.06616669,0.78910850,0.63440155,0.61760271,0.07352706,0.59898312
-5.95797899,2.35666816,0.00267252,0.17661604,0.06400658,0.76644036,0.58615102,0.60140976,0.07167399,0.57720897
-5.95197599,2.27924233,0.00294868,0.16241573,0.06195110,0.74446704,0.54287526,0.58545580,0.06974470,0.55726545
-5.94597299,2.20671448,0.00326459,0.14987613,0.06000376,0.72322535,0.50421090,0.56971132,0.06776331,0.53872404
-5.93996998,2.13857898,0.00361976,0.13883843,0.05817015,0.70277459,0.46984346,0.55417217,0.06575403,0.52123161
-5.93396698,2.07446279,0.00401308,0.12916383,0.05645754,0.68319259,0.43950666,0.53885692,0.06374077,0.50450429
-5.92796398,2.01411128,0.00444266,0.12073314,0.05487459,0.66457192,0.41298088,0.52380396,0.06174680,0.48832116
-5.92196098,1.95737380,0.00490579,0.11344599,0.05343093,0.64701612,0.39009089,0.50906844,0.05979445,0.47251785
-5.91595798,1.90418919,0.00539882,0.10721970,0.05213691,0.63063617,0.37070309,0.49471913,0.05790500,0.45698014
-5.90995498,1.85457110,0.00591717,0.10198804,0.05100327,0.61554688,0.35472231,0.48083504,0.05609851,0.44163762
-5.90395198,1.80859308,0.00645527,0.09769975,0.05004081,0.60186331,0.34208810,0.46750184,0.05439375,0.42645748
-5.89794897,1.76637329,0.00700665,0.09431687,0.04926008,0.58969689,0.33277062,0.45480806,0.05280799,0.41143841
-5.89194597,1.72805876,0.00756394,0.09181302,0.04867105,0.57915147,0.32676606,0.44284103,0.05135694,0.39660451
-5.88594297,1.69380927,0.00811905,0.09017151,0.04828273,0.57031900,0.32409155,0.43168257,0.05005449,0.38199947
-5.87993997,1.66378082,0.00866329,0.08938344,0.04810279,0.56327512,0.32477963,0.42140463,0.04891251,0.36768070
-5.87393697,1.63810931,0.00918757,0.08944570,0.04813723,0.55807461,0.32887232,0.41206483,0.04794055,0.35371379
-5.86793397,1.61689465,0.00968263,0.09035890,0.04838990,0.55474697,0.33641488,0.40370234,0.04714549,0.34016722
-5.86193097,1.60018601,0.01013928,0.09212552,0.04886222,0.55329231,0.34744937,0.39633398,0.04653127,0.32710736
-5.85592796,1.58796892,0.01054866,0.09474794,0.04955282,0.55367786,0.36200830,0.38995113,0.04609855,0.31459413
-5.84992496,1.58015496,0.01090252,0.09822677,0.05045726,0.55583531,0.38010856,0.38451746,0.04584444,0.30267720
-5.84392196,1.57657467,0.01119347,0.10255938,0.05156791,0.55965935,0.40174589,0.37996774,0.04576230,0.29139294
-5.83791896,1.57697438,0.01141524,0.10773869,0.05287383,0.56500747,0.42689014,0.37620805,0.04584168,0.28076240
-5.83191596,1.58101737,0.01156288,0.11375239,0.05436085,0.57170139,0.45548168,0.37311733,0.04606833,0.27079006
-5.82591296,1.58828949,0.01163290,0.12058255,0.05601172,0.57953004,0.48742912,0.37055047,0.04642439,0.26146370
-5.81990995,1.59830943,0.01162348,0.12820571,0.05780646,0.58825415,0.52260848,0.36834282,0.04688872,0.25275522
-5.81390695,1.61054312,0.01153445,0.13659343,0.05972278,0.59761227,0.56086412,0.36631607,0.04743735,0.24462237
-5.80790395,1.62442179,0.01136732,0.14571340,0.06173662,0.60732816,0.60201120,0.36428522,0.04804415,0.23701125
-5.80190095,1.63936291,0.01112528,0.15553096,0.06382276,0.61711898,0.64583992,0.36206639,0.04868150,0.22985946
-5.79589795,1.65479291,0.01081303,0.16601111,0.06595555,0.62670415,0.69212105,0.35948518,0.04932112,0.22309963
-5.78989495,1.67017054,0.01043663,0.17712074,0.06810955,0.63581428,0.74061286,0.35638502,0.04993494,0.21666321
-5.78389195,1.68500964,0.01000336,0.18883126,0.07026022,0.64419973,0.79106882,0.35263537,0.05049597,0.21048415
-5.77788894,1.69890009,0.00952140,0.20112123,0.07238456,0.65163848,0.84324583,0.34813906,0.05097910,0.20450224
