energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,4.08753554,0.01610964,0.03505193,1.51711724,1.34364890,0.07244266,2.72151673,0.92023608,0.34854804
-5.99399700,4.11091182,0.01515224,0.03495643,1.51865294,1.36109173,0.07342260,2.73701025,0.91852357,0.34986300
-5.98799400,4.12465269,0.01441156,0.03482625,1.51665431,1.37528347,0.07420466,2.74565193,0.91497427,0.35009728
-5.98199100,4.12837585,0.01389836,0.03465997,1.51101791,1.38600284,0.07477683,2.74718433,0.90964944,0.34923407
-5.97598799,4.12179809,0.01362312,0.03445640,1.50168486,1.39305948,0.07512930,2.74142230,0.90264383,0.34726889
-5.96998499,4.10475146,0.01359595,0.03421472,1.48864724,1.39630002,0.07525488,2.72826414,0.89408678,0.34421049
-5.96398199,4.07719848,0.01382643,0.03393452,1.47195349,1.39561399,0.07514947,2.70770196,0.88414248,0.34008145
-5.95797899,4.03924501,0.01432338,0.03361585,1.45171239,1.39093927,0.07481242,2.67983020,0.87300908,0.33491871
-5.95197599,3.99114957,0.01509460,0.03325928,1.42809504,1.38226651,0.07424678,2.64485166,0.86091637,0.32877361
-5.94597299,3.93332817,0.01614648,0.03286591,1.40133457,1.36964235,0.07345952,2.60308023,0.84812204,0.32171169
-5.93996998,3.86635352,0.01748359,0.03243744,1.37172330,1.35317112,0.07246147,2.55493971,0.83490616,0.31381186
-5.93396698,3.79094815,0.01910812,0.03197609,1.33960717,1.33301460,0.07126719,2.50095835,0.82156417,0.30516524
-5.92796398,3.70797109,0.02101937,0.03148456,1.30537760,1.30938988,0.06989470,2.44175903,0.80839827,0.29587340
-5.92196098,3.61839827,0.02321315,0.03096598,1.26946096,1.28256519,0.06836498,2.37804505,0.79570762,0.28604617
-5.91595798,3.52329724,0.02568117,0.03042374,1.23230597,1.25285370,0.06670136,2.31058213,0.78377756,0.27579903
-5.90995498,3.42379707,0.02841050,0.02986139,1.19436977,1.22060563,0.06492886,2.24017716,0.77286835,0.26525024
-5.90395198,3.32105471,0.03138309,0.02928245,1.15610304,1.18619872,0.06307334,2.16765477,0.76320403,0.25451772
-5.89794897,3.21621961,0.03457539,0.02869027,1.11793521,1.15002778,0.06116069,2.09383260,0.75496182,0.24371588
-5.89194597,3.11039803,0.03795810,0.02808785,1.08026028,1.11249343,0.05921598,2.01949669,0.74826280,0.23295265
-5.88594297,3.00461920,0.04149621,0.02747770,1.04342419,1.07399087,0.05726270,1.94537820,0.74316441,0.22232659
-5.87993997,2.89980488,0.04514914,0.02686174,1.00771433,1.03489895,0.05532199,1.87213251,0.73965527,0.21192455
-5.87393697,2.79674414,0.04887121,0.02624117,0.97335185,0.99557029,0.05341216,1.80032203,0.73765278,0.20181969
-5.86793397,2.69607463,0.05261235,0.02561649,0.94048715,0.95632277,0.05154815,1.73040345,0.73700384,0.19207022
-5.86193097,2.59827141,0.05631911,0.02498747,0.90919885,0.91743290,0.04974136,1.66272018,0.73748884,0.18271869
-5.85592796,2.50364395,0.05993584,0.02435322,0.87949634,0.87913129,0.04799958,1.59750033,0.73882891,0.17379206
-5.84992496,2.41234137,0.06340620,0.02371232,0.85132567,0.84160050,0.04632709,1.53486021,0.74069623,0.16530231
-5.84392196,2.32436573,0.06667482,0.02306295,0.82457864,0.80497527,0.04472499,1.47481329,0.74272715,0.15724778
-5.83791896,2.23959238,0.06968903,0.02240308,0.79910441,0.76934509,0.04319166,1.41728384,0.74453744,0.14961497
-5.83191596,2.15779642,0.07240075,0.02173068,0.77472311,0.73475887,0.04172339,1.36212457,0.74573921,0.14238080
-5.82591296,2.07868357,0.07476829,0.02104397,0.75124069,0.70123142,0.04031505,1.30913726,0.74595853,0.13551508
