energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.23951348,0.00665261,0.34634228,0.14719152,2.25772651,0.73194900,0.02557638,0.68795709
-5.99399700,2.29232892,0.00673096,0.35498706,0.15255956,2.31081216,0.74921792,0.02652882,0.70344633
-5.98799400,2.33310838,0.00679209,0.36136063,0.15731499,2.34926500,0.76256518,0.02737629,0.71593831
-5.98199100,2.36065421,0.00683141,0.36531452,0.16134446,2.37212554,0.77159629,0.02809934,0.72500460
-5.97598799,2.37410184,0.00684554,0.36675263,0.16455511,2.37878255,0.77602488,0.02868171,0.73031698
-5.96998499,2.37294884,0.00683242,0.36563467,0.16687813,2.36899349,0.77568212,0.02911099,0.73165853
-5.96398199,2.35707118,0.00679140,0.36197757,0.16827162,2.34289203,0.77052200,0.02937902,0.72893065
-5.95797899,2.32672596,0.00672322,0.35585495,0.16872268,2.30098205,0.76062209,0.02948223,0.72215596
-5.95197599,2.28254057,0.00663008,0.34739457,0.16824852,2.24411882,0.74618001,0.02942177,0.71147672
-5.94597299,2.22548911,0.00651549,0.33677391,0.16689669,2.17347804,0.72750552,0.02920349,0.69714914
-5.93996998,2.15685692,0.00638426,0.32421421,0.16474440,2.09051450,0.70500883,0.02883772,0.67953369
-5.93396698,2.07819526,0.00624232,0.30997310,0.16189682,1.99691238,0.67918569,0.02833887,0.65908198
-5.92796398,1.99126804,0.00609655,0.29433636,0.15848460,1.89452945,0.65059975,0.02772496,0.63632077
-5.92196098,1.89799309,0.00595467,0.27760902,0.15466066,1.78533783,0.61986325,0.02701688,0.61183380
-5.91595798,1.80038052,0.00582495,0.26010631,0.15059633,1.67136394,0.58761668,0.02623763,0.58624227
-5.90995498,1.70047079,0.00571608,0.24214482,0.14647700,1.55463010,0.55450840,0.02541151,0.56018473
-5.90395198,1.60027485,0.00563687,0.22403420,0.14249749,1.43710012,0.52117497,0.02456320,0.53429730
-5.89794897,1.50171875,0.00559612,0.20606970,0.13885728,1.32063085,0.48822295,0.02371685,0.50919479
-5.89194597,1.40659451,0.00560229,0.18852582,0.13575563,1.20693118,0.45621286,0.02289530,0.48545355
-5.88594297,1.31651884,0.00566338,0.17165123,0.13338697,1.09752952,0.42564578,0.02211920,0.46359668
-5.87993997,1.23290071,0.00578665,0.15566494,0.13193645,0.99375037,0.39695292,0.02140643,0.44408185
-5.87393697,1.15691856,0.00597846,0.14075397,0.13157584,0.89670007,0.37048850,0.02077148,0.42729222
-5.86793397,1.08950706,0.00624405,0.12707225,0.13245998,0.80726122,0.34652584,0.02022503,0.41353064
-5.86193097,1.03135340,0.00658737,0.11474066,0.13472353,0.72609520,0.32525671,0.01977377,0.40301703
-5.85592796,0.98290237,0.00701095,0.10384830,0.13847850,0.65365166,0.30679374,0.01942023,0.39588900
-5.84992496,0.94436933,0.00751570,0.09445441,0.14381208,0.59018368,0.29117543,0.01916292,0.39220540
-5.84392196,0.91575989,0.00810086,0.08659111,0.15078526,0.53576737,0.27837353,0.01899653,0.39195249
-5.83791896,0.89689504,0.00876382,0.08026657,0.15943185,0.49032439,0.26830228,0.01891231,0.39505247
-5.83191596,0.88744018,0.00950014,0.07546834,0.16975814,0.45364613,0.26082890,0.01889856,0.40137362
-5.82591296,0.88693678,0.01030348,0.07216690,0.18174302,0.42541831,0.25578508,0.01894122,0.41074184
-5.81990995,0.89483503,0.01116564,0.07031901,0.19533871,0.40524479,0.25297861,0.01902453,0.42295285
-5.81390695,0.91052631,0.01207657,0.06987096,0.21047187,0.39266999,0.25220499,0.01913172,0.43778467
-5.80790395,0.93337421,0.01302456,0.07076140,0.22704524,0.38719895,0.25325838,0.01924573,0.45500964
-5.80190095,0.96274291,0.01399636,0.07292386,0.24493965,0.38831478,0.25594152,0.01934988,0.47440575
-5.79589795,0.99802211,0.01497740,0.07628886,0.26401641,0.39549306,0.26007439,0.01942853,0.49576659
-5.78989495,1.03864778,0.01595208,0.08078556,0.28412011,0.40821327,0.26550118,0.01946765,0.51890969
-5.78389195,1.08411801,0.01690412,0.08634292,0.30508152,0.42596716,0.27209553,0.01945527,0.54368288
-5.77788894,1.13400394,0.01781690,0.09289059,0.32672085,0.44826427,0.27976380,0.01938190,0.56996840
-5.77188594,1.18795524,0.01867385,0.10035928,0.34885099,0.47463498,0.28844643,0.01924074,0.59768465
-5.76588294,1.24570056,0.01945896,0.10868083,0.37128092,0.50463128,0.29811738,0.01902787,0.62678564
-5.75987994,1.30704296,0.02015714,0.11778808,0.39381890,0.53782570,0.30878175,0.01874222,0.65725804
-5.75387694,1.37185092,0.02075469,0.12761437,0.41627567,0.57380884,0.32047185,0.01838548,0.68911606
-5.74787394,1.44004545,0.02123972,0.13809295,0.43846735,0.61218584,0.33324188,0.01796194,0.72239451
-5.74187094,1.51158418,0.02160249,0.14915630,0.46021813,0.65257224,0.34716157,0.01747815,0.75714030
-5.73586793,1.58644327,0.02183576,0.16073532,0.48136254,0.69458963,0.36230907,0.01694259,0.79340287
-5.72986493,1.66459814,0.02193500,0.17275860,0.50174745,0.73786133,0.37876362,0.01636523,0.83122397
-5.72386193,1.74600413,0.02189858,0.18515176,0.52123373,0.78200865,0.39659808,0.01575713,0.87062746
-5.71785893,1.83057810,0.02172781,0.19783696,0.53969744,0.82664774,0.41587203,0.01512996,0.91160956
-5.71185593,1.91818200,0.02142696,0.21073256,0.55703089,0.87138761,0.43662554,0.01449554,0.95413014
-5.70585293,2.00860939,0.02100308,0.22375309,0.57314321,0.91582920,0.45887396,0.01386547,0.99810552
-5.69984992,2.10157561,0.02046586,0.23680953,0.58796091,0.95956592,0.48260407,0.01325071,1.04340324
-5.69384692,2.19671224,0.01982727,0.24980982,0.60142808,1.00218553,0.50777162,0.01266128,1.08983915
-5.68784392,2.29356621,0.01910127,0.26265986,0.61350655,1.04327360,0.53430041,0.01210602,1.13717692
