energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,2.85276672,0.00984069,0.41782099,0.90289999,0.37495060,0.80829257,1.05580299,0.02249574,1.24906905
-5.99399700,2.88717196,0.01082043,0.40458195,0.94766368,0.38832013,0.82499651,1.03679201,0.02337472,1.28997635
-5.98799400,2.91783243,0.01185652,0.39042638,0.99313047,0.40121385,0.84145189,1.01552179,0.02415753,1.33009186
-5.98199100,2.94436752,0.01294021,0.37559302,1.03881350,0.41344138,0.85755473,0.99232867,0.02483106,1.36886290
-5.97598799,2.96645704,0.01406129,0.36032483,1.08421399,0.42482350,0.87320118,0.96756741,0.02538455,1.40576183
-5.96998499,2.98385399,0.01520825,0.34486415,1.12883200,0.43519705,0.88829085,0.94160515,0.02580984,1.44030003
-5.96398199,2.99639568,0.01636850,0.32944837,1.17217717,0.44441942,0.90273056,0.91481555,0.02610168,1.47204054
-5.95797899,3.00401294,0.01752868,0.31430612,1.21377958,0.45237235,0.91643851,0.88757347,0.02625786,1.50060913
-5.95197599,3.00673734,0.01867496,0.29965401,1.25320020,0.45896513,0.92934861,0.86025005,0.02627927,1.52570349
-5.94597299,3.00470598,0.01979341,0.28569416,1.29004100,0.46413701,0.94141504,0.83320852,0.02616980,1.54710042
-5.93996998,2.99816387,0.02087042,0.27261219,1.32395426,0.46785870,0.95261654,0.80680053,0.02593623,1.56466079
-5.93396698,2.98746347,0.02189309,0.26057592,1.35465095,0.47013315,0.96296051,0.78136296,0.02558796,1.57833233
-5.92796398,2.97306118,0.02284962,0.24973449,1.38190773,0.47099536,0.97248618,0.75721522,0.02513664,1.58814987
-5.92196098,2.95551070,0.02372969,0.24021780,1.40557239,0.47051134,0.98126699,0.73465678,0.02459580,1.59423328
-5.91595798,2.93545289,0.02452476,0.23213623,1.42556725,0.46877617,0.98941143,0.71396481,0.02398038,1.59678288
-5.90995498,2.91360211,0.02522834,0.22558050,1.44189037,0.46591133,0.99706242,0.69539184,0.02330626,1.59607237
-5.90395198,2.89072915,0.02583614,0.22062142,1.45461423,0.46206115,1.00439473,0.67916316,0.02258974,1.59243947
-5.89794897,2.86764062,0.02634616,0.21730970,1.46388179,0.45738862,1.01161053,0.66547412,0.02184704,1.58627428
-5.89194597,2.84515547,0.02675865,0.21567544,1.46989977,0.45207061,1.01893286,0.65448697,0.02109385,1.57800560
-5.88594297,2.82407893,0.02707602,0.21572768,1.47292934,0.44629254,1.02659726,0.64632757,0.02034488,1.56808567
-5.87993997,2.80517460,0.02730255,0.21745361,1.47327448,0.44024280,1.03484176,0.64108184,0.01961346,1.55697354
-5.87393697,2.78913584,0.02744416,0.22081786,1.47126814,0.43410696,1.04389553,0.63879223,0.01891122,1.54511785
-5.86793397,2.77655727,0.02750799,0.22576177,1.46725716,0.42806198,1.05396677,0.63945427,0.01824785,1.53293934
-5.86193097,2.76790791,0.02750198,0.23220279,1.46158616,0.42227068,1.06523038,0.64301364,0.01763091,1.52081409
-5.85592796,2.76350699,0.02743443,0.24003419,1.45458150,0.41687654,1.07781602,0.64936387,0.01706568,1.50905804
-5.84992496,2.76350394,0.02731356,0.24912521,1.44653599,0.41199920,1.09179726,0.65834492,0.01655524,1.49791348
-5.84392196,2.76786372,0.02714709,0.25932168,1.43769512,0.40773067,1.10718247,0.66974313,0.01610038,1.48753840
-5.83791896,2.77635834,0.02694185,0.27044736,1.42824573,0.40413256,1.12390799,0.68329237,0.01569986,1.47799913
-5.83191596,2.78856567,0.02670353,0.28230592,1.41830763,0.40123427,1.14183404,0.69867689,0.01535049,1.46926688
-5.82591296,2.80387560,0.02643642,0.29468372,1.40792878,0.39903242,1.16074384,0.71553573,0.01504741,1.46121827
-5.81990995,2.82150398,0.02614335,0.30735321,1.39708435,0.39749139,1.18034592,0.73346872,0.01478437,1.45364029
-5.81390695,2.84051371,0.02582561,0.32007708,1.38567964,0.39654504,1.20027975,0.75204400,0.01455405,1.44623916
-5.80790395,2.85984244,0.02548312,0.33261288,1.37355688,0.39609944,1.22012453,0.77080681,0.01434839,1.43865314
-5.80190095,2.87833578,0.02511452,0.34471803,1.36050544,0.39603662,1.23941063,0.78928928,0.01415890,1.43046833
-5.79589795,2.89478451,0.02471748,0.35615508,1.34627484,0.39621901,1.25763343,0.80702096,0.01397706,1.42123709
-5.78989495,2.90796438,0.02428898,0.36669699,1.33059001,0.39649452,1.27426876,0.82353963,0.01379458,1.41049793
-5.78389195,2.91667660,0.02382562,0.37613220,1.31316772,0.39670197,1.28878935,0.83840200,0.01360372,1.39779600
-5.77788894,2.91978737,0.02332402,0.38426941,1.29373340,0.39667662,1.30068163,0.85119401,0.01339750,1.38270319
-5.77188594,2.91626481,0.02278111,0.39094176,1.27203740,0.39625569,1.30946206,0.86154020,0.01316997,1.36483691
-5.76588294,2.90521173,0.02219445,0.39601043,1.24786990,0.39528350,1.31469250,0.86911212,0.01291632,1.34387653
-5.75987994,2.88589310,0.02156250,0.39936734,1.22107361,0.39361628,1.31599392,0.87363513,0.01263296,1.31957699
