energy_ev,total_up,Ru_p_up,Ru_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,1.43202420,0.87481427,0.81849992,0.37616335,0.00058334,0.47504767,0.00000000
-5.99399700,1.46220706,0.89751548,0.83616682,0.37784695,0.00060086,0.48870143,0.00000000
-5.98799400,1.49472210,0.92044731,0.85565551,0.37960327,0.00061736,0.50384305,0.00000000
-5.98199100,1.52985876,0.94381134,0.87714508,0.38168571,0.00063278,0.52048589,0.00000000
-5.97598799,1.56788838,0.96781992,0.90079317,0.38436416,0.00064708,0.53861695,0.00000000
-5.96998499,1.60905122,0.99268613,0.92672921,0.38791634,0.00066026,0.55819530,0.00000000
-5.96398199,1.65354525,1.01861429,0.95504891,0.39261843,0.00067234,0.57915193,0.00000000
-5.95797899,1.70151665,1.04579085,0.98580976,0.39873548,0.00068335,0.60139091,0.00000000
-5.95197599,1.75305208,1.07437597,1.01902766,0.40651171,0.00069335,0.62479155,0.00000000
-5.94597299,1.80817232,1.10449558,1.05467451,0.41616114,0.00070242,0.64921137,0.00000000
-5.93996998,1.86682734,1.13623403,1.09267643,0.42785881,0.00071064,0.67448942,0.00000000
-5.93396698,1.92889237,1.16962730,1.13291279,0.44173283,0.00071813,0.70044978,0.00000000
-5.92796398,1.99416490,1.20465680,1.17521551,0.45785767,0.00072498,0.72690497,0.00000000
-5.92196098,2.06236253,1.24124392,1.21936900,0.47624875,0.00073133,0.75365898,0.00000000
-5.91595798,2.13312165,1.27924534,1.26511036,0.49685880,0.00073729,0.78050978,0.00000000
-5.90995498,2.20599710,1.31844962,1.31213014,0.51957595,0.00074298,0.80725139,0.00000000
-5.90395198,2.28046304,1.35857511,1.36007370,0.54422384,0.00074852,0.83367533,0.00000000
-5.89794897,2.35591538,1.39926969,1.40854341,0.57056374,0.00075401,0.85957173,0.00000000
-5.89194597,2.43167617,1.44011267,1.45710182,0.59829878,0.00075954,0.88473015,0.00000000
-5.88594297,2.50700028,1.48061919,1.50527613,0.62708021,0.00076518,0.90894026,0.00000000
-5.87993997,2.58108482,1.52024752,1.55256411,0.65651553,0.00077098,0.93199275,0.00000000
-5.87393697,2.65308148,1.55840923,1.59844156,0.68617837,0.00077697,0.95368052,0.00000000
-5.86793397,2.72211192,1.59448261,1.64237153,0.71561983,0.00078314,0.97380044,0.00000000
-5.86193097,2.78728623,1.62782885,1.68381509,0.74438095,0.00078947,0.99215567,0.00000000
-5.85592796,2.84772403,1.65781103,1.72224356,0.77200589,0.00079590,1.00855878,0.00000000
-5.84992496,2.90257789,1.68381515,1.75715195,0.79805550,0.00080237,1.02283547,0.00000000
-5.84392196,2.95105826,1.70527264,1.78807321,0.82212069,0.00080876,1.03482893,0.00000000
-5.83791896,2.99245919,1.72168350,1.81459283,0.84383521,0.00081499,1.04440469,0.00000000
-5.83191596,3.02618380,1.73263911,1.83636316,0.86288746,0.00082094,1.05145571,0.00000000
-5.82591296,3.05176846,1.73784365,1.85311706,0.87903075,0.00082649,1.05590744,0.00000000
-5.81990995,3.06890478,1.73713317,1.86468016,0.89209184,0.00083157,1.05772280,0.00000000
-5.81390695,3.07745833,1.73049134,1.87098134,0.90197723,0.00083608,1.05690660,0.00000000
-5.80790395,3.07748340,1.71806108,1.87206083,0.90867730,0.00084000,1.05350931,0.00000000
-5.80190095,3.06923301,1.70015133,1.86807585,0.91226787,0.00084331,1.04763006,0.00000000
-5.79589795,3.05316392,1.67723868,1.85930323,0.91290936,0.00084607,1.03941860,0.00000000
-5.78989495,3.02993628,1.64996353,1.84613925,0.91084349,0.00084837,1.02907625,0.00000000
-5.78389195,3.00040797,1.61912091,1.82909637,0.90638780,0.00085039,1.01685577,0.00000000
-5.77788894,2.96562393,1.58564632,1.80879727,0.89992804,0.00085234,1.00306018,0.00000000
-5.77188594,2.92680068,1.55059698,1.78596621,0.89190887,0.00085452,0.98804056,0.00000000
-5.76588294,2.88530670,1.51512941,1.76141798,0.88282314,0.00085729,0.97219277,0.00000000
-5.75987994,2.84263906,1.48047388,1.73604478,0.87320005,0.00086108,0.95595338,0.00000000
-5.75387694,2.80039709,1.44790697,1.71080130,0.86359262,0.00086637,0.93979451,0.00000000
-5.74787394,2.76025346,1.41872289,1.68668824,0.85456479,0.00087370,0.92421791,0.00000000
-5.74187094,2.72392336,1.39420466,1.66473452,0.84667850,0.00088364,0.90974802,0.00000000
-5.73586793,2.69313215,1.37559576,1.64597853,0.84048107,0.00089681,0.89692405,0.00000000
-5.72986493,2.66958197,1.36407318,1.63144834,0.83649301,0.00091383,0.88629119,0.00000000
-5.72386193,2.65491766,1.36072229,1.62214137,0.83519678,0.00093533,0.87839062,0.00000000
-5.71785893,2.65069233,1.36651399,1.61900354,0.83702632,0.00096193,0.87374860,0.00000000
-5.71185593,2.65833304,1.38228453,1.62290805,0.84235786,0.00099422,0.87286457,0.00000000
-5.70585293,2.67910687,1.40871812,1.63463439,0.85150189,0.00103274,0.87619838,0.00000000
-5.69984992,2.71408814,1.44633253,1.65484749,0.86469649,0.00107797,0.88415690,0.00000000
-5.69384692,2.76412720,1.49546770,1.68407792,0.88210223,0.00113030,0.89708029,0.00000000
-5.68784392,2.82982177,1.55627743,1.72270332,0.90379844,0.00119001,0.91522842,0.00000000
-5.68184092,2.91149165,1.62872428,1.77093190,0.92978130,0.00125729,0.93876787,0.00000000
-5.67583792,3.00915785,1.71257766,1.82878870,0.95996346,0.00133218,0.96776012,0.00000000
-5.66983492,3.12252727,1.80741537,1.89610522,0.99417556,0.00141460,1.00215161,0.00000000
-5.66383192,3.25098399,1.91262867,1.97251335,1.03216948,0.00150432,1.04176627,0.00000000
-5.65782891,3.39358833,2.02743099,2.05744413,1.07362356,0.00160094,1.08630117,0.00000000
-5.65182591,3.54908439,2.15087067,2.15013198,1.11814953,0.00170394,1.13532579,0.00000000
-5.64582291,3.71591689,2.28184750,2.24962485,1.16530134,0.00181265,1.18828543,0.00000000
-5.63981991,3.89225749,2.41913336,2.35480041,1.21458568,0.00192628,1.24450893,0.00000000
-5.63381691,4.07604069,2.56139662,2.46438830,1.26547392,0.00204390,1.30322081,0.00000000
-5.62781391,4.26500861,2.70723006,2.57699799,1.31741536,0.00216450,1.36355776,0.00000000
-5.62181091,4.45676384,2.85518170,2.69115176,1.36985144,0.00228701,1.42458896,0.00000000
-5.61580790,4.64882870,3.00378792,2.80532174,1.42223030,0.00241029,1.48533983,0.00000000
-5.60980490,4.83870929,3.15160770,2.91796988,1.47402145,0.00253321,1.54481823,0.00000000
-5.60380190,5.02396186,3.29725690,3.02758948,1.52472988,0.00265464,1.60204233,0.00000000
-5.59779890,5.20225909,3.43944127,3.13274661,1.57390904,0.00277350,1.65606893,0.00000000
-5.59179590,5.37145367,3.57698668,3.23211989,1.62117218,0.00288876,1.70602110,0.00000000
-5.58579290,5.52963640,3.70886533,3.32453702,1.66620146,0.00299954,1.75111409,0.00000000
-5.57978989,5.67518655,3.83421640,3.40900640,1.70875439,0.00310502,1.79067818,0.00000000
-5.57378689,5.80681195,3.95236021,3.48474263,1.74866723,0.00320458,1.82417775,0.00000000
-5.56778389,5.92357738,4.06280495,3.55118481,1.78585508,0.00329771,1.85122548,0.00000000
-5.56178089,6.02491976,4.16524549,3.60800672,1.82030866,0.00338408,1.87159128,0.00000000
-5.55577789,6.11064963,4.25955426,3.65511873,1.85208769,0.00346353,1.88520555,0.00000000
-5.54977489,6.18093896,4.34576446,3.69266125,1.88131138,0.00353602,1.89215665,0.00000000
-5.54377189,6.23629602,4.42404664,3.72099023,1.90814621,0.00360170,1.89268284,0.00000000
-5.53776888,6.27752861,4.49467962,3.74065538,1.93279170,0.00366081,1.88715916,0.00000000
-5.53176588,6.30569757,4.55801760,3.75237239,1.95546497,0.00371374,1.87607989,0.00000000
-5.52576288,6.32206290,4.61445518,3.75699020,1.97638464,0.00376093,1.86003758,0.00000000
-5.51975988,6.32802520,4.66439236,3.75545514,1.99575508,0.00380291,1.83969960,0.00000000
-5.51375688,6.32506513,4.70820152,3.74877342,2.01375187,0.00384024,1.81578332,0.00000000
-5.50775388,6.31468374,4.74619829,3.73797361,2.03050903,0.00387348,1.78903106,0.00000000
-5.50175088,6.29834624,4.77861800,3.72407063,2.04610890,0.00390320,1.76018586,0.00000000
-5.49574787,6.27743150,4.80559903,3.70803271,2.06057504,0.00392994,1.72996904,0.00000000
-5.48974487,6.25318921,4.82717386,3.69075236,2.07386866,0.00395419,1.69906024,0.00000000
-5.48374187,6.22670590,4.84326826,3.67302230,2.08588847,0.00397640,1.66808079,0.00000000
-5.47773887,6.19888080,4.85370846,3.65551687,2.09647423,0.00399694,1.63758048,0.00000000
-5.47173587,6.17041158,4.85823564,3.63877915,2.10541351,0.00401612,1.60802819,0.00000000
-5.46573287,6.14178974,4.85652660,3.62321388,2.11245137,0.00403419,1.57980611,0.00000000
-5.45972986,6.11330494,4.84821933,3.60908571,2.11730239,0.00405135,1.55320756,0.00000000
-5.45372686,6.08505695,4.83294158,3.59652245,2.11966439,0.00406771,1.52843782,0.00000000
-5.44772386,6.05697391,4.81034079,3.58552249,2.11923313,0.00408337,1.50561758,0.00000000
-5.44172086,6.02883541,4.78011345,3.57596577,2.11571730,0.00409838,1.48478851,0.00000000
-5.43571786,6.00029865,4.74203227,3.56762750,2.10885307,0.00411275,1.46592021,0.00000000
-5.42971486,5.97092635,4.69596968,3.56019372,2.09841753,0.00412651,1.44891824,0.00000000
-5.42371186,5.94021493,4.64191650,3.55327816,2.08424058,0.00413965,1.43363249,0.00000000
-5.41770885,5.90762198,4.57999498,3.54643978,2.06621482,0.00415218,1.41986569,0.00000000
-5.41170585,5.87259213,4.51046581,3.53920029,2.04430304,0.00416413,1.40738169,0.00000000
-5.40570285,5.83458075,4.43372915,3.53106152,2.01854337,0.00417552,1.39591333,0.00000000
-5.39969985,5.79307505,4.35031978,3.52152214,1.98905175,0.00418642,1.38516985,0.00000000
-5.39369685,5.74761269,4.26089716,3.51009367,1.95602204,0.00419690,1.37484389,0.00000000
-5.38769385,5.69779758,4.16623113,3.49631550,1.91972375,0.00420709,1.36461805,0.00000000
-5.38169085,5.64331326,4.06718410,3.47976884,1.88049762,0.00421711,1.35417122,0.00000000
-5.37568784,5.58393390,3.96469084,3.46008955,1.83874932,0.00422712,1.34318479,0.00000000
-5.36968484,5.51953293,3.85973679,3.43697958,1.79494153,0.00423730,1.33134882,0.00000000
-5.36368184,5.45008968,3.75333580,3.41021699,1.74958458,0.00424786,1.31836820,0.00000000
-5.35767884,5.37569372,3.64650811,3.37966426,1.70322614,0.00425902,1.30396885,0.00000000
-5.35167584,5.29654711,3.54025926,3.34527472,1.65643997,0.00427102,1.28790393,0.00000000
-5.34567284,5.21296443,3.43556051,3.30709699,1.60981420,0.00428408,1.26995982,0.00000000
-5.33966983,5.12537035,3.33333112,3.26527707,1.56393934,0.00429847,1.24996177,0.00000000
-5.33366683,5.03429486,3.23442277,3.22005805,1.51939620,0.00431442,1.22777897,0.00000000
-5.32766383,4.94036595,3.13960638,3.17177728,1.47674410,0.00433219,1.20332880,0.00000000
-5.32166083,4.84429973,3.04956143,3.12086104,1.43650961,0.00435202,1.17658003,0.00000000
-5.31565783,4.74688832,2.96486778,3.06781676,1.39917603,0.00437415,1.14755467,0.00000000
